player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Michael Turner,1873,HB,16,ATL,348,334,1371,4.1,12,64.0,65.0,80.3,84.3,942,2.8,55,72,33,2,0,0
Steven Jackson,1745,HB,16,STR,365,330,1241,3.8,6,62.3,64.9,90.5,60.1,874,2.6,42,61,18,1,1,1
Arian Foster,5398,HB,16,HST,343,327,1616,4.9,16,73.7,68.6,75.7,57.9,846,2.6,74,90,22,3,1,0
Rashard Mendenhall,4337,HB,16,PIT,357,324,1279,3.9,13,75.9,77.4,85.4,59.0,825,2.5,50,60,30,2,0,0
Cedric Benson,2221,HB,16,CIN,344,322,1116,3.5,7,58.3,57.1,36.9,59.3,751,2.3,26,59,20,7,0,0
Chris Johnson,4338,HB,16,TEN,334,316,1365,4.3,11,75.1,83.7,74.4,59.9,894,2.8,76,56,29,2,1,0
Ray Rice,4369,HB,16,BLT,345,307,1287,4.2,5,68.9,65.7,91.6,58.6,700,2.3,65,52,3,1,3,0
Maurice Jones-Drew,3005,HB,14,JAX,347,301,1311,4.4,5,72.2,68.5,68.8,65.6,858,2.9,37,75,19,4,0,0
Adrian Peterson,3623,HB,15,MIN,304,283,1298,4.6,12,86.5,90.5,90.0,60.5,877,3.1,80,72,29,2,0,0
Ahmad Bradshaw,3866,HB,16,NYG,283,276,1239,4.5,8,76.6,73.4,29.7,70.4,829,3.0,48,63,34,7,2,0
Peyton Hillis,4541,HB,16,CLV,309,270,1181,4.4,11,75.1,67.5,29.5,56.8,787,2.9,48,59,16,8,2,0
Thomas Jones,585,HB,16,KC,260,245,896,3.7,6,50.4,47.3,75.6,60.4,514,2.1,70,39,9,2,0,0
Matt Forte,4358,HB,16,CHI,265,237,1072,4.5,6,73.7,70.2,67.0,52.2,617,2.6,68,42,17,0,1,0
Jamaal Charles,4387,HB,16,KC,256,231,1466,6.3,5,86.3,87.7,69.2,61.7,714,3.1,80,70,15,2,2,0
BenJarvus Green-Ellis,4599,HB,16,NE,264,229,1008,4.4,13,60.7,65.0,90.9,57.4,611,2.7,33,61,12,0,1,0
Fred Jackson,3368,HB,16,BUF,248,222,939,4.2,5,61.8,64.7,42.8,64.2,646,2.9,39,42,23,4,1,0
Darren McFadden,4318,HB,13,OAK,265,222,1157,5.2,7,69.4,64.4,53.3,60.0,766,3.5,57,45,24,2,0,0
LaDainian Tomlinson,777,HB,15,NYJ,255,219,914,4.2,6,52.8,54.1,71.3,62.3,493,2.3,31,42,13,4,1,1
LeSean McCoy,4976,HB,15,PHI,256,207,1080,5.2,7,69.3,66.2,73.4,70.4,617,3.0,62,48,9,2,0,0
Frank Gore,2282,HB,11,SF,217,203,853,4.2,3,60.8,62.9,63.0,60.2,509,2.5,64,42,9,2,1,0
LeGarrette Blount,5863,HB,13,TB,215,201,1007,5.0,6,86.4,87.8,56.7,69.1,739,3.7,53,41,35,4,0,0
Ronnie Brown,2219,HB,16,MIA,255,200,734,3.7,5,62.3,58.1,57.0,68.4,430,2.2,51,41,10,3,0,0
Brandon Jackson,3679,HB,16,GB,216,190,703,3.7,3,71.6,65.0,84.8,59.5,510,2.7,71,27,13,2,0,0
Felix Jones,4336,HB,16,DAL,203,185,800,4.3,1,67.2,59.2,81.2,59.7,501,2.7,34,45,21,1,1,0
Shonn Greene,4988,HB,15,NYJ,210,185,770,4.2,2,66.5,69.0,55.4,59.7,464,2.5,23,40,9,2,1,0
Knowshon Moreno,4935,HB,13,DEN,201,182,779,4.3,5,65.6,63.4,53.8,61.1,454,2.5,35,35,19,4,2,0
Mike Tolbert,4740,HB,15,SD,204,182,737,4.0,11,58.1,56.0,42.6,53.9,529,2.9,36,43,16,4,1,0
Jonathan Stewart,4327,HB,14,CAR,191,178,770,4.3,2,58.8,59.6,34.1,60.7,484,2.7,48,32,23,4,0,0
Jahvid Best,5555,HB,15,DET,188,171,559,3.3,4,60.1,60.2,80.5,69.5,303,1.8,45,25,3,1,0,0
Marshawn Lynch,3628,HB,12,SEA,177,165,573,3.5,6,64.0,68.7,56.2,59.0,440,2.7,39,30,22,0,1,0
Ryan Torain,4453,HB,10,WAS,181,164,744,4.5,4,70.8,72.4,66.5,58.4,536,3.3,54,36,18,2,0,0
Ricky Williams,440,HB,16,MIA,212,159,673,4.2,2,55.5,55.3,50.5,67.8,404,2.5,45,26,9,4,0,0
Ryan Mathews,5537,HB,12,SD,170,158,678,4.3,7,61.8,65.8,28.2,59.6,447,2.8,31,25,15,4,0,0
Michael Bush,3716,HB,14,OAK,192,158,655,4.1,8,67.6,62.7,90.3,65.6,370,2.3,30,32,10,0,0,0
Tim Hightower,4463,HB,16,ARZ,165,153,758,5.0,5,57.0,67.6,34.7,69.6,448,2.9,80,31,9,3,0,0
Brandon Jacobs,2327,HB,16,NYG,162,148,819,5.5,9,66.5,70.8,57.6,55.9,482,3.3,73,41,14,3,1,0
Chris Ivory,6007,HB,12,NO,140,137,718,5.2,5,74.9,72.5,28.6,60.4,455,3.3,55,45,22,4,0,0
Donald Brown,4950,HB,12,IND,138,129,497,3.9,2,54.7,58.9,90.0,58.7,370,2.9,49,26,6,0,0,0
Cadillac Williams,2222,HB,16,TB,157,125,437,3.5,2,63.5,64.8,74.9,49.2,326,2.6,45,19,8,1,1,0
Justin Forsett,4547,HB,16,SEA,142,118,523,4.4,2,70.2,69.8,89.9,65.7,321,2.7,32,25,12,0,0,0
Beanie Wells,4954,HB,13,ARZ,120,116,397,3.4,2,56.1,59.5,74.8,60.9,263,2.3,24,18,4,2,1,0
Joseph Addai,2975,HB,8,IND,124,116,495,4.3,4,66.5,68.9,57.8,57.9,297,2.6,46,31,13,2,0,0
Marion Barber III,2326,HB,13,DAL,126,113,374,3.3,4,57.4,59.4,89.0,58.0,253,2.2,25,29,8,0,1,0
Chester Taylor,1182,HB,16,CHI,122,112,267,2.4,3,61.9,61.3,89.3,59.0,212,1.9,24,16,4,0,0,0
Mike Goodson,5034,HB,13,CAR,108,103,439,4.3,3,62.2,62.3,58.2,61.6,288,2.8,45,21,13,3,0,0
Willis McGahee,1339,HB,15,BLT,119,100,380,3.8,5,60.6,56.6,46.0,59.5,210,2.1,30,18,8,3,0,0
Danny Woodhead,4914,HB,14,NE,101,97,547,5.6,5,77.2,77.7,69.6,75.1,277,2.9,36,23,8,1,0,0
Maurice Morris,1061,HB,10,DET,110,90,336,3.7,5,59.2,57.0,72.8,69.2,203,2.3,26,19,4,1,0,0
Jason Snelling,3860,HB,14,ATL,125,87,324,3.7,2,55.1,50.2,48.8,42.5,207,2.4,30,21,7,1,1,0
DeAngelo Williams,2972,HB,6,CAR,89,87,369,4.2,1,62.7,59.6,62.4,60.5,220,2.5,39,14,8,1,0,0
John Kuhn,2686,HB,15,GB,131,84,279,3.3,4,61.9,60.7,86.9,50.0,183,2.2,18,26,4,1,0,0
Rashad Jennings,5174,HB,12,JAX,100,84,459,5.5,4,62.3,61.2,87.9,61.1,298,3.5,74,25,6,0,0,0
Pierre Thomas,4080,HB,6,NO,91,83,269,3.2,2,70.8,64.0,87.6,58.5,201,2.4,16,19,6,0,0,0
Toby Gerhart,5576,HB,15,MIN,94,81,322,4.0,1,57.5,67.4,27.9,75.4,224,2.8,21,14,8,1,0,0
Brian Westbrook,1094,HB,12,SF,87,76,340,4.5,4,66.4,70.2,86.5,74.1,191,2.5,30,17,5,0,0,0
C.J. Spiller,5534,HB,14,BUF,85,74,283,3.8,0,70.8,67.0,45.5,61.1,196,2.6,20,10,4,2,0,0
Anthony Dixon,5696,HB,12,SF,79,70,244,3.5,2,60.1,55.7,85.3,58.0,149,2.1,34,11,2,1,0,0
Tashard Choice,4436,HB,12,DAL,75,66,243,3.7,3,54.4,54.0,58.5,67.2,119,1.8,26,14,1,0,1,0
Keiland Williams,5794,HB,12,WAS,71,65,261,4.0,3,63.2,72.2,70.4,60.7,165,2.5,32,14,3,0,0,0
Bernard Scott,5133,HB,14,CIN,63,61,299,4.9,1,69.2,75.0,85.0,74.6,175,2.9,18,16,1,0,1,0
Correll Buckhalter,869,HB,11,DEN,75,59,147,2.5,2,53.5,46.9,59.6,88.2,107,1.8,13,11,2,1,0,0
Clinton Portis,1058,HB,5,WAS,57,54,227,4.2,2,77.6,71.8,83.9,60.6,139,2.6,27,12,2,0,0,0
Isaac Redman,5233,HB,14,PIT,100,52,247,4.8,0,73.4,66.5,60.3,60.4,169,3.3,23,21,4,2,0,0
Javon Ringer,5097,HB,15,TEN,58,51,243,4.8,2,63.0,65.4,83.5,58.4,141,2.8,54,10,4,0,0,0
Derrick Ward,1949,HB,14,HST,54,50,315,6.3,4,73.4,80.7,83.2,69.6,198,4.0,38,17,4,1,0,0
Darren Sproles,2347,HB,15,SD,58,50,270,5.4,0,69.7,61.2,63.5,61.4,156,3.1,34,10,5,1,0,0
Julius Jones,1764,HB,10,NO,49,48,192,4.0,0,54.2,53.7,56.9,60.0,114,2.4,54,9,1,1,1,0
Javarris James,5962,HB,10,IND,52,46,112,2.4,6,57.6,59.5,46.0,57.9,93,2.0,11,9,4,0,0,0
Ladell Betts,1063,HB,6,NO,56,45,148,3.3,2,53.1,54.4,53.0,58.4,94,2.1,12,11,0,1,0,0
Fred Taylor,333,HB,7,NE,51,43,155,3.6,0,68.4,68.7,82.3,58.4,133,3.1,24,9,6,0,0,0
Mike Hart,4516,HB,6,IND,50,43,185,4.3,1,71.7,74.4,82.9,57.4,110,2.6,35,10,1,0,0,0
David Garrard,1109,QB,14,JAX,408,42,145,3.5,4,74.9,49.9,60.4,60.0,58,1.4,25,20,3,3,2,0
Lance Ball,4808,HB,7,DEN,51,41,158,3.9,0,63.8,67.0,38.2,57.7,95,2.3,19,8,0,1,0,0
