player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Wes Welker,2204,WR,15,NE,207,4,34,8.5,0,88.1,63.9,39.0,81.3,18,4.5,27,1,1,0,1,0
Mack Strong,66,FB,5,SEA,68,4,19,4.8,0,70.7,67.6,73.1,68.0,11,2.8,9,1,0,0,1,0
Reagan Mauia,3797,FB,16,MIA,158,4,5,1.3,0,56.0,50.7,17.4,64.3,2,0.5,3,0,1,0,0,0
Matt Gutierrez,3948,QB,5,NE,14,4,-4,-1.0,0,55.9,56.4,70.1,60.0,0,0.0,0,0,0,0,0,0
Artose Pinner,1412,HB,3,ATL,4,4,-3,-0.8,0,59.4,59.5,68.6,,2,0.5,2,1,0,0,0,0
Calvin Johnson,3618,WR,15,DET,182,4,52,13.0,1,76.2,90.4,79.8,60.1,34,8.5,32,3,3,0,2,0
Kris Wilson,1782,FB,16,KC,155,3,7,2.3,0,43.5,59.2,20.2,56.5,4,1.3,5,1,2,0,2,0
Roscoe Parrish,2272,WR,16,BUF,119,3,19,6.3,1,66.3,65.8,78.0,65.3,1,0.3,24,1,0,0,2,0
Aaron Rodgers,2241,QB,2,GB,12,3,-2,-0.7,0,66.1,68.7,79.2,60.0,0,0.0,0,0,0,0,0,0
Hines Ward,380,WR,13,PIT,316,3,11,3.7,0,86.9,54.1,82.0,89.0,3,1.0,7,1,1,0,2,0
Jamie Martin,63,QB,2,NO,12,3,-3,-1.0,0,58.3,57.9,67.2,60.0,0,0.0,0,0,0,0,0,0
Dante' Hall,677,WR,7,STR,35,3,18,6.0,0,54.2,72.6,70.9,68.1,4,1.3,9,2,1,0,0,0
J.T. O'Sullivan,1169,QB,4,DET,22,3,-16,-5.3,0,44.8,29.2,26.5,60.0,0,0.0,0,0,0,3,0,0
Santana Moss,786,WR,14,WAS,301,3,13,4.3,0,74.1,34.9,26.4,70.5,3,1.0,11,1,0,1,2,0
Alex Haynes,2636,HB,2,CAR,4,3,3,1.0,0,59.7,57.8,69.7,60.0,3,1.0,3,0,0,0,0,0
Kerry Collins,115,QB,3,TEN,66,3,-3,-1.0,0,79.1,49.6,84.4,60.0,0,0.0,0,0,0,0,2,0
Brock Berlin,2495,QB,1,STR,24,3,-6,-2.0,0,56.1,44.7,77.6,60.0,0,0.0,0,0,0,2,0,0
Kevin Kolb,3652,QB,1,PHI,4,3,-2,-0.7,0,49.0,53.9,69.4,60.0,0,0.0,0,0,0,0,0,0
Craig Davis,3646,WR,13,SD,113,3,9,3.0,0,63.7,66.5,75.5,72.9,3,1.0,6,0,1,0,0,0
Jacoby Jones,3689,WR,9,HST,52,3,-1,-0.3,0,62.3,62.6,23.8,65.7,6,2.0,4,1,2,0,0,0
Tim Dwight,390,WR,6,OAK,49,2,12,6.0,0,56.0,62.6,70.6,61.8,0,0.0,10,1,0,0,1,0
Cedrick Wilson,901,WR,16,PIT,160,2,37,18.5,0,64.1,64.2,74.7,60.1,0,0.0,37,1,0,0,1,0
Chris Redman,635,QB,5,ATL,84,2,-2,-1.0,0,47.8,28.8,68.4,60.8,0,0.0,0,0,0,0,0,0
Isaac Bruce,80,WR,14,STR,199,2,-4,-2.0,0,77.7,52.5,53.6,65.6,0,0.0,0,0,0,0,0,0
Matt Moore,4018,QB,6,CAR,95,2,0,0.0,0,52.6,38.7,68.1,60.0,0,0.0,0,0,0,0,0,0
Kenneth Darby,3862,HB,1,TB,2,2,9,4.5,0,61.8,57.7,67.8,,5,2.5,7,1,1,0,0,0
Aundrae Allison,3762,WR,10,MIN,47,2,3,1.5,0,57.2,50.5,20.3,68.9,2,1.0,3,0,0,0,0,0
Steve Breaston,3758,WR,6,ARZ,15,2,8,4.0,0,61.2,61.4,71.5,54.0,1,0.5,10,1,0,0,0,0
Rock Cartwright,1211,HB,1,WAS,2,2,0,0.0,0,55.9,57.2,65.2,,2,1.0,1,0,0,0,0,0
Dallas Clark,1340,TE,15,IND,391,2,29,14.5,0,74.4,68.2,80.5,85.1,13,6.5,15,2,1,0,0,0
Nate Burleson,1386,WR,16,SEA,300,2,4,2.0,0,69.0,57.1,38.4,62.6,3,1.5,3,0,0,0,3,0
Glenn Holt,3355,WR,10,CIN,61,2,2,1.0,0,78.2,54.0,74.2,90.4,2,1.0,1,0,0,0,0,0
Donald Driver,533,WR,15,GB,224,2,4,2.0,0,80.3,51.0,82.5,68.7,1,0.5,5,0,0,0,2,0
Roy Williams,1728,WR,12,DET,192,2,1,0.5,0,71.0,59.0,28.6,62.2,3,1.5,9,1,0,0,1,0
Marques Hagans,3089,WR,3,STR,29,2,-4,-2.0,0,62.5,59.0,71.5,58.1,0,0.0,0,0,0,0,0,0
Zak Keasey,2674,FB,1,SF,2,2,4,2.0,0,51.5,54.3,65.2,,2,1.0,3,0,0,0,0,0
Luke McCown,1827,QB,5,TB,78,2,-1,-0.5,0,68.2,82.6,54.7,60.0,0,0.0,0,0,0,1,0,0
Brandon Jones,2313,WR,8,TEN,98,2,37,18.5,0,68.2,68.5,25.7,57.9,14,7.0,19,2,1,0,1,0
David Patten,221,WR,15,NO,125,2,-5,-2.5,0,74.4,53.6,25.6,71.8,1,0.5,1,0,2,0,0,0
Vonta Leach,2100,FB,16,HST,272,2,2,1.0,1,64.0,53.4,19.8,80.2,1,0.5,1,1,2,0,0,0
Troy Williamson,2224,WR,11,MIN,122,2,29,14.5,0,65.6,59.5,74.9,73.0,3,1.5,26,1,0,0,1,0
Jeff Dugan,1936,FB,15,MIN,108,2,7,3.5,0,63.7,68.6,19.0,71.8,4,2.0,4,2,1,0,1,0
Devery Henderson,1771,WR,16,NO,135,2,20,10.0,0,52.5,59.5,75.1,64.4,2,1.0,15,1,1,0,2,0
Roydell Williams,2353,WR,16,TEN,319,2,-17,-8.5,0,77.5,54.0,80.2,59.5,1,0.5,0,0,0,0,0,0
Brooks Bollinger,1502,QB,5,MIN,52,2,-1,-0.5,0,64.3,40.1,41.7,60.0,0,0.0,0,0,0,1,0,0
Matt Cassel,2447,QB,5,NE,22,2,-3,-1.5,0,46.2,67.3,71.8,60.0,0,0.0,0,0,0,0,0,0
Lance Moore,2718,WR,15,NO,145,2,7,3.5,1,63.8,61.5,77.3,54.8,0,0.0,7,1,0,0,2,0
Seneca Wallace,1422,QB,6,SEA,33,2,1,0.5,0,53.2,60.4,27.8,61.2,1,0.5,2,1,0,0,0,0
Patrick Ramsey,1039,QB,2,DEN,12,2,6,3.0,0,48.0,53.2,27.7,60.0,3,1.5,4,2,0,0,1,0
Javon Walker,1027,WR,8,DEN,119,2,-3,-1.5,0,64.3,50.5,76.5,62.6,1,0.5,0,0,0,0,2,1
Brodie Croyle,3030,QB,8,KC,128,2,-2,-1.0,0,50.9,49.7,28.5,60.0,0,0.0,0,0,0,0,4,0
A.J. Feeley,893,QB,3,PHI,71,2,5,2.5,0,41.2,50.4,67.1,60.0,0,0.0,3,1,0,0,0,0
JaMarcus Russell,3617,QB,4,OAK,63,2,-8,-4.0,0,31.8,55.0,35.9,60.0,0,0.0,0,0,0,1,1,0
Chris Chambers,821,WR,10,SD,165,2,17,8.5,0,81.4,65.5,81.7,79.3,5,2.5,9,0,1,0,5,0
Johnnie Lee Higgins,3715,WR,16,OAK,72,2,3,1.5,0,50.9,59.5,70.6,58.7,2,1.0,8,0,0,0,0,0
Chris Davis,3744,WR,6,TEN,28,2,19,9.5,0,48.8,62.6,18.0,52.9,6,3.0,14,1,0,0,0,0
Marty Booker,487,WR,15,MIA,305,2,12,6.0,0,61.0,36.0,37.7,70.1,4,2.0,12,2,0,1,2,1
Jake Delhomme,303,QB,3,CAR,74,2,-1,-0.5,0,67.1,50.6,55.1,60.0,0,0.0,0,0,0,0,1,0
Chris Chambers,821,WR,6,MIA,119,1,-5,-5.0,0,81.4,65.5,81.7,79.3,0,0.0,0,0,0,0,5,0
Yamon Figurs,3690,WR,4,BLT,6,1,-1,-1.0,0,73.9,58.7,64.6,85.1,0,0.0,0,0,0,0,0,0
Eddie Drummond,1237,WR,5,KC,7,1,-3,-3.0,0,50.6,56.6,61.9,57.9,0,0.0,0,0,0,0,0,0
Ronald Curry,1199,WR,16,OAK,393,1,1,1.0,0,68.8,56.7,80.5,61.4,1,1.0,1,0,0,0,6,0
Bryan Gilmore,727,WR,10,SF,41,1,-8,-8.0,0,58.7,60.0,70.3,75.4,0,0.0,0,0,0,0,0,0
Bobby Wade,1448,WR,16,MIN,368,1,-9,-9.0,0,71.8,58.5,40.2,83.5,0,0.0,0,0,0,0,5,0
Reggie Wayne,800,WR,16,IND,406,1,4,4.0,0,91.5,56.6,26.2,74.9,0,0.0,4,0,0,0,1,0
Koren Robinson,2864,WR,9,GB,60,1,5,5.0,0,74.0,63.1,75.2,84.1,3,3.0,5,0,0,0,0,0
Anquan Boldin,1369,WR,12,ARZ,257,1,14,14.0,0,77.8,63.2,29.7,66.0,2,2.0,14,1,0,0,6,0
Chris Davis,4144,WR,2,NYJ,13,1,3,3.0,0,60.1,63.1,64.6,58.6,0,0.0,3,0,1,0,0,0
Donte' Stallworth,1020,WR,16,NE,184,1,12,12.0,0,67.0,63.1,79.1,70.8,2,2.0,12,1,0,0,1,0
Sinorice Moss,2989,WR,13,NYG,68,1,4,4.0,0,58.2,59.2,75.0,65.5,0,0.0,4,0,0,0,1,0
Joey Galloway,117,WR,15,TB,295,1,1,1.0,0,78.1,59.2,80.2,58.1,0,0.0,1,0,0,0,1,0
Ike Hilliard,233,WR,15,TB,201,1,10,10.0,0,75.3,63.4,45.0,74.0,7,7.0,10,0,1,0,1,0
Dan Kreider,749,FB,9,PIT,67,1,2,2.0,0,50.4,59.8,64.6,56.0,0,0.0,2,0,0,0,0,0
Terrelle Smith,651,FB,16,ARZ,245,1,3,3.0,0,72.4,59.3,70.8,74.5,0,0.0,3,0,1,0,0,0
Jeremy Shockey,1021,TE,14,NYG,358,1,6,6.0,0,78.8,56.7,80.4,77.4,2,2.0,6,0,6,0,3,0
Nate Washington,2832,WR,16,PIT,174,1,0,0.0,0,64.6,56.2,76.6,55.9,2,2.0,0,0,0,0,1,0
Tim Hasselbeck,958,QB,1,ARZ,1,1,-1,-1.0,0,59.0,59.8,61.9,,0,0.0,-1,0,0,0,0,0
Ben Troupe,1761,TE,13,TEN,58,1,-1,-1.0,0,64.9,63.4,69.1,71.1,4,4.0,0,0,1,0,0,0
Samie Parker,1826,WR,15,KC,170,1,2,2.0,0,58.3,50.5,76.2,60.1,3,3.0,2,0,0,0,0,0
Domenik Hixon,3075,WR,2,NYG,2,1,-8,-8.0,0,50.8,56.6,64.6,55.0,0,0.0,0,0,0,0,0,0
Skyler Green,3070,WR,3,CIN,7,1,1,1.0,0,60.1,56.6,67.4,73.4,1,1.0,1,0,0,0,1,0
Tab Perry,2407,WR,2,CIN,11,1,9,9.0,0,54.2,63.1,64.6,59.3,2,2.0,9,0,1,0,0,0
Antonio Chatman,946,WR,7,CIN,28,1,5,5.0,0,65.5,56.6,74.5,37.9,1,1.0,5,0,0,0,1,0
Roddy White,2244,WR,16,ATL,324,1,-2,-2.0,0,77.8,59.2,28.9,81.4,7,7.0,0,0,0,0,9,2
Ahmard Hall,3336,FB,11,TEN,180,1,8,8.0,0,62.9,60.0,71.7,56.8,5,5.0,8,1,0,0,1,0
Anthony Wright,577,QB,3,NYG,7,1,-1,-1.0,0,45.5,59.8,71.1,60.0,0,0.0,0,0,0,0,0,0
Derek Stanley,3865,WR,1,STR,8,1,5,5.0,0,53.7,59.2,61.9,60.1,1,1.0,5,0,0,0,0,0
Reggie Williams,1730,WR,15,JAX,224,1,8,8.0,0,74.4,56.2,19.5,88.9,2,2.0,8,1,0,0,5,0
Brandon Stokley,498,WR,13,DEN,199,1,-6,-6.0,0,78.7,56.6,78.2,63.6,2,2.0,0,0,2,0,1,0
Jeff Webb,3135,WR,16,KC,122,1,5,5.0,0,59.0,56.6,27.0,80.0,3,3.0,5,0,1,0,2,0
Zack Crockett,136,HB,1,TB,1,1,0,0.0,0,59.3,59.8,61.9,,0,0.0,0,0,0,0,0,0
Terrell Owens,188,WR,15,DAL,323,1,5,5.0,0,85.9,56.6,82.3,67.4,1,1.0,5,0,0,0,10,1
Chris Barclay,3216,HB,1,TEN,1,1,3,3.0,0,61.1,59.9,66.2,,0,0.0,3,0,0,0,0,0
Taylor Jacobs,1360,WR,4,SF,19,1,-8,-8.0,0,49.8,59.2,67.4,59.6,0,0.0,0,0,0,0,0,0
Dwayne Jarrett,3661,WR,7,CAR,42,1,11,11.0,0,53.8,62.8,69.8,69.1,2,2.0,11,1,0,0,0,0
Benjamin Watson,1753,TE,12,NE,212,1,11,11.0,0,72.3,63.1,42.7,64.3,2,2.0,11,1,0,0,3,0
Tim Rattay,701,QB,3,ARZ,24,1,0,0.0,0,66.2,25.3,19.6,60.0,0,0.0,0,0,0,1,0,0
Eddie Kennison,161,WR,8,KC,89,1,5,5.0,0,55.4,56.7,73.5,57.2,0,0.0,5,0,1,0,1,0
