player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Larry Johnson,1343,HB,16,KC,444,416,1789,4.3,17,59.0,60.3,85.5,61.9,1111,2.7,47,90,57,2,2,0
Steven Jackson,1745,HB,16,STR,366,345,1528,4.4,13,66.5,64.1,75.3,56.1,815,2.4,59,73,54,1,0,0
LaDainian Tomlinson,777,HB,16,SD,428,344,1797,5.2,28,72.3,71.2,82.1,51.5,986,2.9,85,79,35,2,2,0
Rudi Johnson,857,HB,16,CIN,383,341,1309,3.8,12,58.3,57.6,64.6,55.8,835,2.4,22,67,39,4,1,1
Edgerrin James,439,HB,16,ARZ,352,337,1162,3.4,6,49.6,46.8,79.4,58.0,816,2.4,18,59,25,3,0,0
Willie Parker,2142,HB,16,PIT,359,336,1495,4.4,13,49.1,48.1,43.1,61.0,995,3.0,76,70,38,6,2,0
Tiki Barber,245,HB,16,NYG,342,326,1667,5.1,5,69.7,67.2,73.0,73.6,980,3.0,55,77,46,3,1,0
Jamal Lewis,583,HB,16,BLT,341,314,1131,3.6,9,56.2,56.7,68.2,55.4,787,2.5,52,46,22,3,0,0
Frank Gore,2282,HB,16,SF,333,312,1705,5.5,8,66.4,63.6,53.4,65.6,1126,3.6,72,69,52,4,7,0
Chester Taylor,1182,HB,15,MIN,314,303,1218,4.0,6,58.0,55.6,50.1,64.8,801,2.6,95,53,29,4,0,0
Thomas Jones,585,HB,16,CHI,320,296,1217,4.1,6,55.4,53.7,88.1,56.4,623,2.1,30,62,19,1,3,1
Warrick Dunn,236,HB,16,ATL,332,286,1140,4.0,4,56.5,57.7,86.8,64.6,676,2.4,90,48,26,1,1,0
Travis Henry,825,HB,14,TEN,304,270,1211,4.5,7,65.0,66.3,74.8,59.2,877,3.2,70,45,47,2,3,0
Julius Jones,1764,HB,16,DAL,275,267,1084,4.1,4,46.7,46.3,84.9,71.0,637,2.4,77,42,23,2,1,0
Ahman Green,374,HB,14,GB,280,266,1056,4.0,5,42.0,43.8,65.2,56.7,638,2.4,70,55,9,2,0,0
Willis McGahee,1339,HB,14,BUF,279,260,995,3.8,6,51.8,50.0,52.4,45.1,606,2.3,57,49,31,4,0,0
Shaun Alexander,597,HB,10,SEA,259,252,903,3.6,7,50.9,55.8,37.9,58.1,489,1.9,33,52,23,4,1,0
Ladell Betts,1063,HB,16,WAS,266,245,1157,4.7,4,54.4,49.0,31.9,65.0,703,2.9,26,58,14,4,0,0
Deuce McAllister,793,HB,15,NO,285,244,1059,4.3,11,64.7,67.2,61.8,52.4,664,2.7,57,53,14,2,0,0
Ronnie Brown,2219,HB,13,MIA,261,241,1003,4.2,5,57.2,54.7,61.6,48.0,623,2.6,47,49,26,5,0,0
Brian Westbrook,1094,HB,15,PHI,270,239,1219,5.1,7,68.9,65.7,75.6,55.4,572,2.4,71,60,18,1,3,0
Tatum Bell,1762,HB,13,DEN,271,232,1020,4.4,2,51.9,52.1,47.5,55.5,469,2.0,51,42,5,3,1,0
Fred Taylor,333,HB,15,JAX,253,231,1146,5.0,5,80.3,79.9,56.8,62.3,750,3.2,76,48,43,2,1,0
Joseph Addai,2975,HB,16,IND,243,227,1071,4.7,7,80.1,74.2,72.5,55.3,622,2.7,41,66,26,2,0,0
DeShaun Foster,1041,HB,14,CAR,250,226,901,4.0,3,49.4,52.3,51.3,56.3,559,2.5,43,48,26,3,1,0
Cadillac Williams,2222,HB,14,TB,240,225,799,3.6,1,57.4,61.4,71.4,56.1,577,2.6,38,32,29,1,2,0
Reuben Droughns,640,HB,14,CLV,238,219,761,3.5,4,50.2,49.1,33.6,63.0,471,2.2,22,38,18,5,0,0
Corey Dillon,249,HB,16,NE,219,200,812,4.1,13,50.2,49.2,66.6,55.9,485,2.4,50,48,18,2,1,0
Dominic Rhodes,979,HB,16,IND,198,187,641,3.4,5,50.4,46.1,53.5,56.3,398,2.1,17,38,14,2,0,0
Kevin Jones,1751,HB,12,DET,192,181,687,3.8,6,46.3,37.8,44.5,57.2,441,2.4,52,30,21,4,5,0
Justin Fargas,1410,HB,16,OAK,188,178,659,3.7,1,55.9,55.5,82.6,58.6,466,2.6,48,27,24,1,1,0
Laurence Maroney,2966,HB,14,NE,212,175,749,4.3,6,55.3,53.8,78.2,52.9,461,2.6,41,40,26,1,0,0
Maurice Jones-Drew,3005,HB,16,JAX,190,166,941,5.7,13,75.8,73.5,78.9,48.4,584,3.5,74,46,28,1,0,0
Maurice Morris,1061,HB,16,SEA,173,162,601,3.7,0,35.9,39.2,76.0,66.0,369,2.3,29,33,13,1,0,0
Cedric Benson,2221,HB,15,CHI,170,156,640,4.1,6,47.9,48.7,90.3,55.0,439,2.8,30,33,14,0,0,0
Mike Bell,3225,HB,15,DEN,176,156,675,4.3,8,59.1,58.4,76.3,54.3,401,2.6,48,40,10,1,1,0
Reggie Bush,2947,HB,16,NO,211,154,555,3.6,6,64.5,53.9,68.6,64.9,282,1.8,18,26,13,3,1,0
Leon Washington,3062,HB,15,NYJ,169,151,650,4.3,4,58.0,54.0,59.9,53.3,347,2.3,23,34,17,1,0,0
Ron Dayne,589,HB,9,HST,162,149,603,4.0,5,59.5,56.9,74.7,56.5,374,2.5,19,40,13,1,0,0
Marion Barber III,2326,HB,16,DAL,147,135,654,4.8,14,62.1,64.9,90.1,67.1,354,2.6,25,45,20,0,1,0
Kevan Barlow,841,HB,12,NYJ,136,131,368,2.8,6,37.1,43.2,90.0,58.0,251,1.9,12,18,10,0,0,0
Clinton Portis,1058,HB,8,WAS,146,127,523,4.1,7,54.7,53.5,89.9,77.0,280,2.2,38,29,10,0,1,0
Wali Lundy,3115,HB,12,HST,133,124,474,3.8,4,50.5,46.0,73.5,57.9,270,2.2,35,29,11,1,0,0
DeAngelo Williams,2972,HB,13,CAR,149,121,501,4.1,1,61.1,50.4,60.4,54.0,332,2.7,31,30,14,2,0,0
Lamont Jordan,819,HB,9,OAK,128,114,434,3.8,2,62.1,62.6,69.0,57.8,330,2.9,59,17,8,0,0,0
Cedric Houston,2399,HB,8,NYJ,120,112,374,3.3,5,57.4,57.4,88.7,55.8,218,1.9,31,20,7,0,1,0
Anthony Thomas,808,HB,14,BUF,116,106,376,3.5,2,58.9,49.7,69.0,63.7,284,2.7,19,14,7,1,0,0
Jerious Norwood,3024,HB,14,ATL,116,99,633,6.4,2,78.4,73.1,88.1,57.3,268,2.7,78,27,8,0,0,0
Brandon Jacobs,2327,HB,15,NYG,112,96,424,4.4,9,70.8,72.1,43.0,56.2,303,3.2,16,35,17,2,2,0
Sammy Morris,678,HB,11,MIA,105,92,403,4.4,1,52.6,52.7,28.6,55.7,247,2.7,55,17,7,2,0,0
Vernand Morency,2290,HB,12,GB,96,88,418,4.8,2,53.1,51.0,65.9,57.7,283,3.2,39,23,9,1,0,0
Correll Buckhalter,869,HB,16,PHI,106,83,345,4.2,2,60.2,56.9,42.0,61.1,219,2.6,20,16,13,1,1,0
Michael Turner,1873,HB,13,SD,96,79,477,6.0,2,78.2,74.9,86.1,55.0,380,4.8,73,23,16,0,1,0
Jason Wright,2212,HB,8,CLV,70,62,195,3.1,0,48.5,51.1,53.8,58.8,146,2.4,18,8,3,1,0,0
LenDale White,2990,HB,11,TEN,74,61,244,4.0,0,51.4,48.4,85.1,59.4,165,2.7,26,13,3,0,1,0
Mike Alstott,170,FB,16,TB,267,60,171,2.9,3,55.0,42.1,57.0,72.4,144,2.4,17,17,5,1,0,0
Najeh Davenport,1131,HB,12,PIT,67,59,213,3.6,1,60.5,49.5,54.7,54.8,196,3.3,48,9,10,1,1,0
Sam Gado,2599,HB,8,HST,62,54,217,4.0,1,51.5,50.9,54.5,56.6,121,2.2,34,9,5,1,0,0
Michael Vick,773,QB,16,ATL,436,49,287,5.9,0,65.7,83.4,50.9,60.1,82,1.7,22,19,5,2,3,0
Michael Pittman,382,HB,15,TB,81,49,242,4.9,1,57.7,58.2,85.5,49.9,116,2.4,32,12,3,1,4,1
Arlen Harris,1621,HB,7,DET,55,49,158,3.2,1,55.6,51.3,83.9,56.9,116,2.4,20,8,6,0,0,0
Artose Pinner,1412,HB,8,MIN,44,43,190,4.4,3,64.2,65.1,39.2,60.0,140,3.3,21,11,6,1,0,0
Chris Brown,1407,HB,5,TEN,45,41,156,3.8,0,52.0,49.9,82.0,59.3,71,1.7,21,8,5,0,0,0
