player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
DeMarco Murray,6223,HB,16,DAL,409,392,1845,4.7,13,87.7,85.6,53.9,57.8,996,2.5,51,86,56,3,3,0
LeSean McCoy,4976,HB,16,PHI,329,309,1315,4.3,5,64.4,67.8,59.4,66.3,637,2.1,53,67,29,3,1,0
Le'Veon Bell,7829,HB,16,PIT,312,290,1361,4.7,8,86.0,84.9,91.6,57.6,706,2.4,81,73,38,0,1,0
Marshawn Lynch,3628,HB,16,SEA,325,280,1310,4.7,13,91.2,91.5,70.4,76.4,829,3.0,79,65,55,1,2,0
Alfred Morris,7165,HB,16,WAS,305,265,1078,4.1,8,69.4,72.3,74.1,54.9,675,2.5,30,48,21,2,0,0
Matt Forte,4358,HB,16,CHI,296,265,1037,3.9,6,68.2,67.2,79.5,64.2,584,2.2,32,64,27,1,2,1
Arian Foster,5398,HB,13,HST,281,260,1246,4.8,8,77.3,77.9,75.4,57.1,736,2.8,51,52,42,2,0,0
Frank Gore,2282,HB,16,SF,294,255,1103,4.3,4,66.6,66.3,72.8,78.4,585,2.3,52,55,24,2,2,0
Eddie Lacy,7842,HB,16,GB,272,245,1140,4.7,9,87.3,82.9,67.2,58.2,690,2.8,44,59,31,3,0,0
Justin Forsett,4547,HB,16,BLT,250,234,1270,5.4,8,78.2,76.1,84.5,57.0,543,2.3,52,56,19,1,0,0
Mark Ingram II,6180,HB,13,NO,243,226,964,4.3,9,78.1,79.1,58.8,59.0,539,2.4,31,47,23,1,0,0
Joique Bell,5797,HB,15,DET,253,223,860,3.9,7,71.6,72.3,48.0,63.9,584,2.6,57,43,26,4,2,0
Jeremy Hill,8690,HB,16,CIN,251,222,1124,5.1,9,66.5,66.2,37.9,70.2,622,2.8,85,62,22,4,0,0
Lamar Miller,7097,HB,16,MIA,257,216,1101,5.1,8,80.6,90.0,71.5,58.2,486,2.3,97,58,23,2,0,0
Andre Williams,8748,HB,16,NYG,228,216,720,3.3,7,66.0,66.9,81.7,60.4,461,2.1,50,30,16,1,0,0
Jamaal Charles,4387,HB,15,KC,229,205,1039,5.1,9,75.7,83.7,49.1,58.7,540,2.6,63,50,29,3,2,0
Andre Ellington,7968,HB,12,ARZ,213,201,663,3.3,3,60.2,58.5,70.0,59.7,358,1.8,22,28,7,2,0,0
Chris Ivory,6007,HB,16,NYJ,236,198,820,4.1,6,78.8,84.6,53.4,62.8,487,2.5,71,42,41,2,3,0
Steven Jackson,1745,HB,15,ATL,194,190,707,3.7,6,81.6,76.4,90.6,72.2,512,2.7,55,37,18,0,1,0
Tre Mason,8710,HB,12,STR,203,179,772,4.3,4,71.8,73.1,64.2,58.6,400,2.2,89,36,20,2,1,0
C.J. Anderson,8101,HB,14,DEN,198,179,849,4.7,8,90.1,90.8,80.8,63.7,455,2.5,27,47,32,0,0,0
Jonathan Stewart,4327,HB,13,CAR,221,175,800,4.6,3,80.7,77.8,78.3,62.4,455,2.6,69,43,30,1,1,0
Terrance West,8729,HB,14,CLV,186,171,673,3.9,4,65.9,66.9,62.0,75.0,379,2.2,36,30,18,1,1,0
Alfred Blue,8816,HB,16,HST,187,168,523,3.1,2,59.2,60.3,90.6,69.5,333,2.0,46,29,4,0,0,0
Giovani Bernard,7818,HB,13,CIN,200,168,680,4.0,5,72.3,67.7,90.6,65.7,421,2.5,89,32,15,0,2,0
Rashad Jennings,5174,HB,11,NYG,172,167,639,3.8,4,63.2,66.4,63.3,59.5,375,2.2,18,38,13,0,1,0
Matt Asiata,6432,HB,15,MIN,188,164,570,3.5,9,58.5,58.6,83.3,60.9,336,2.0,19,34,10,1,1,0
Branden Oliver,9286,HB,14,SD,164,159,581,3.7,3,80.3,74.2,90.5,59.5,356,2.2,52,30,17,0,0,0
Trent Richardson,7009,HB,15,IND,179,158,515,3.3,3,65.1,62.9,62.0,56.7,367,2.3,27,25,17,2,0,0
Chris Johnson,4338,HB,16,NYJ,193,155,663,4.3,1,58.8,58.1,76.2,69.6,404,2.6,47,21,14,1,0,0
Darren McFadden,4318,HB,16,OAK,175,154,530,3.4,2,63.0,59.7,78.1,67.7,285,1.9,25,20,6,1,3,3
Bishop Sankey,8689,HB,16,TEN,160,152,575,3.8,2,69.5,70.0,62.1,59.0,382,2.5,22,27,18,2,0,0
Isaiah Crowell,9295,HB,15,CLV,159,148,607,4.1,8,58.7,59.2,45.5,59.7,277,1.9,35,35,8,3,0,0
Fred Jackson,3368,HB,14,BUF,158,141,525,3.7,2,76.5,79.8,51.8,58.4,319,2.3,38,24,15,0,0,0
Denard Robinson,7917,HB,13,JAX,169,135,582,4.3,4,60.9,61.2,56.8,59.3,285,2.1,41,23,8,2,0,0
Doug Martin,7035,HB,11,TB,143,134,503,3.8,2,63.6,65.1,90.0,60.4,290,2.2,63,22,7,0,1,1
Knile Davis,7878,HB,15,KC,143,134,463,3.5,6,50.8,54.7,31.5,59.0,277,2.1,48,23,13,3,1,0
Jerick McKinnon,8731,HB,11,MIN,121,113,538,4.8,0,72.4,75.6,89.5,60.1,296,2.6,55,21,13,0,0,0
Ronnie Hillman,7069,HB,8,DEN,116,106,441,4.2,3,56.3,60.4,69.3,73.9,179,1.7,37,20,10,1,0,0
Ben Tate,5583,HB,8,CLV,112,106,333,3.1,4,50.6,51.7,89.3,59.6,188,1.8,25,15,12,0,1,0
Anthony Dixon,5696,HB,13,BUF,115,105,432,4.1,2,72.3,70.6,71.0,58.1,264,2.5,47,13,13,1,0,0
Toby Gerhart,5576,HB,14,JAX,108,100,324,3.2,2,51.5,47.6,67.7,57.7,218,2.2,23,24,4,1,0,0
Shane Vereen,6208,HB,16,NE,119,96,391,4.1,2,64.3,58.9,89.3,56.7,176,1.8,19,15,7,0,0,0
Shonn Greene,4988,HB,13,TEN,103,94,392,4.2,2,50.2,53.7,63.0,56.9,229,2.4,52,18,8,1,0,0
Bobby Rainey Jr.,7511,HB,12,TB,98,94,406,4.3,1,61.2,64.8,35.1,60.2,188,2.0,31,22,13,1,0,0
Stevan Ridley,6225,HB,6,NE,105,94,340,3.6,2,65.9,66.0,87.5,58.8,166,1.8,43,16,6,0,0,0
Bernard Pierce,7085,HB,13,BLT,105,93,366,3.9,2,57.9,59.1,62.4,58.4,194,2.1,28,20,5,1,0,0
Ahmad Bradshaw,3866,HB,10,IND,100,90,425,4.7,2,78.2,77.0,29.4,76.8,257,2.9,29,18,13,3,0,0
Jonas Gray,7393,HB,8,NE,96,89,412,4.6,5,77.1,75.0,87.0,58.3,211,2.4,20,27,8,0,0,0
James Starks,5716,HB,14,GB,94,85,340,4.0,2,59.0,61.5,63.7,58.9,231,2.7,41,16,13,1,1,0
Donald Brown,4950,HB,13,SD,88,84,221,2.6,0,60.2,59.7,89.6,60.8,182,2.2,16,11,7,0,0,0
Carlos Hyde,8692,HB,14,SF,109,83,333,4.0,4,68.3,72.8,65.6,59.3,234,2.8,28,16,17,1,1,0
Latavius Murray,7962,HB,9,OAK,90,82,424,5.2,2,68.9,72.3,68.4,60.2,161,2.0,90,18,4,1,1,0
C.J. Spiller,5534,HB,9,BUF,86,78,300,3.8,0,59.3,55.6,28.3,58.6,132,1.7,53,13,7,3,1,0
Dan Herron,7179,HB,11,IND,89,78,351,4.5,1,73.4,74.8,41.1,58.6,160,2.1,49,17,6,1,0,0
Zac Stacy,7942,HB,9,STR,83,76,298,3.9,1,67.0,65.1,35.8,58.2,174,2.3,16,13,5,2,0,0
Khiry Robinson,8514,HB,9,NO,87,76,362,4.8,3,84.4,83.0,59.5,58.3,206,2.7,62,23,18,1,0,0
Reggie Bush,2947,HB,11,DET,81,75,289,3.9,2,75.9,75.4,87.3,72.6,163,2.2,26,9,13,0,0,0
Robert Turbin,7106,HB,16,SEA,117,74,310,4.2,0,70.2,70.6,60.1,49.8,162,2.2,17,17,7,1,1,0
Ryan Mathews,5537,HB,6,SD,84,74,333,4.5,3,72.5,70.1,60.6,58.7,205,2.8,32,17,10,1,0,0
Cam Newton,6153,QB,14,CAR,367,72,332,4.6,4,75.0,64.3,57.0,60.0,106,1.5,22,31,3,2,2,0
Lorenzo Taliaferro,8773,HB,9,BLT,76,68,292,4.3,4,69.3,67.4,56.1,59.9,165,2.4,31,17,9,1,0,0
Russell Wilson,7077,QB,16,SEA,469,66,349,5.3,6,70.9,61.6,35.6,60.0,59,0.9,40,24,4,5,7,0
Benny Cunningham,8283,HB,16,STR,76,66,246,3.7,3,68.1,64.3,54.0,57.7,131,2.0,20,12,6,0,0,0
Charles Sims,8704,HB,8,TB,67,66,185,2.8,1,54.7,50.8,32.8,60.1,90,1.4,20,10,6,2,0,0
Devonta Freeman,8738,HB,15,ATL,68,65,257,4.0,1,73.3,62.8,61.8,58.5,142,2.2,31,10,7,1,0,0
LeGarrette Blount,5863,HB,10,PIT,77,65,266,4.1,2,77.9,76.1,73.2,57.4,196,3.0,50,16,6,1,0,0
Stepfan Taylor,7922,HB,11,ARZ,73,63,208,3.3,1,66.8,62.3,85.3,58.4,128,2.0,21,13,5,0,1,1
DeAngelo Williams,2972,HB,6,CAR,68,62,222,3.6,0,73.0,71.0,53.4,59.8,133,2.1,17,6,9,1,0,0
LeGarrette Blount,5863,HB,5,NE,66,60,281,4.7,3,77.9,76.1,73.2,57.4,202,3.4,34,14,8,0,0,0
Jacquizz Rodgers,6297,HB,16,ATL,64,58,217,3.7,1,71.1,61.0,62.6,86.3,129,2.2,17,12,3,1,2,0
Colin Kaepernick,6188,QB,16,SF,420,57,124,2.2,0,62.8,49.3,53.9,60.0,73,1.3,22,12,3,5,7,0
Darren Sproles,2347,HB,15,PHI,73,57,329,5.8,6,69.0,59.4,60.1,60.4,115,2.0,49,18,12,2,0,0
Montee Ball,7839,HB,4,DEN,65,55,172,3.1,1,65.6,66.8,53.1,73.6,119,2.2,23,9,5,1,0,0
Juwan Thompson,8955,HB,14,DEN,67,54,272,5.0,3,70.7,74.4,49.7,61.4,141,2.6,47,17,6,1,0,0
Kerwynn Williams,8013,HB,4,ARZ,55,53,246,4.6,0,63.3,67.4,46.2,58.9,133,2.5,19,11,6,1,0,0
Joseph Randle,7933,HB,14,DAL,52,51,344,6.7,3,79.7,75.8,27.2,60.0,214,4.2,65,13,5,2,0,0
Ryan Tannehill,7014,QB,16,MIA,366,48,271,5.6,1,74.3,41.8,56.8,60.0,92,1.9,40,16,5,2,2,0
Chris Polk,7532,HB,8,PHI,57,46,172,3.7,4,71.4,70.8,51.0,56.6,109,2.4,22,12,6,0,0,0
Pierre Thomas,4080,HB,10,NO,49,45,223,5.0,2,77.8,73.3,84.9,60.1,99,2.2,27,13,5,0,1,0
Daniel Thomas,6214,HB,11,MIA,49,44,168,3.8,2,69.6,67.2,47.8,60.0,92,2.1,15,9,3,1,0,0
Maurice Jones-Drew,3005,HB,11,OAK,47,43,103,2.4,0,50.0,45.2,45.1,60.4,69,1.6,13,2,2,1,0,0
Andy Dalton,6187,QB,16,CIN,463,42,84,2.0,4,67.7,43.0,76.5,60.3,17,0.4,20,16,0,2,1,0
Roy Helu,6257,HB,12,WAS,51,40,216,5.4,1,68.6,75.6,29.7,60.5,137,3.4,18,10,13,0,1,1
Dexter McCluster,5561,HB,13,TEN,47,40,131,3.3,0,68.2,59.6,87.3,73.1,75,1.9,16,7,4,0,0,0
Jonathan Grimes,7585,HB,9,HST,49,39,153,3.9,0,63.6,63.7,81.8,57.7,84,2.2,11,5,1,0,0,0
Mike Tolbert,4740,FB,8,CAR,85,37,78,2.1,0,51.3,53.3,84.8,50.8,58,1.6,15,4,4,0,1,0
Damien Williams,9205,HB,10,MIA,45,36,122,3.4,0,87.2,87.4,85.9,60.2,68,1.9,19,6,4,0,0,0
Ka'Deem Carey,8752,HB,12,CHI,45,36,158,4.4,0,59.5,60.2,81.2,56.0,88,2.4,15,11,1,0,0,0
Blake Bortles,8638,QB,14,JAX,299,36,191,5.3,0,46.2,62.6,62.1,60.8,31,0.9,20,17,3,2,6,0
Tavon Austin,7789,WR,15,STR,182,36,224,6.2,2,59.9,73.6,67.3,58.0,52,1.4,19,11,6,0,2,0
Bryce Brown,7213,HB,7,BUF,36,36,126,3.5,0,68.4,56.8,47.7,,77,2.1,14,6,3,1,0,0
