player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Arian Foster,5398,HB,16,HST,363,351,1424,4.1,15,72.5,77.5,76.0,59.0,766,2.2,46,79,19,3,0,0
Adrian Peterson,3623,HB,16,MIN,364,348,2097,6.0,12,92.2,92.3,66.9,61.4,1369,3.9,82,85,50,3,0,0
Alfred Morris,7165,HB,16,WAS,420,335,1613,4.8,13,91.0,90.4,60.8,63.1,1001,3.0,39,85,48,4,2,0
Doug Martin,7035,HB,16,TB,342,319,1454,4.6,11,79.1,79.0,89.5,59.0,1005,3.2,70,58,47,1,3,0
Marshawn Lynch,3628,HB,16,SEA,358,315,1590,5.0,11,82.2,83.6,49.4,63.2,872,2.8,77,71,50,4,1,0
Stevan Ridley,6225,HB,16,NE,311,290,1263,4.4,12,69.0,73.8,54.4,65.7,714,2.5,41,82,23,4,2,0
Jamaal Charles,4387,HB,16,KC,301,285,1509,5.3,5,77.5,77.0,46.2,62.4,634,2.2,91,62,11,5,1,0
BenJarvus Green-Ellis,4599,HB,15,CIN,307,278,1094,3.9,6,62.6,62.1,65.8,63.6,576,2.1,48,54,12,3,0,0
Shonn Greene,4988,HB,16,NYJ,312,276,1063,3.9,8,66.3,70.4,57.4,59.7,593,2.1,36,53,12,3,1,0
Chris Johnson,4338,HB,16,TEN,291,276,1243,4.5,6,62.3,66.8,48.5,68.3,557,2.0,94,46,22,3,1,1
Trent Richardson,7009,HB,15,CLV,293,267,950,3.6,11,72.6,74.7,69.8,59.1,558,2.1,32,36,36,3,2,0
Frank Gore,2282,HB,16,SF,304,258,1214,4.7,8,72.1,72.4,74.3,68.7,682,2.6,37,67,24,2,2,0
Steven Jackson,1745,HB,16,STR,276,258,1045,4.1,4,75.2,76.9,91.3,58.2,693,2.7,46,47,17,0,1,0
Ray Rice,4369,HB,16,BLT,287,257,1143,4.4,9,77.8,72.8,86.8,65.9,606,2.4,46,52,14,1,2,0
Matt Forte,4358,HB,15,CHI,263,248,1094,4.4,5,67.7,65.2,74.6,58.7,597,2.4,46,45,16,2,0,0
Reggie Bush,2947,HB,16,MIA,251,227,986,4.3,6,65.2,71.6,53.3,65.0,468,2.1,65,43,28,4,3,2
Michael Turner,1873,HB,16,ATL,231,222,800,3.6,10,65.3,67.0,61.2,58.3,503,2.3,43,40,29,3,0,0
Ahmad Bradshaw,3866,HB,14,NYG,226,221,1015,4.6,6,79.9,74.9,57.6,59.5,550,2.5,37,58,15,3,1,0
Darren McFadden,4318,HB,12,OAK,230,216,709,3.3,2,52.8,58.1,71.1,61.6,418,1.9,64,33,14,1,1,0
Mikel Leshoure,6209,HB,14,DET,232,215,798,3.7,9,69.2,68.6,58.9,62.5,431,2.0,16,47,10,3,0,0
Vick Ballard,7162,HB,16,IND,243,211,814,3.9,2,70.6,70.7,43.0,58.1,531,2.5,26,50,24,3,1,0
C.J. Spiller,5534,HB,16,BUF,231,207,1244,6.0,6,91.7,92.1,58.1,71.3,742,3.6,62,53,43,2,0,0
LeSean McCoy,4976,HB,12,PHI,232,200,840,4.2,2,78.0,75.5,47.1,65.2,504,2.5,34,46,36,4,2,1
Ryan Mathews,5537,HB,12,SD,197,184,707,3.8,1,73.3,68.7,66.9,60.3,479,2.6,31,35,13,2,0,0
DeAngelo Williams,2972,HB,16,CAR,220,174,737,4.2,5,65.6,64.9,62.3,61.8,542,3.1,65,32,12,2,0,0
Willis McGahee,1339,HB,10,DEN,175,167,731,4.4,4,70.7,72.8,28.0,58.0,396,2.4,31,44,12,5,2,0
DeMarco Murray,6223,HB,10,DAL,178,161,663,4.1,4,70.2,71.1,49.4,58.7,400,2.5,48,40,20,2,0,0
Mark Ingram II,6180,HB,16,NO,163,156,602,3.9,5,77.6,78.1,90.2,57.2,431,2.8,31,28,19,0,1,0
Jonathan Dwyer,5711,HB,13,PIT,167,156,623,4.0,2,69.8,68.0,60.1,61.3,433,2.8,34,28,13,2,0,0
Knowshon Moreno,4935,HB,8,DEN,142,138,525,3.8,4,73.1,69.3,74.6,59.6,296,2.1,20,33,10,1,0,0
Alex Green,6248,HB,10,GB,148,135,464,3.4,0,62.2,62.2,73.2,57.0,284,2.1,41,17,11,0,0,0
Bryce Brown,7213,HB,16,PHI,120,115,564,4.9,4,65.1,70.2,26.4,61.4,382,3.3,65,34,19,4,0,0
Fred Jackson,3368,HB,10,BUF,123,115,437,3.8,3,66.2,62.9,25.2,80.3,276,2.4,15,26,19,4,0,0
Michael Bush,3716,HB,13,CHI,116,114,411,3.6,5,72.1,71.4,69.2,43.5,262,2.3,20,29,9,1,0,0
Felix Jones,4336,HB,14,DAL,121,111,402,3.6,3,60.4,57.4,71.0,58.5,232,2.1,22,23,4,1,0,0
Bilal Powell,6278,HB,14,NYJ,121,110,437,4.0,4,64.8,65.6,89.0,59.7,197,1.8,18,23,7,0,0,0
Isaac Redman,5233,HB,14,PIT,120,110,410,3.7,2,75.4,70.1,31.3,58.5,332,3.0,28,27,21,2,0,0
LaRod Stephens-Howling,5164,HB,14,ARZ,117,110,356,3.2,4,69.5,75.9,89.0,43.8,257,2.3,52,15,21,0,0,0
