player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Chris Johnson,4338,HB,16,TEN,390,358,2037,5.7,14,73.7,75.5,74.9,61.6,1071,3.0,91,84,36,4,2,0
Thomas Jones,585,HB,16,NYJ,368,331,1402,4.2,14,46.8,49.8,79.4,65.5,700,2.1,71,64,11,3,1,0
Steven Jackson,1745,HB,15,STR,341,324,1422,4.4,4,62.1,61.5,80.9,56.1,954,2.9,62,61,35,3,3,1
Adrian Peterson,3623,HB,16,MIN,337,314,1388,4.4,18,64.6,66.4,33.3,75.9,913,2.9,64,76,38,6,1,0
Maurice Jones-Drew,3005,HB,16,JAX,353,312,1389,4.5,15,74.5,66.3,80.5,70.9,928,3.0,80,68,33,3,1,0
Cedric Benson,2221,HB,13,CIN,321,301,1254,4.2,6,58.0,59.9,87.7,71.9,774,2.6,42,57,13,2,1,0
Ryan Grant,2609,HB,16,GB,296,282,1253,4.4,11,57.1,59.3,86.6,60.5,774,2.7,62,60,20,1,0,0
Matt Forte,4358,HB,16,CHI,281,258,929,3.6,4,46.6,44.6,35.4,60.3,545,2.1,61,39,15,5,1,0
Ray Rice,4369,HB,16,BLT,290,254,1338,5.3,7,72.5,63.8,67.8,68.0,719,2.8,59,54,28,3,2,0
Knowshon Moreno,4935,HB,16,DEN,256,247,947,3.8,7,58.0,61.8,51.9,69.7,603,2.4,36,52,14,2,1,1
Rashard Mendenhall,4337,HB,15,PIT,271,242,1108,4.6,7,64.4,67.3,61.3,58.3,717,3.0,60,48,21,3,1,0
Ricky Williams,440,HB,16,MIA,332,241,1121,4.7,11,55.4,57.6,51.2,64.4,647,2.7,68,55,13,4,0,0
Fred Jackson,3368,HB,16,BUF,267,237,1067,4.5,2,69.5,67.2,74.4,67.6,708,3.0,43,43,27,2,1,0
Frank Gore,2282,HB,14,SF,257,229,1120,4.9,10,61.5,56.9,62.5,58.9,616,2.7,80,47,18,3,0,0
Brandon Jacobs,2327,HB,15,NYG,230,224,832,3.7,5,42.8,43.4,71.0,58.6,577,2.6,31,43,11,2,1,0
LaDainian Tomlinson,777,HB,14,SD,238,223,733,3.3,12,48.3,50.4,70.8,61.2,425,1.9,36,40,5,1,0,0
Jonathan Stewart,4327,HB,16,CAR,241,221,1133,5.1,10,71.2,72.4,61.0,59.2,740,3.3,67,56,31,4,1,0
Joseph Addai,2975,HB,15,IND,238,219,828,3.8,10,60.2,56.3,75.9,70.5,490,2.2,21,44,7,2,0,0
Kevin Smith,4378,HB,13,DET,234,217,747,3.4,4,56.2,52.4,59.9,62.0,495,2.3,31,36,13,3,1,0
DeAngelo Williams,2972,HB,13,CAR,225,216,1117,5.2,7,65.7,68.2,58.1,60.8,635,2.9,77,52,16,3,2,0
Marion Barber III,2326,HB,15,DAL,233,214,932,4.4,7,53.1,54.0,70.1,54.5,596,2.8,35,58,9,1,0,0
Cadillac Williams,2222,HB,16,TB,225,209,816,3.9,4,59.8,60.6,81.8,61.8,503,2.4,35,43,11,1,2,2
