period,normalization,player_years,mean_actual_minus_prediction,mae,rmse,additive_shift
2022,proportional_floor,126,-0.5454940124964269,4.461353106001538,5.9624126039924565,1.1992735097385354
2022,additive_floor,126,-0.4551467153039714,4.61583886279105,6.005782665449128,1.1992735097385354
2023,proportional_floor,131,-0.06435247692149779,4.382605952665862,6.359137977857593,-0.9013289775461566
2023,additive_floor,131,-0.16333617692711294,4.080148749527625,5.988975950785154,-0.9013289775461566
2024,proportional_floor,132,-0.4914819062481694,4.501105692918871,6.583250490943757,-0.27082189739387363
2024,additive_floor,132,-0.5021015162600637,4.494289779707753,6.621851148068931,-0.27082189739387363
2025,proportional_floor,138,-0.4190386956777216,4.121051967350181,5.956657736725523,-0.37558329697106885
2025,additive_floor,138,-0.44080689207740814,4.00650225358814,5.8709475785719025,-0.37558329697106885
