lock_version,model_run_id,audit,league,n_rows,value
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,v2_handoff_duplicate_player_key_season_rows,all,8901,0.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,historical_identity_join_rate,nv,2696,1.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,historical_position_mismatch_rate,nv,2696,0.001112759643916914
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,historical_point_center_coverage,nv,2696,0.9855341246290801
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,v2_target_vs_template_active_ppg_mae,nv,2644,0.23428904412667315
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,v2_target_vs_template_active_ppg_max_abs,nv,2644,14.66
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,recomputed_residual_identity_max_abs,nv,2657,1.7763568394002505e-15
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,current_player_map_identity_join_rate,nv,323,1.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,current_player_map_position_mismatch_rate,nv,323,0.0
v2_conditional_ppg_2026_candidate_nv_v1,v2_locked_final_nv_20260828T212622Z_afb59c4d,current_player_map_point_center_coverage,nv,323,1.0
