model_family,variant,added_feature_count,total_feature_count,base_rmse,variant_rmse,pooled_delta_variant_minus_base,mean_season_delta_variant_minus_base,median_season_delta_variant_minus_base,variant_wins,season_count,bootstrap_95_low,bootstrap_95_high
lightgbm,plus_feature_team_target_share,1,36,3.1442549634828376,3.1404910588527617,-0.0037639046300759205,-0.003659333342978558,-0.006636121403612805,7,9,-0.007874290083895454,0.002172999681063301
lightgbm,plus_feature_adp_room_strength_share,1,36,3.1442549634828376,3.1422569430000986,-0.0019980204827390047,-0.0022826417676654978,-0.004900234958495009,5,9,-0.008812327460876,0.004260684840289322
lightgbm,plus_feature_adp_worst_teammate_gap,1,36,3.1442549634828376,3.144351798573206,9.683509036850779e-05,-0.00010753594375777375,0.0028103466227249463,4,9,-0.007875824223656045,0.0069540629899929205
lightgbm,plus_feature_expert_ppg_exp_diff,1,36,3.1442549634828376,3.145221617487354,0.000966654004516343,0.0008966891104767881,0.0032761731180475095,4,9,-0.006588291344316837,0.007891066540416145
lightgbm,plus_feature_adp_best_teammate_gap,1,36,3.1442549634828376,3.145278178927009,0.001023215444171388,0.0008522586781434249,0.0006977909975365293,3,9,-0.006670857641343512,0.007882521900664664
lightgbm,plus_feature_adp_mean_teammate_gap,1,36,3.1442549634828376,3.1457136139224655,0.0014586504396278954,0.0014795096994132766,0.004186724073311776,4,9,-0.004413570968608541,0.007121225426409926
lightgbm,plus_feature_team_rush_attempt_share,1,36,3.1442549634828376,3.146958358883834,0.002703395400996289,0.0025255040546605656,0.0024145020530159655,4,9,-0.004698078040479719,0.010976569076977704
lightgbm,plus_feature_team_receiving_yard_share,1,36,3.1442549634828376,3.148305116920007,0.004050153437169524,0.004159973018793808,0.0058545226764836755,3,9,-0.0011091560814624835,0.009166214638696256
lightgbm,plus_feature_adp_teammates_better_count,1,36,3.1442549634828376,3.148973108158207,0.004718144675369462,0.0047261512140458605,0.0065469123176264965,2,9,-0.002258419858480814,0.010666959980425926
lightgbm,plus_feature_expert_ppg_exp_percentile,1,36,3.1442549634828376,3.1499028240295464,0.005647860546708738,0.005390101097584705,0.001119967845399028,4,9,-0.002735622956214101,0.013633525034721027
lightgbm,plus_feature_expert_ppg_exp_peer_mean,1,36,3.1442549634828376,3.1509669036685697,0.006711940185732068,0.006142242398577796,0.0032669817813988367,4,9,-0.0039746559584946375,0.021230037506193494
lightgbm,plus_feature_team_reception_share,1,36,3.1442549634828376,3.1526949322341538,0.00843996875131614,0.008284190980164752,0.003599824776351568,1,9,0.0012389760283350014,0.015529368383726884
