model_family,variant,slice_type,slice_value,n_rows,base_rmse,variant_rmse,delta_variant_minus_base
ridge,plus_all_legacy,position,QB,380,3.562020200719585,3.60393465415178,0.04191445343219513
ridge,plus_all_legacy,position,RB,1016,3.5632767529733878,3.5685488698086902,0.005272116835302487
ridge,plus_all_legacy,position,TE,802,2.3672820859434336,2.3771503480087737,0.009868262065340083
ridge,plus_all_legacy,position,WR,1503,3.1640339437058715,3.176566257880369,0.012532314174497294
ridge,plus_all_legacy,season,2017,407,3.1690242615302786,3.1543682945388074,-0.014655966991471203
ridge,plus_all_legacy,season,2018,405,3.490078838599456,3.4680535751343373,-0.022025263465118794
ridge,plus_all_legacy,season,2019,387,3.279592071683563,3.4053770853285474,0.1257850136449843
ridge,plus_all_legacy,season,2020,420,3.1930801743921817,3.1864301323712594,-0.006650042020922342
ridge,plus_all_legacy,season,2021,417,3.111858943359648,3.0854773588738054,-0.026381584485842602
ridge,plus_all_legacy,season,2022,426,2.852690606506056,2.838805933802921,-0.013884672703134981
ridge,plus_all_legacy,season,2023,415,3.160390265273186,3.1928902352199118,0.03249996994672566
ridge,plus_all_legacy,season,2024,408,3.181923812892216,3.2043177401202656,0.02239392722804956
ridge,plus_all_legacy,season,2025,416,3.107338975825776,3.1301961111110357,0.022857135285259567
ridge,plus_all_legacy,history_depth,other_no_history,27,2.390661153484234,2.4553617488778463,0.06470059539361239
ridge,plus_all_legacy,history_depth,rookie,532,3.5089514654989555,3.5396878538150354,0.030736388316079832
ridge,plus_all_legacy,history_depth,second_year,568,3.2505000458731037,3.297099553361069,0.046599507487965486
ridge,plus_all_legacy,history_depth,veteran_with_history,2574,3.0887304620588134,3.0895032610853215,0.0007727990265080642
ridge,plus_all_legacy,provider_depth,one,119,2.7910963190336022,2.808213780555967,0.017117461522364597
ridge,plus_all_legacy,provider_depth,three_plus,3047,3.2993161893325222,3.3099830726934028,0.010666883360880508
ridge,plus_all_legacy,provider_depth,two,535,2.4332352079059976,2.464945281830784,0.03171007392478664
ridge,plus_all_legacy,provider_era,2017_2019,1199,3.315871999257405,3.344127432752673,0.028255433495268267
ridge,plus_all_legacy,provider_era,2020_2022,1263,3.054924738119619,3.0393786083510066,-0.01554612976861236
ridge,plus_all_legacy,provider_era,2023_plus,1239,3.1498249970014505,3.175770946988421,0.02594594998697053
ridge,plus_experience_context,position,QB,380,3.562020200719585,3.567344396089421,0.005324195369836193
ridge,plus_experience_context,position,RB,1016,3.5632767529733878,3.567377314819805,0.004100561846417161
ridge,plus_experience_context,position,TE,802,2.3672820859434336,2.3693824380754296,0.0021003521319959972
ridge,plus_experience_context,position,WR,1503,3.1640339437058715,3.1602362359513494,-0.0037977077545221505
ridge,plus_experience_context,season,2017,407,3.1690242615302786,3.167497843753195,-0.0015264177770837328
ridge,plus_experience_context,season,2018,405,3.490078838599456,3.490684444220935,0.0006056056214789329
ridge,plus_experience_context,season,2019,387,3.279592071683563,3.283246030237537,0.0036539585539738795
ridge,plus_experience_context,season,2020,420,3.1930801743921817,3.1956074804164163,0.0025273060242345657
ridge,plus_experience_context,season,2021,417,3.111858943359648,3.1082704525340437,-0.003588490825604307
ridge,plus_experience_context,season,2022,426,2.852690606506056,2.8536388497970924,0.0009482432910363769
ridge,plus_experience_context,season,2023,415,3.160390265273186,3.1595858618561508,-0.0008044034170353598
ridge,plus_experience_context,season,2024,408,3.181923812892216,3.180908699801401,-0.0010151130908151451
ridge,plus_experience_context,season,2025,416,3.107338975825776,3.1127194401718263,0.005380464346050218
ridge,plus_experience_context,history_depth,other_no_history,27,2.390661153484234,2.37952091396889,-0.011140239515343708
ridge,plus_experience_context,history_depth,rookie,532,3.5089514654989555,3.5083612662059305,-0.0005901992930250621
ridge,plus_experience_context,history_depth,second_year,568,3.2505000458731037,3.250494898407176,-5.147465927723971e-06
ridge,plus_experience_context,history_depth,veteran_with_history,2574,3.0887304620588134,3.089967193949431,0.0012367318906174596
ridge,plus_experience_context,provider_depth,one,119,2.7910963190336022,2.800397965813049,0.00930164677944667
ridge,plus_experience_context,provider_depth,three_plus,3047,3.2993161893325222,3.2995435092417584,0.00022731990923618994
ridge,plus_experience_context,provider_depth,two,535,2.4332352079059976,2.4352515825591183,0.002016374653120767
ridge,plus_experience_context,provider_era,2017_2019,1199,3.315871999257405,3.3167592630584886,0.0008872638010837264
ridge,plus_experience_context,provider_era,2020_2022,1263,3.054924738119619,3.0548960556946483,-2.868242497067186e-05
ridge,plus_experience_context,provider_era,2023_plus,1239,3.1498249970014505,3.1510005400484546,0.0011755430470041794
ridge,plus_market_room,position,QB,380,3.562020200719585,3.5968439609977985,0.034823760278213545
ridge,plus_market_room,position,RB,1016,3.5632767529733878,3.5516389648320166,-0.011637788141371175
ridge,plus_market_room,position,TE,802,2.3672820859434336,2.3821084091274662,0.014826323184032653
ridge,plus_market_room,position,WR,1503,3.1640339437058715,3.172389629189457,0.00835568548358534
ridge,plus_market_room,season,2017,407,3.1690242615302786,3.1440998008133856,-0.024924460716893027
ridge,plus_market_room,season,2018,405,3.490078838599456,3.492706373501361,0.0026275349019049266
