variant_type,variant,added_feature_count,base_rmse,variant_rmse,pooled_delta_variant_minus_base,mean_season_delta_variant_minus_base,median_season_delta_variant_minus_base,variant_wins,exact_ties,season_count,bootstrap_95_low,bootstrap_95_high
family,family_opportunity_share,4,3.145195321332301,3.1413563256761146,-0.0038389956561863947,-0.003836870500612852,0.0017680027170463575,4,0,9,-0.013490851316626083,0.004845643707474744
family,family_market_room,5,3.145195321332301,3.14171644419646,-0.003478877135841163,-0.0037060462082282677,-0.005380627195023191,7,0,9,-0.010553362532804261,0.004452618011921761
family,family_experience_context,3,3.145195321332301,3.1467295631842807,0.0015342418519797008,0.0011923362402262623,-0.002323545553509554,5,0,9,-0.011047027549955579,0.012984043557994611
family,family_all_legacy,12,3.145195321332301,3.1490626930534757,0.003867371721174795,0.0035012155825461613,-0.0037685981888309072,5,0,9,-0.015441485712427106,0.02360887777487737
feature,feature_adp_mean_teammate_gap,1,3.145195321332301,3.141312324015134,-0.003882997317167014,-0.003876022929640399,-0.0034665631478381087,6,0,9,-0.011033446848695179,0.0029423657841805583
feature,feature_team_receiving_yard_share,1,3.145195321332301,3.1420888643104354,-0.0031064570218655163,-0.0030987881366069856,-0.0056292203882519765,5,0,9,-0.012716667181895187,0.0069248234692371
feature,feature_adp_teammates_better_count,1,3.145195321332301,3.142838374477428,-0.0023569468548729766,-0.002445517092816275,-0.004106369555837208,6,0,9,-0.007038415656136768,0.002518597820220542
feature,feature_adp_best_teammate_gap,1,3.145195321332301,3.1430722429998488,-0.0021230783324521774,-0.002252214015539137,-0.0033113557670234606,6,0,9,-0.008239619489794039,0.003770566536068159
feature,feature_adp_worst_teammate_gap,1,3.145195321332301,3.1434965535086734,-0.001698767823627545,-0.0018578822958663643,-0.0018362980095867343,6,0,9,-0.00927646139742297,0.006238042024960983
feature,feature_team_rush_attempt_share,1,3.145195321332301,3.1442089562309894,-0.0009863651013115593,-0.0011643439501306653,0.0018976633343315008,3,0,9,-0.012136472080442266,0.00839817167829318
feature,feature_expert_ppg_exp_diff,1,3.145195321332301,3.144980805233489,-0.00021451609881184552,-0.0002803410981979424,-0.0006190235042904391,5,0,9,-0.009792015422815116,0.00897930285416241
feature,feature_expert_ppg_exp_percentile,1,3.145195321332301,3.1450245636318,-0.00017075770050078987,-0.00024115265026308167,-0.00755759269050893,6,0,9,-0.009471009842693383,0.011273845023962364
feature,feature_team_target_share,1,3.145195321332301,3.145218418761275,2.3097428973883893e-05,2.4291598910844118e-05,0.0,0,8,9,0.0,7.287479673253235e-05
feature,feature_adp_room_strength_share,1,3.145195321332301,3.1470363554327614,0.001841034100460437,0.001639440011981414,0.0004150177605537486,4,0,9,-0.004921231346777543,0.008679138953833111
feature,feature_expert_ppg_exp_peer_mean,1,3.145195321332301,3.1516357108794613,0.006440389547160308,0.006281225489045885,0.004118744818899511,2,0,9,-0.0004522083155062479,0.01416150282366476
feature,feature_team_reception_share,1,3.145195321332301,3.152917231325713,0.007721909993412268,0.007914141099278805,0.00953731340303321,2,0,9,-0.0023091914199693045,0.016152701916863875
