player,actual_salary,is_keeper
"Jaylen Waddle Mia, WR",35,1
"Kenneth Walker III Sea, RB",12,1
"Jahmyr Gibbs Det, RB",48,
"Mark Andrews Bal, TE",37,
"Breece Hall NYJ, RB",25,
"Tua Tagovailoa Mia, QB",26,
"James Cook Buf, RB",21,
"Christian Watson GB, WR",15,
"Geno Smith Sea, QB",34,
"Dalton Kincaid Buf, TE",2,
"Drake London Atl, WR",12,
"Michael Pittman Jr. Ind, WR",4,
"Brock Purdy SF, QB",8,
"Steelers D/ST Pit, D/ST",1,
"Justin Tucker Bal, K",1,
,,
PLAYER,OFFER AMOUNT,
"Austin Ekeler LAC, RB",79,
"Davante Adams LV, WR",67,
"Tee Higgins Cin, WR",40,
"Deebo Samuel SF, WR",32,
"Joe Burrow Cin, QB",64,
"AJ Dillon GB, RB",2,
"Mike Evans TB, WR",8,
"Zach Ertz Ari, TE",1,
"DJ Chark Jr. Car, WR",1,
"Michael Gallup Dal, WR",1,
"Browns D/ST Cle, D/ST",1,
"Devin Singletary Hou, RB",1,
"C.J. Stroud Hou, QB",1,
"Jerome Ford Cle, RB",1,
"Cairo Santos Chi, K",1,
,,
PLAYER,OFFER AMOUNT,
"DK Metcalf Sea, WR",27,
"Rachaad White TB, RB",24,
"Greg Dulcich Den, TE",5,
"DeVonta Smith Phi, WR",40,
"Justin Herbert LAC, QB",50,
"Aaron Jones GB, RB",43,
"Rashaad Penny Phi, RB",1,
"Diontae Johnson Pit, WR",18,
"Patriots D/ST NE, D/ST",3,
"Tyler Lockett Sea, WR",20,
"Daniel Carlson LV, K",1,
"Matthew Stafford LAR, QB",21,
"Antonio Gibson Wsh, RB",7,
"Jamaal Williams NO, RB",10,
"Nico Collins Hou, WR",1,
,,
PLAYER,OFFER AMOUNT,
"Garrett Wilson NYJ, WR",16,1
"Nick Chubb Cle, RB",54,1
"Stefon Diggs Buf, WR",72,
"Justin Fields Chi, QB",58,
"Brandon Aiyuk SF, WR",9,
"Alvin Kamara NO, RB",14,
"Daniel Jones NYG, QB",39,
"Darren Waller NYG, TE",30,
"Saints D/ST NO, D/ST",1,
"Jake Elliott Phi, K",1,
"Ryan Tannehill Ten, QB",1,
"Quentin Johnston LAC, WR",2,
"Raheem Mostert Mia, RB",1,
"Elijah Mitchell SF, RB",1,
"Deuce Vaughn Dal, RB",1,
,,
PLAYER,OFFER AMOUNT,
"Justin Jefferson Min, WR",81,1
"Tyreek Hill Mia, WR",64,1
"Amari Cooper Cle, WR",30,
"Evan Engram Jax, TE",7,
"Dak Prescott Dal, QB",30,
"Dameon Pierce Hou, RB",35,
"Javonte Williams Den, RB",14,
"Derek Carr NO, QB",13,
"Khalil Herbert Chi, RB",9,
"Jaxon Smith-Njigba Sea, WR",5,
"D'Andre Swift Phi, RB",4,
"Ravens D/ST Bal, D/ST",1,
"JuJu Smith-Schuster NE, WR",2,
"Tyler Allgeier Atl, RB",1,
"Greg Zuerlein NYJ, K",1,
,,
PLAYER,OFFER AMOUNT,
"Calvin Ridley Jax, WR",10,1
"Christian McCaffrey SF, RB",65,1
"Amon-Ra St. Brown Det, WR",71,
"DJ Moore Chi, WR",35,
"Deshaun Watson Cle, QB",39,
"Alexander Mattison Min, RB",18,
"Miles Sanders Car, RB",17,
"James Conner Ari, RB",10,
"Dallas Goedert Phi, TE",8,
"Bryce Young Car, QB",1,
"Jordan Love GB, QB",10,
"Jordan Addison Min, WR",12,
"Riley Patterson Det, K",1,
"Romeo Doubs GB, WR",2,
"Eagles D/ST Phi, D/ST",1,
,,
,,
PLAYER,OFFER AMOUNT,
"Saquon Barkley NYG, RB",69,1
"Cooper Kupp LAR, WR",67,1
"CeeDee Lamb Dal, WR",69,
"Mike Williams LAC, WR",16,
"Anthony Richardson Ind, QB",30,
"David Njoku Cle, TE",9,
"Jerick McKinnon KC, RB",9,
"Jahan Dotson Wsh, WR",6,
"Brian Robinson Jr. Wsh, RB",4,
"Kyler Murray Ari, QB",3,
"Gabe Davis Buf, WR",7,
"Jimmy Garoppolo LV, QB",3,
"Deon Jackson Ind, RB",1,
"Younghoe Koo Atl, K",1,
"Commanders D/ST Wsh, D/ST",1,
,,
PLAYER,OFFER AMOUNT,
"Travis Kelce KC, TE",61,
"Rhamondre Stevenson NE, RB",38,
"Chris Olave NO, WR",54,
"Travis Etienne Jr. Jax, RB",45,
"Kirk Cousins Min, QB",32,
"David Montgomery Det, RB",17,
"Russell Wilson Den, QB",21,
"Jerry Jeudy Den, WR",7,
"Pat Freiermuth Pit, TE",2,
"Michael Thomas NO, WR",2,
"Cole Kmet Chi, TE",2,
"Rondale Moore Ari, WR",2,
"Darnell Mooney Chi, WR",1,
"Bills D/ST Buf, D/ST",1,
"Tyler Bass Buf, K",1,
,,
,,
PLAYER,OFFER AMOUNT,
"Derrick Henry Ten, RB",71,
"Josh Allen Buf, QB",66,
"Patrick Mahomes KC, QB",73,
"Lamar Jackson Bal, QB",60,
"Dalvin Cook NYJ, RB",18,
