"Alvin Kamara NO, RB",35.00
"Nick Chubb Cle, RB",18.00
"DeAndre Hopkins Hou, WR",98.00
"JuJu Smith-Schuster Pit, WR",71.00
"DJ Moore Car, WR",23.00
"Jarvis Landry Cle, WR",28.00
"Jared Goff LAR, QB",1.00
"Matt Breida SF, RB",3.00
"Jared Cook NO, TE",8.00
"Duke Johnson Hou, RB",6.00
"Tony Pollard Dal, RB",1.00
"Kalen Ballage Mia, RB",1.00
"Ravens D/ST Bal, D/ST",2.00
"Mason Crosby GB, K",1.00
"Mecole Hardman KC, WR",1.00
,
PLAYER,OFFER AMOUNT
"Michael Thomas NO, WR",55.00
"Damien Williams KC, RB",16.00
"Leonard Fournette Jax, RB",72.00
"Curtis Samuel Car, WR",22.00
"Kerryon Johnson Det, RB",74.00
"Matt Ryan Atl, QB",10.00
"Austin Ekeler LAC, RB",20.00
"Austin Hooper Atl, TE",9.00
"Saints D/ST NO, D/ST",2.00
"Stephen Gostkowski NE, K",1.00
"Anthony Miller Chi, WR",1.00
"Albert Wilson Mia, WR",1.00
"Keke Coutee Hou, WR",2.00
"Parris Campbell Ind, WR",3.00
"Mark Andrews Bal, TE",1.00
,
PLAYER,OFFER AMOUNT
"Travis Kelce KC, TE",46.00
"Christian McCaffrey Car, RB",77.00
"Deshaun Watson Hou, QB",22.00
"Derrick Henry Ten, RB",51.00
"DK Metcalf Sea, WR",7.00
"Josh Jacobs Oak, RB",57.00
"Will Fuller V Hou, WR",11.00
"Mike Williams LAC, WR",19.00
"Vikings D/ST Min, D/ST",1.00
"Geronimo Allison GB, WR",3.00
"Eric Ebron Ind, TE",2.00
"Marquise Brown Bal, WR",1.00
"Dion Lewis Ten, RB",1.00
"Jalen Richard Oak, RB",1.00
"Brett Maher Dal, K",1.00
,
PLAYER,OFFER AMOUNT
"Mike Evans TB, WR",65.00
"Robert Woods LAR, WR",19.00
"Dalvin Cook Min, RB",70.00
"Keenan Allen LAC, WR",67.00
"Baker Mayfield Cle, QB",5.00
"Tevin Coleman SF, RB",20.00
"Andrew Luck FA, QB",3.00
"David Njoku Cle, TE",7.00
"Marvin Jones Jr. Det, WR",6.00
"Rams D/ST LAR, D/ST",3.00
"Dante Pettis SF, WR",7.00
"Larry Fitzgerald Ari, WR",7.00
"Tyrell Williams Oak, WR",6.00
"Darrell Henderson Jr. LAR, RB",13.00
"Adam Vinatieri Ind, K",1.00
,
PLAYER,OFFER AMOUNT
"Tyler Lockett Sea, WR",11.00
"Patrick Mahomes KC, QB",11.00
"Todd Gurley II LAR, RB",84.00
"Chris Carson Sea, RB",45.00
"Brandin Cooks LAR, WR",53.00
"David Montgomery Chi, RB",41.00
"Vance McDonald Pit, TE",1.00
"Carson Wentz Phi, QB",4.00
"Nyheim Hines Ind, RB",2.00
"Christian Kirk Ari, WR",12.00
"Miles Sanders Phi, RB",21.00
"Harrison Butker KC, K",4.00
"Carlos Hyde Hou, RB",1.00
