player,actual_salary,is_keeper
Christian McCaffrey,$110 ,
" Car, RB",,
A.J. Brown,$50 ,
" Ten, WR",,
Miles Sanders,$39 ,
" Phi, RB",,
Lamar Jackson,$27 ,
" Bal, QB",,
Tom Brady,$14 ,
" TB, QB",,
Kyle Pitts,$20 ,
" Atl, TE",,
Chase Claypool,$15 ,
" Pit, WR",,
Myles Gaskin,$18 ,
" Mia, RB",,
Sam Darnold,$1 ,
" Car, QB",,
Michael Pittman,$1 ,
" Jr. Ind, WR",,
Kirk Cousins,$1 ,
" Min, QB",,
Elijah Moore,$1 ,
" NYJ, WR",,
Mecole Hardman,$1 ,
" KC, WR",,
"Broncos D/ST Den, D/ST",$1 ,
Younghoe Koo,$1 ,
" Atl, K",,
,,
Dalvin Cook,$116 ,
" Min, RB",,
Nick Chubb,$73 ,
" Cle, RB",,
Mike Evans,$40 ,
" TB, WR",,
Mark Andrews,$19 ,
" Bal, TE",,
JuJu Smith-Schuster,$17 ,
" Pit, WR",,
Marvin Jones,$8 ,
" Jr. Jax, WR",,
Kenny Golladay,$18 ,
" NYG, WR",,
William Fuller,$2 ,
" V Mia, WR",,
Mike Williams,$1 ,
" LAC, WR",,
Mike Gesicki,$1 ,
" Mia, TE",,
Jakobi Meyers,$1 ,
" NE, WR",,
DeVante Parker,$1 ,
" Mia, WR",,
"Bills D/ST Buf, D/ST",$1 ,
Jason Sanders,$1 ,
" Mia, K",,
Daniel Jones,,
" NYG, QB",,
Saquon Barkley,$95 ,
" NYG, RB",,
Travis Kelce,$71 ,
" KC, TE",,
Davante Adams,$87 ,
" GB, WR",,
Chris Godwin,$30 ,
" TB, WR",,
Michael Gallup,$7 ,
" Dal, WR",,
Curtis Samuel,$1 ,
" Wsh, WR",,
David Johnson,$1 ,
" Hou, RB",,
Jalen Reagor,$1 ,
" Phi, WR",,
James White,$1 ,
" NE, RB",,
Tyrell Williams,$1 ,
" Det, WR",,
Parris Campbell,$1 ,
" Ind, WR",,
Austin Hooper,$1 ,
" Cle, TE",,
Tyler Bass,$1 ,
" Buf, K",,
"Vikings D/ST Min, D/ST",$1 ,
Teddy Bridgewater,$1 ,
" Den, QB",,
Austin Ekeler,$87 ,
" LAC, RB",,
DK Metcalf,$60 ,
" Sea, WR",,
Calvin Ridley,$61 ,
" Atl, WR",,
Keenan Allen,$43 ,
" LAC, WR",,
D'Andre Swift,$38 ,
" Det, RB",,
Antonio Brown,$2 ,
" TB, WR",,
Tua Tagovailoa,$1 ,
" Mia, QB",,
Dallas Goedert,$1 ,
" Phi, TE",,
Justin Jackson,$1 ,
" LAC, RB",,
Ben Roethlisberger,$1 ,
" Pit, QB",,
Zach Wilson,$1 ,
" NYJ, QB",,
"Patriots D/ST NE, D/ST",$1 ,
Darnell Mooney,$1 ,
" Chi, WR",,
Matt Gay,$1 ,
" LAR, K",,
Phillip Lindsay,$1 ,
" Hou, RB",,
,,
"DeAndre Hopkins Ari, WR",$64 ,
"Justin Jefferson Min, WR",$56 ,
"Darren Waller LV, TE",$42 ,
"David Montgomery Chi, RB",$43 ,
"Kyler Murray Ari, QB",$43 ,
"Dak Prescott Dal, QB",$26 ,
"Courtland Sutton Den, WR",$3 ,
"Jarvis Landry Cle, WR",$3 ,
"Marquez Callaway NO, WR",$5 ,
