player,actual_salary,is_keeper
"De'Von Achane Mia, RB",$27 ,1
"Jayden Daniels Wsh, QB",$36 ,1
"Jahmyr Gibbs Det, RB",$101 ,
"Brock Purdy SF, QB",$29 ,
"Xavier Worthy KC, WR",$22 ,
"Drake Maye NE, QB",$8 ,
"Travis Hunter Jax, WR",$15 ,
"Tetairoa McMillan Car, WR",$26 ,
"Tyler Warren Ind, TE",$3 ,
"Jordan Addison Min, WR",$4 ,
"Matthew Golden GB, WR",$6 ,
"Zach Charbonnet Sea, RB",$8 ,
"Cam Skattebo NYG, RB",$1 ,
"Eagles D/ST Phi, D/ST",$1 ,
"Cameron Dicker LAC, K",,
,,
Player,OFFER AMOUNT,
"Christian McCaffrey SF, RB",$100 ,
"Mike Evans TB, WR",$36 ,
"George Kittle SF, TE",$27 ,
"James Conner Ari, RB",$50 ,
"DJ Moore Chi, WR",$16 ,
"Justin Herbert LAC, QB",$10 ,
"Zay Flowers Bal, WR",$25 ,
"Jared Goff Det, QB",$15 ,
"Jakobi Meyers LV, WR",$7 ,
"J.K. Dobbins Den, RB",$5 ,
"Evan Engram Den, TE",$3 ,
"Michael Pittman Jr. Ind, WR",$3 ,
"Keenan Allen LAC, WR",$1 ,
"Seahawks D/ST Sea, D/ST",$1 ,
"Jason Sanders Mia, K",$1 ,
,,
Player,OFFER AMOUNT,
"Ashton Jeanty LV, RB",$84 ,
"Jonathan Taylor Ind, RB",$81 ,
"James Cook Buf, RB",$74 ,
"Dak Prescott Dal, QB",$23 ,
"Emeka Egbuka TB, WR",$16 ,
"Jordan Love GB, QB",$9 ,
"Jaylen Warren Pit, RB",$4 ,
"Jauan Jennings SF, WR",$2 ,
"Dallas Goedert Phi, TE",$1 ,
"Jake Ferguson Dal, TE",$1 ,
"Jaydon Blue Dal, RB",$1 ,
"Jaylen Wright Mia, RB",$1 ,
"Adam Thielen Car, WR",$1 ,
"Lions D/ST Det, D/ST",$1 ,
"Harrison Butker KC, K",$1 ,
,,
Player,OFFER AMOUNT,
"Baker Mayfield TB, QB",$13 ,1
"Bucky Irving TB, RB",$20 ,1
"Josh Allen Buf, QB",$77 ,
"Omarion Hampton LAC, RB",$53 ,
"Drake London Atl, WR",$60 ,
"Jaxon Smith-Njigba Sea, WR",$45 ,
"Courtland Sutton Den, WR",$21 ,
"Chris Boswell Pit, K",$2 ,
"Steelers D/ST Pit, D/ST",$3 ,
"Josh Downs Ind, WR",$1 ,
"Tucker Kraft GB, TE",$1 ,
"Marvin Mims Jr. Den, WR",$1 ,
"Geno Smith LV, QB",$1 ,
"Braelon Allen NYJ, RB",$1 ,
"Bhayshul Tuten Jax, RB",$1 ,
,,
Player,OFFER AMOUNT,
"Bo Nix Den, QB",$11 ,1
"Tee Higgins Cin, WR",$27 ,1
"Justin Jefferson Min, WR",$90 ,
"Trey McBride Ari, TE",$53 ,
"TreVeyon Henderson NE, RB",$54 ,
"Caleb Williams Chi, QB",$11 ,
"DK Metcalf Pit, WR",$15 ,
"Tyrone Tracy Jr. NYG, RB",$24 ,
"Joe Mixon Hou, RB",$4 ,
"Austin Ekeler Wsh, RB",$3 ,
"Travis Etienne Jr. Jax, RB",$4 ,
"Darnell Mooney Atl, WR",$1 ,
"Sam Darnold Sea, QB",$1 ,
"Patriots D/ST NE, D/ST",$1 ,
"Tyler Loop Bal, K",$1 ,
,,
Player,OFFER AMOUNT,
"Rashee Rice KC, WR",$10 ,1
"Chris Olave NO, WR",$13 ,1
"Derrick Henry Bal, RB",$91 ,
"Puka Nacua LAR, WR",$73 ,
"Tyreek Hill Mia, WR",$35 ,
"Kyler Murray Ari, QB",$43 ,
"Alvin Kamara NO, RB",$21 ,
"Rhamondre Stevenson NE, RB",$2 ,
"Bryce Young Car, QB",$2 ,
"Tyler Bass Buf, K",$1 ,
"Colston Loveland Chi, TE",$2 ,
"Giants D/ST NYG, D/ST",$1 ,
"Quinshon Judkins Cle, RB",$2 ,
"Daniel Jones Ind, QB",$1 ,
"Nick Chubb Hou, RB",$3 ,
,,
,,
Player,OFFER AMOUNT,
"Bijan Robinson Atl, RB",$107 ,1
"Brock Bowers LV, TE",$11 ,1
"Nico Collins Hou, WR",$66 ,
"Calvin Ridley Ten, WR",$24 ,
"RJ Harvey Den, RB",$35 ,
"Jaylen Waddle Mia, WR",$11 ,
"Cam Ward Ten, QB",$6 ,
"Tua Tagovailoa Mia, QB",$6 ,
"Javonte Williams Dal, RB",$4 ,
"C.J. Stroud Hou, QB",$5 ,
"Ricky Pearsall SF, WR",$7 ,
"Brandon Aubrey Dal, K",$6 ,
"Jordan Mason Min, RB",$7 ,
"Jets D/ST NYJ, D/ST",$1 ,
"Tyjae Spears Ten, RB",$2 ,
,,
Player,OFFER AMOUNT,
"Brian Thomas Jr. Jax, WR",$12 ,1
"Joe Burrow Cin, QB",$24 ,1
"A.J. Brown Phi, WR",$75 ,
"CeeDee Lamb Dal, WR",$91 ,
"Amon-Ra St. Brown Det, WR",$83 ,
"Stefon Diggs NE, WR",$4 ,
"Cooper Kupp Sea, WR",$2 ,
"Khalil Shakir Buf, WR",$2 ,
"Rachaad White TB, RB",$1 ,
"Tyler Allgeier Atl, RB",$1 ,
"Hunter Henry NE, TE",$1 ,
"Xavier Legette Car, WR",$1 ,
"Cedric Tillman Cle, WR",$1 ,
"Bills D/ST Buf, D/ST",$1 ,
"Cairo Santos Chi, K",$1 ,
,,
,,
Player,OFFER AMOUNT,
"Saquon Barkley Phi, RB",$101 ,
"Lamar Jackson Bal, QB",$73 ,
"Jalen Hurts Phi, QB",$71 ,
"Terry McLaurin Wsh, WR",$37 ,
"Mark Andrews Bal, TE",$4 ,
"Texans D/ST Hou, D/ST",$2 ,
"Matthew Stafford LAR, QB",$1 ,
"Jake Elliott Phi, K",$1 ,
"Jayden Reed GB, WR",$1 ,
"Rashid Shaheed NO, WR",$2 ,
"Najee Harris LAC, RB",$1 ,
"Kareem Hunt KC, RB",$1 ,
"Dalton Kincaid Buf, TE",$2 ,
"Trey Benson Ari, RB",$1 ,
"Will Shipley Phi, RB",$1 ,
,,
Player,OFFER AMOUNT,
"Ja'Marr Chase Cin, WR",$71 ,1
"Ladd McConkey LAC, WR",$11 ,1
"Garrett Wilson NYJ, WR",$32 ,
"Breece Hall NYJ, RB",$39 ,
"David Montgomery Det, RB",$31 ,
"Aaron Jones Sr. Min, RB",$11 ,
"Sam LaPorta Det, TE",$10 ,
"D'Andre Swift Chi, RB",$18 ,
"Tony Pollard Ten, RB",$21 ,
"Isiah Pacheco KC, RB",$11 ,
"J.J. McCarthy Min, QB",$5 ,
"Jake Bates Det, K",$2 ,
"Jerry Jeudy Cle, WR",$8 ,
"George Pickens Dal, WR",$16 ,
"Broncos D/ST Den, D/ST",$3 ,
,,
Player,OFFER AMOUNT,
"Chase Brown Cin, RB",$23 ,1
"Malik Nabers NYG, WR",$78 ,
"Kyren Williams LAR, RB",$69 ,
"Marvin Harrison Jr. Ari, WR",$24 ,
"Travis Kelce KC, TE",$8 ,
"Jameson Williams Det, WR",$16 ,
"David Njoku Cle, TE",$4 ,
"Jacory Croskey-Merritt Wsh, RB",$10 ,
"Kaleb Johnson Pit, RB",$10 ,
"Trevor Lawrence Jax, QB",$12 ,
"Michael Penix Jr. Atl, QB",$10 ,
"Evan McPherson Cin, K",$2 ,
"Deebo Samuel Wsh, WR",$6 ,
"Tank Bigsby Jax, RB",$3 ,
"Ravens D/ST Bal, D/ST",$5 ,
,,
Player,OFFER AMOUNT,
"Josh Jacobs GB, RB",$42 ,1
"Patrick Mahomes KC, QB",$59 ,
"Justin Fields NYJ, QB",$34 ,
"Davante Adams LAR, WR",$26 ,
"Chuba Hubbard Car, RB",$40 ,
"Kenneth Walker III Sea, RB",$48 ,
"Chase McLaughlin TB, K",$2 ,
"DeVonta Smith Phi, WR",$14 ,
"T.J. Hockenson Min, TE",$8 ,
"Rome Odunze Chi, WR",$15 ,
"Chris Godwin TB, WR",$6 ,
"Aaron Rodgers Pit, QB",$2 ,
"Vikings D/ST Min, D/ST",$2 ,
"Keon Coleman Buf, WR",$1 ,
"Jayden Higgins Hou, WR",$1 ,
