player,actual_salary,is_keeper
"Jalen Hurts Phi, QB",$65 ,
"DK Metcalf Sea, WR",$38 ,
"Zamir White LV, RB",$21 ,
"Justin Herbert LAC, QB",$22 ,
"Trey McBride Ari, TE",$20 ,
"Brian Robinson Jr. Wsh, RB",$9 ,
"Blake Corum LAR, RB",$1 ,
"Ladd McConkey LAC, WR",$1 ,
"Gardner Minshew LV, QB",$1 ,
"Ty Chandler Min, RB",$1 ,
"Dalton Schultz Hou, TE",$1 ,
"Jaguars D/ST Jax, D/ST",$1 ,
"Cameron Dicker LAC, K",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Isiah Pacheco KC, RB",$31 ,1
"Jonathan Taylor Ind, RB",$38 ,1
"DJ Moore Chi, WR",$30 ,
"Stefon Diggs Hou, WR",$38 ,
"Cooper Kupp LAR, WR",$44 ,
"James Conner Ari, RB",$24 ,
"Caleb Williams Chi, QB",$45 ,
"Rome Odunze Chi, WR",$7 ,
"Deshaun Watson Cle, QB",$6 ,
"Browns D/ST Cle, D/ST",$6 ,
"Diontae Johnson Car, WR",$5 ,
"Kyle Pitts Atl, TE",$7 ,
"Chase Brown Cin, RB",$13 ,
"Harrison Butker KC, K",$2 ,
"Christian Watson GB, WR",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Terry McLaurin Wsh, WR",$19 ,1
"Trevor Lawrence Jax, QB",$34 ,1
"Brock Purdy SF, QB",$32 ,
"Davante Adams LV, WR",$51 ,
"Rachaad White TB, RB",$36 ,
"Ezekiel Elliott Dal, RB",$6 ,
"Brandon Aiyuk SF, WR",$35 ,
"Aaron Jones Min, RB",$15 ,
"Josh Jacobs GB, RB",$32 ,
"Chris Godwin TB, WR",$6 ,
"Evan Engram Jax, TE",$14 ,
"DeAndre Hopkins Ten, WR",$3 ,
"Ravens D/ST Bal, D/ST",$3 ,
"Jake Elliott Phi, K",$2 ,
"Will Levis Ten, QB",$2 ,
