player,actual_salary,is_keeper
"Alvin Kamara NO, RB",$55 ,1
"Nick Chubb Cle, RB",$33 ,1
"Clyde Edwards-Helaire KC, RB",$92 ,
"DJ Moore Car, WR",$49 ,
"Travis Kelce KC, TE",$46 ,
"Diontae Johnson Pit, WR",$7 ,
"Daniel Jones NYG, QB",$1 ,
"Greg Zuerlein Dal, K",$1 ,
"Jerry Jeudy Den, WR",$4 ,
"Latavius Murray NO, RB",$5 ,
"AJ Dillon GB, RB",$2 ,
"N'Keal Harry NE, WR",$1 ,
"Mecole Hardman KC, WR",$2 ,
"Chiefs D/ST KC, D/ST",$1 ,
"Justin Jackson LAC, RB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Austin Ekeler LAC, RB",$30 ,1
"Lamar Jackson Bal, QB",$11 ,1
"David Johnson Hou, RB",$55 ,
"Marquise Brown Bal, WR",$17 ,
"Kenny Golladay Det, WR",$53 ,
"A.J. Green Cin, WR",$34 ,
"Raheem Mostert SF, RB",$28 ,
"Michael Gallup Dal, WR",$34 ,
"Phillip Lindsay Den, RB",$21 ,
"Bills D/ST Buf, D/ST",$2 ,
"Eric Ebron Pit, TE",$1 ,
"Darrel Williams KC, RB",$1 ,
"Emmanuel Sanders NO, WR",$9 ,
"Justin Tucker Bal, K",$3 ,
"Scotty Miller TB, WR",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Derrick Henry Ten, RB",$61 ,1
"Christian McCaffrey Car, RB",$97 ,1
"Mark Andrews Bal, TE",$22 ,
"D'Andre Swift Det, RB",$20 ,
"Rob Gronkowski TB, TE",$20 ,
"Keenan Allen LAC, WR",$24 ,
"T.Y. Hilton Ind, WR",$27 ,
"Kerryon Johnson Det, RB",$7 ,
"Matt Ryan Atl, QB",$3 ,
"Julian Edelman NE, WR",$14 ,
"Titans D/ST Ten, D/ST",$1 ,
"Ryan Succop TB, K",$1 ,
"Sammy Watkins KC, WR",$1 ,
"Chris Thompson Jax, RB",$1 ,
"Parris Campbell Ind, WR",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Darren Waller LV, TE",$15 ,1
"Dalvin Cook Min, RB",$80 ,1
"Julio Jones Atl, WR",$61 ,
"Patrick Mahomes KC, QB",$21 ,
"Davante Adams GB, WR",$67 ,
"Mark Ingram II Bal, RB",$29 ,
"Jordan Howard Mia, RB",$7 ,
"Christian Kirk Ari, WR",$6 ,
"Darius Slayton NYG, WR",$5 ,
"Robbie Gould SF, K",$1 ,
"Bears D/ST Chi, D/ST",$1 ,
"Mike Williams LAC, WR",$2 ,
"Duke Johnson Hou, RB",$2 ,
