player,actual_salary,is_keeper
"Bhayshul Tuten JAX, RB",$11 ,1
"Chase Brown CIN, RB",$34 ,1
"Jahmyr Gibbs DET, RB",$125 ,
"Luther Burden III CHI, WR",$37 ,
"Jameson Williams DET, WR",$24 ,
"Colston Loveland CHI, TE",$13 ,
"Christian Watson GB, WR",$11 ,
"Harold Fannin Jr. CLE, TE",$11 ,
"RJ Harvey DEN, RB",$6 ,
"Trevor Lawrence JAX, QB",$4 ,
"Rams D/ST LAR, D/ST",$3 ,
"De'Zhaun Stribling SF, WR",$3 ,
"Will Reichard MIN, K",$1 ,
"Jordyn Tyson NO, WR",$2 ,
"Jacory Croskey-Merritt WSH, RB",$12 ,
,,
Player,OFFER AMOUNT,
"De'Von Achane MIA, RB",$69 ,
"A.J. Brown NE, WR",$73 ,
"Travis Etienne Jr. NO, RB",$51 ,
"Jaylen Waddle DEN, WR",$37 ,
"Justin Herbert LAC, QB",$12 ,
"J.K. Dobbins DEN, RB",$14 ,
"Parker Washington JAX, WR",$19 ,
"Ka'imi Fairbairn HOU, K",$2 ,
"Jordan Addison MIN, WR",$4 ,
"Steelers D/ST PIT, D/ST",$2 ,
"Jake Ferguson DAL, TE",$2 ,
"Tyjae Spears TEN, RB",$3 ,
"Jordan Mason MIN, RB",$3 ,
"Mike Washington Jr. LV, RB",$2 ,
"Jonah Coleman DEN, RB",$1 ,
,,
Player,OFFER AMOUNT,
"Cam Skattebo NYG, RB",$18 ,1
"Brock Bowers LV, TE",$36 ,1
"Jeremiyah Love ARI, RB",$62 ,
"Justin Jefferson MIN, WR",$77 ,
"Nico Collins HOU, WR",$49 ,
"Carnell Tate TEN, WR",$21 ,
"MarShawn Lloyd GB, RB",$13 ,
"Michael Wilson ARI, WR",$4 ,
"Jaxson Dart NYG, QB",$2 ,
"Brian Thomas Jr. JAX, WR",$10 ,
"Cam Little JAX, K",$2 ,
"Xavier Worthy KC, WR",$2 ,
"Ravens D/ST BAL, D/ST",$1 ,
"Najee Harris NYG, RB",$1 ,
"Jayden Reed GB, WR",$2 ,
,,
Player,OFFER AMOUNT,
"Kyle Pitts Sr. ATL, TE",$10 ,
"Christian McCaffrey SF, RB",$88 ,
"Rashee Rice KC, WR",$55 ,
"Bucky Irving TB, RB",$38 ,
"D'Andre Swift CHI, RB",$37 ,
"Zay Flowers BAL, WR",$48 ,
"Courtland Sutton DEN, WR",$12 ,
"Romeo Doubs NE, WR",$2 ,
"Alvin Kamara NO, RB",$2 ,
"Josh Downs IND, WR",$2 ,
"Caleb Williams CHI, QB",$2 ,
"Eagles D/ST PHI, D/ST",$1 ,
"Harrison Mevis LAR, K",$1 ,
"Keaton Mitchell LAC, RB",$1 ,
"Juwan Johnson NO, TE",$1 ,
,,
Player,OFFER AMOUNT,
"Omarion Hampton LAC, RB",$67 ,1
"George Pickens DAL, WR",$51 ,
"Terry McLaurin WSH, WR",$15 ,
"Mike Evans SF, WR",$18 ,
"Jalen Hurts PHI, QB",$11 ,
"Tee Higgins CIN, WR",$40 ,
"Jadarian Price SEA, RB",$40 ,
"Rhamondre Stevenson NE, RB",$30 ,
"George Kittle SF, TE",$4 ,
"Jonathon Brooks CAR, RB",$14 ,
"Kyle Monangai CHI, RB",$6 ,
"Mark Andrews BAL, TE",$1 ,
"Lions D/ST DET, D/ST",$1 ,
"Harrison Butker KC, K",$1 ,
"Kyler Murray MIN, QB",$1 ,
,,
Player,OFFER AMOUNT,
"Amon-Ra St. Brown DET, WR",$89 ,
"Ashton Jeanty LV, RB",$60 ,
"Lamar Jackson BAL, QB",$25 ,
"Josh Jacobs GB, RB",$26 ,
"Emeka Egbuka TB, WR",$43 ,
"Ladd McConkey LAC, WR",$37 ,
"Dak Prescott DAL, QB",$7 ,
"Woody Marks HOU, RB",$5 ,
"Tre Tucker LV, WR",$2 ,
"T.J. Hockenson MIN, TE",$1 ,
"Cairo Santos CHI, K",$1 ,
"Justice Hill BAL, RB",$1 ,
"Calvin Ridley TEN, WR",$1 ,
"Samaje Perine CIN, RB",$1 ,
"Jets D/ST NYJ, D/ST",$1 ,
,,
Player,OFFER AMOUNT,
"Quinshon Judkins CLE, RB",$30 ,1
"Garrett Wilson NYJ, WR",$37 ,1
"Kenneth Walker III KC, RB",$68 ,
"Breece Hall NYJ, RB",$54 ,
"TreVeyon Henderson NE, RB",$26 ,
"Tetairoa McMillan CAR, WR",$37 ,
"Davante Adams LAR, WR",$37 ,
"Brandon Aubrey DAL, K",$4 ,
"Brock Purdy SF, QB",$1 ,
"Kenyon Sadiq NYJ, TE",$1 ,
"Braelon Allen NYJ, RB",$1 ,
"Terrance Ferguson LAR, TE",$1 ,
"Devaughn Vele NO, WR",$1 ,
"Ray Davis BUF, RB",$1 ,
"Chargers D/ST LAC, D/ST",$1 ,
,,
Player,OFFER AMOUNT,
"Javonte Williams DAL, RB",$17 ,1
"Jonathan Taylor IND, RB",$104 ,1
"Drake London ATL, WR",$55 ,
"Trey McBride ARI, TE",$35 ,
"Marvin Harrison Jr. ARI, WR",$25 ,
"Drake Maye NE, QB",$11 ,
"Rome Odunze CHI, WR",$19 ,
"Kenny Gainwell TB, RB",$14 ,
"Zach Charbonnet SEA, RB",$7 ,
"Aaron Jones Sr. MIN, RB",$4 ,
"Jason Myers SEA, K",$1 ,
"Texans D/ST HOU, D/ST",$4 ,
"Bo Nix DEN, QB",$2 ,
"Deebo Samuel Sr. SF, WR",$1 ,
"Tank Dell HOU, WR",$1 ,
,,
Player,OFFER AMOUNT,
"Malik Nabers NYG, WR",$37 ,1
"Jaxon Smith-Njigba SEA, WR",$42 ,1
"Bijan Robinson ATL, RB",$123 ,
"David Montgomery HOU, RB",$35 ,
"DJ Moore BUF, WR",$19 ,
"Tony Pollard TEN, RB",$16 ,
"Quentin Johnston LAC, WR",$6 ,
"Matthew Stafford LAR, QB",$2 ,
"Travis Hunter JAX, WR",$2 ,
"Patrick Mahomes KC, QB",$2 ,
"Dallas Goedert PHI, TE",$3 ,
"Seahawks D/ST SEA, D/ST",$2 ,
"Travis Kelce KC, TE",$2 ,
"Brian Robinson Jr. ATL, RB",$1 ,
"Eddy Pineiro SF, K",$2 ,
,,
Player,OFFER AMOUNT,
"Chris Olave NO, WR",$22 ,1
"Jayden Daniels WSH, QB",$11 ,1
"Kyren Williams LAR, RB",$50 ,
"Saquon Barkley PHI, RB",$88 ,
"CeeDee Lamb DAL, WR",$76 ,
"Tyler Warren IND, TE",$18 ,
"Stefon Diggs WSH, WR",$11 ,
"Chris Godwin Jr. TB, WR",$14 ,
"Tyler Allgeier ARI, RB",$2 ,
"Isiah Pacheco DET, RB",$2 ,
"Khalil Shakir BUF, WR",$2 ,
"Patriots D/ST NE, D/ST",$1 ,
