player,actual_salary,is_keeper
"Jahmyr Gibbs Det, RB",$68 ,1
"Trey McBride Ari, TE",$11 ,1
"Bijan Robinson Atl, RB",$96 ,
"Malik Nabers NYG, WR",$40 ,
"Jaylen Waddle Mia, WR",$40 ,
"Tank Dell Hou, WR",$21 ,
"Khalil Shakir Buf, WR",$4 ,
"Bucky Irving TB, RB",$2 ,
"Chase Brown Cin, RB",$9 ,
"Brandon Aubrey Dal, K",$1 ,
"Caleb Williams Chi, QB",$3 ,
"Romeo Doubs GB, WR",$2 ,
"Dontayvion Wicks GB, WR",$1 ,
"Trevor Lawrence Jax, QB",$1 ,
"Seahawks D/ST Sea, D/ST",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Marvin Harrison Jr. Ari, WR",$63 ,
"Justin Jefferson Min, WR",$74 ,
"Isiah Pacheco KC, RB",$61 ,
"James Cook Buf, RB",$44 ,
"George Kittle SF, TE",$16 ,
"Christian Watson GB, WR",$13 ,
"Rome Odunze Chi, WR",$13 ,
"Evan McPherson Cin, K",$2 ,
"Pat Freiermuth Pit, TE",$2 ,
"Jets D/ST NYJ, D/ST",$2 ,
"Matthew Stafford LAR, QB",$1 ,
"Ty Chandler Min, RB",$1 ,
"Rico Dowdle Dal, RB",$2 ,
"Jayden Daniels Wsh, QB",$3 ,
"Tyler Allgeier Atl, RB",$2 ,
,,
PLAYER,OFFER AMOUNT,
"Kyren Williams LAR, RB",$11 ,1
"Ja'Marr Chase Cin, WR",$62 ,1
"A.J. Brown Phi, WR",$66 ,
"Cooper Kupp LAR, WR",$62 ,
"Zamir White LV, RB",$21 ,
"Brock Bowers LV, TE",$11 ,
"Tony Pollard Ten, RB",$18 ,
"Jake Elliott Phi, K",$1 ,
"Adonai Mitchell Ind, WR",$2 ,
"Terry McLaurin Wsh, WR",$21 ,
"DeAndre Hopkins Ten, WR",$9 ,
"49ers D/ST SF, D/ST",$5 ,
"Brock Purdy SF, QB",$3 ,
"Jameson Williams Det, WR",$7 ,
"Kirk Cousins Atl, QB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Raheem Mostert Mia, RB",$13 ,1
"Nico Collins Hou, WR",$12 ,1
"CeeDee Lamb Dal, WR",$88 ,
"Chris Olave NO, WR",$47 ,
"Puka Nacua LAR, WR",$57 ,
"Rachaad White TB, RB",$40 ,
"Dak Prescott Dal, QB",$7 ,
"David Njoku Cle, TE",$10 ,
"Devin Singletary NYG, RB",$16 ,
"Dallas Goedert Phi, TE",$1 ,
"Dustin Hopkins Cle, K",$1 ,
"Chuba Hubbard Car, RB",$3 ,
"Skyy Moore KC, WR",$2 ,
"Saints D/ST NO, D/ST",$1 ,
,,
,,
PLAYER,OFFER AMOUNT,
"Rhamondre Stevenson NE, RB",$11 ,1
"Amon-Ra St. Brown Det, WR",$46 ,1
"De'Von Achane Mia, RB",$72 ,
"Anthony Richardson Ind, QB",$17 ,
"Amari Cooper Cle, WR",$20 ,
"DJ Moore Chi, WR",$30 ,
"Justin Tucker Bal, K",$3 ,
"Aaron Jones Min, RB",$32 ,
"Brian Robinson Jr. Wsh, RB",$20 ,
"Ladd McConkey LAC, WR",$9 ,
"Ravens D/ST Bal, D/ST",$4 ,
"Jordan Love GB, QB",$6 ,
"Najee Harris Pit, RB",$28 ,
"Taysom Hill NO, TE",$1 ,
"Dalton Schultz Hou, TE",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Josh Allen Buf, QB",$36 ,
"Drake London Atl, WR",$49 ,
"DK Metcalf Sea, WR",$48 ,
