player,actual_salary,is_keeper
"De'Von Achane MIA, RB",$47 ,1
"Drake Maye NE, QB",$18 ,1
"Bijan Robinson ATL, RB",$100 ,
"Jeremiyah Love ARI, RB",$46 ,
"Emeka Egbuka TB, WR",$23 ,
"Colston Loveland CHI, TE",$23 ,
"Parker Washington JAX, WR",$5 ,
"Malik Willis MIA, QB",$15 ,
"Christian Watson GB, WR",$5 ,
"Jonathon Brooks CAR, RB",$5 ,
"Cam Ward TEN, QB",$4 ,
"Blake Corum LAR, RB",$3 ,
"Cameron Dicker LAC, K",$1 ,
"KC Concepcion CLE, WR",$1 ,
"Chargers D/ST LAC, D/ST",$1 ,
,,
Player,OFFER AMOUNT,
"Ja'Marr Chase CIN, WR",$94 ,
"Trevor Lawrence JAX, QB",$53 ,
"Nico Collins HOU, WR",$53 ,
"Tyler Shough NO, QB",$12 ,
"Michael Pittman Jr. PIT, WR",$5 ,
"DK Metcalf PIT, WR",$4 ,
"Jake Ferguson DAL, TE",$1 ,
"Jacory Croskey-Merritt WSH, RB",$1 ,
"Aaron Jones Sr. MIN, RB",$1 ,
"Josh Downs IND, WR",$1 ,
"Kenyon Sadiq NYJ, TE",$1 ,
"Hunter Henry NE, TE",$1 ,
"Tank Dell HOU, WR",$1 ,
"Patriots D/ST NE, D/ST",$1 ,
"Cairo Santos CHI, K",$1 ,
,,
Player,OFFER AMOUNT,
"Trey McBride ARI, TE",$64 ,
"Rashee Rice KC, WR",$52 ,
"Bo Nix DEN, QB",$45 ,
"Matthew Stafford LAR, QB",$35 ,
"Chris Olave NO, WR",$39 ,
"Rome Odunze CHI, WR",$9 ,
"Harold Fannin Jr. CLE, TE",$9 ,
"Sam LaPorta DET, TE",$7 ,
"Alec Pierce IND, WR",$4 ,
"Kenny Gainwell TB, RB",$4 ,
"Travis Hunter JAX, WR",$4 ,
"Xavier Worthy KC, WR",$2 ,
"Rachaad White WSH, RB",$1 ,
"Browns D/ST CLE, D/ST",$1 ,
"Jake Bates DET, K",$1 ,
,,
Player,OFFER AMOUNT,
