player,actual_salary,is_keeper
"Jaylen Waddle Mia, WR",$20 ,1
"Travis Etienne Jr. Jax, RB",$11 ,1
"Jonathan Taylor Ind, RB",$109 ,
"Lamar Jackson Bal, QB",$44 ,
"Breece Hall NYJ, RB",$22 ,
"DK Metcalf Sea, WR",$20 ,
"Tua Tagovailoa Mia, QB",$13 ,
"Matthew Stafford LAR, QB",$14 ,
"Darnell Mooney Chi, WR",$13 ,
"Darren Waller LV, TE",$23 ,
"Elijah Moore NYJ, WR",$6 ,
"Kenneth Gainwell Phi, RB",$1 ,
"George Pickens Pit, WR",$1 ,
"Rams D/ST LAR, D/ST",$1 ,
"Ryan Succop TB, K",,
,,
PLAYER,OFFER AMOUNT,
"Mark Andrews Bal, TE",$29 ,1
"James Conner Ari, RB",$56 ,
"Travis Kelce KC, TE",$58 ,
"Patrick Mahomes KC, QB",$50 ,
"Mike Williams LAC, WR",$31 ,
"David Montgomery Chi, RB",$37 ,
"Amari Cooper Cle, WR",$11 ,
"DeVonta Smith Phi, WR",$15 ,
"Colts D/ST Ind, D/ST",$3 ,
"Jared Goff Det, QB",$5 ,
"Nick Folk NE, K",$1 ,
"Michael Carter NYJ, RB",$1 ,
"Jahan Dotson Wsh, WR",$1 ,
"Skyy Moore KC, WR",$1 ,
"DJ Chark Det, WR",,
,,
PLAYER,OFFER AMOUNT,
"Austin Ekeler LAC, RB",$99 ,
"Davante Adams LV, WR",$73 ,
"Leonard Fournette TB, RB",$67 ,
"Cam Akers LAR, RB",$39 ,
"Tyler Lockett Sea, WR",$2 ,
"Christian Kirk Jax, WR",$6 ,
"Rhamondre Stevenson NE, RB",$4 ,
"Mike Gesicki Mia, TE",$1 ,
"Jakobi Meyers NE, WR",$1 ,
"Russell Gage TB, WR",$1 ,
"Nyheim Hines Ind, RB",$1 ,
"Steelers D/ST Pit, D/ST",$1 ,
"Jarvis Landry NO, WR",$1 ,
"Graham Gano NYG, K",$1 ,
"Deshaun Watson Cle, QB",,
,,
PLAYER,OFFER AMOUNT,
"D'Andre Swift Det, RB",$48 ,1
"Keenan Allen LAC, WR",$53 ,1
"CeeDee Lamb Dal, WR",$70 ,
"Nick Chubb Cle, RB",$44 ,
"Russell Wilson Den, QB",$28 ,
"Courtland Sutton Den, WR",$28 ,
"Dallas Goedert Phi, TE",$11 ,
"Tyler Boyd Cin, WR",$4 ,
"Carson Wentz Wsh, QB",$1 ,
"Garrett Wilson NYJ, WR",$6 ,
"Buccaneers D/ST TB, D/ST",$2 ,
"Brandon McManus Den, K",$1 ,
"James Cook Buf, RB",$2 ,
"Zach Wilson NYJ, QB",$1 ,
"Jamaal Williams Det, RB",,
,,
