player,actual_salary,is_keeper
"James Robinson Jax, RB",$12 ,1
"Nick Chubb Cle, RB",$53 ,1
"Davante Adams GB, WR",$79 ,
"DeAndre Hopkins Ari, WR",$75 ,
"T.J. Hockenson Det, TE",$21 ,
"Kyler Murray Ari, QB",$30 ,
"Tyler Boyd Cin, WR",$6 ,
"Henry Ruggs III LV, WR",$5 ,
"Jarvis Landry Cle, WR",$5 ,
"Michael Pittman Jr. Ind, WR",$4 ,
"Jamaal Williams Det, RB",$3 ,
"Ronald Jones II TB, RB",$4 ,
"Mark Ingram II Hou, RB",$1 ,
"Broncos D/ST Den, D/ST",$1 ,
"Greg Zuerlein Dal, K",,
,,
PLAYER,OFFER AMOUNT,
"Austin Ekeler LAC, RB",$45 ,1
"Odell Beckham Jr. Cle, WR",$18 ,1
"Alvin Kamara NO, RB",$90 ,
"J.K. Dobbins Bal, RB",$2 ,
"Mike Evans TB, WR",$44 ,
"Mark Andrews Bal, TE",$25 ,
"Tyler Lockett Sea, WR",$40 ,
"Matthew Stafford LAR, QB",$3 ,
"Laviska Shenault Jr. Jax, WR",$11 ,
"Justin Tucker Bal, K",$3 ,
"Rams D/ST LAR, D/ST",$2 ,
"Marquez Callaway NO, WR",$9 ,
"Jaylen Waddle Mia, WR",$6 ,
"Russell Gage Atl, WR",$1 ,
"Chuba Hubbard Car, RB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Derrick Henry Ten, RB",$76 ,1
"D'Andre Swift Det, RB",$30 ,1
"Kyle Pitts Atl, TE",$26 ,
"Clyde Edwards-Helaire KC, RB",$68 ,
"Adam Thielen Min, WR",$33 ,
"Buccaneers D/ST TB, D/ST",$5 ,
"DJ Moore Car, WR",$30 ,
"Ja'Marr Chase Cin, WR",$17 ,
"Tom Brady TB, QB",$5 ,
"Younghoe Koo Atl, K",$1 ,
"Curtis Samuel Wsh, WR",$5 ,
"Rob Gronkowski TB, TE",$1 ,
"Ty'Son Williams Bal, RB",$1 ,
"Alexander Mattison Min, RB",$1 ,
"Josh Reynolds Ten, WR",,
,,
PLAYER,OFFER AMOUNT,
"Darren Waller LV, TE",$30 ,1
"Dalvin Cook Min, RB",$95 ,1
"Chris Carson Sea, RB",$61 ,
"Sony Michel LAR, RB",$11 ,
"Chase Claypool Pit, WR",$19 ,
"Lamar Jackson Bal, QB",$22 ,
"Brandon Aiyuk SF, WR",$25 ,
"Antonio Brown TB, WR",$6 ,
"Steelers D/ST Pit, D/ST",$1 ,
"Jerry Jeudy Den, WR",$22 ,
"Graham Gano NYG, K",$1 ,
"Kenyan Drake LV, RB",$4 ,
"Jakobi Meyers NE, WR",$1 ,
"Darnell Mooney Chi, WR",$1 ,
"Giovani Bernard TB, RB",,
,,
PLAYER,OFFER AMOUNT,
"Aaron Jones GB, RB",$87 ,
"Calvin Ridley Atl, WR",$75 ,
"Javonte Williams Den, RB",$31 ,
"Darrell Henderson Jr. LAR, RB",$26 ,
"Tyler Higbee LAR, TE",$2 ,
"Diontae Johnson Pit, WR",$24 ,
"Robby Anderson Car, WR",$17 ,
"Gus Edwards Bal, RB",$24 ,
"49ers D/ST SF, D/ST",$2 ,
"Jameis Winston NO, QB",$1 ,
"Corey Davis NYJ, WR",$7 ,
"Tyler Bass Buf, K",$1 ,
"Joe Burrow Cin, QB",$1 ,
"Rondale Moore Ari, WR",$1 ,
"Evan Engram NYG, TE",,
,,
PLAYER,OFFER AMOUNT,
"Stefon Diggs Buf, WR",$27 ,1
"Jonathan Taylor Ind, RB",$61 ,1
"Travis Kelce KC, TE",$55 ,
"A.J. Brown Ten, WR",$65 ,
"Michael Gallup Dal, WR",$5 ,
"Zack Moss Buf, RB",$10 ,
"Melvin Gordon III Den, RB",$11 ,
"Chris Godwin TB, WR",$40 ,
"Aaron Rodgers GB, QB",$15 ,
"Bills D/ST Buf, D/ST",$3 ,
"Phillip Lindsay Hou, RB",$2 ,
"Nyheim Hines Ind, RB",$1 ,
"Tyrell Williams Det, WR",$2 ,
"Jalen Reagor Phi, WR",$2 ,
"Brandon McManus Den, K",,
,,
PLAYER,OFFER AMOUNT,
"Terry McLaurin Wsh, WR",$26 ,1
"CeeDee Lamb Dal, WR",$24 ,1
"Miles Sanders Phi, RB",$47 ,
"Josh Jacobs LV, RB",$47 ,
"George Kittle SF, TE",$36 ,
"Chase Edmonds Ari, RB",$40 ,
"Patrick Mahomes KC, QB",$42 ,
"Trey Sermon SF, RB",$14 ,
"Michael Thomas NO, WR",$17 ,
"Colts D/ST Ind, D/ST",$1 ,
"David Johnson Hou, RB",$2 ,
"Rodrigo Blankenship Ind, K",$1 ,
"Devin Singletary Buf, RB",$1 ,
"T.Y. Hilton Ind, WR",$1 ,
"Nelson Agholor NE, WR",,
,,
PLAYER,OFFER AMOUNT,
"Robert Woods LAR, WR",$40 ,1
"David Montgomery Chi, RB",$24 ,1
"Najee Harris Pit, RB",$73 ,
"Antonio Gibson Wsh, RB",$74 ,
"Raheem Mostert SF, RB",$20 ,
"JuJu Smith-Schuster Pit, WR",$15 ,
"Michael Carter NYJ, RB",$14 ,
"Mike Gesicki Mia, TE",$2 ,
"Ravens D/ST Bal, D/ST",$2 ,
"James Conner Ari, RB",$3 ,
"Justin Fields Chi, QB",$2 ,
"Harrison Butker KC, K",$2 ,
"Russell Wilson Sea, QB",$10 ,
"DeVonta Smith Phi, WR",$14 ,
"Cole Beasley Buf, WR",,
,,
,,
PLAYER,OFFER AMOUNT,
"Saquon Barkley NYG, RB",$61 ,1
"Tee Higgins Cin, WR",$17 ,1
"Keenan Allen LAC, WR",$45 ,
"Myles Gaskin Mia, RB",$51 ,
"Noah Fant Den, TE",$8 ,
"Mike Davis Atl, RB",$39 ,
"Julio Jones Ten, WR",$54 ,
"Justin Herbert LAC, QB",$7 ,
"AJ Dillon GB, RB",$10 ,
"A.J. Green Ari, WR",$1 ,
"Parris Campbell Ind, WR",$1 ,
"Ty Johnson NYJ, RB",$2 ,
"Jonnu Smith NE, TE",$1 ,
"Patriots D/ST NE, D/ST",$2 ,
"Matt Prater Ari, K",,
,,
PLAYER,OFFER AMOUNT,
"Damien Harris NE, RB",$11 ,1
"Christian McCaffrey Car, RB",$115 ,
"Joe Mixon Cin, RB",$72 ,
"Allen Robinson II Chi, WR",$50 ,
"Cooper Kupp LAR, WR",$40 ,
"Jason Myers Sea, K",$1 ,
"Browns D/ST Cle, D/ST",$1 ,
"Ryan Tannehill Ten, QB",$1 ,
"Dallas Goedert Phi, TE",$1 ,
"Mecole Hardman KC, WR",$2 ,
"DeVante Parker Mia, WR",$2 ,
"Irv Smith Jr. Min, TE",$1 ,
"Terrace Marshall Jr. Car, WR",$1 ,
"Tony Pollard Dal, RB",$1 ,
"Randall Cobb GB, WR",,
,,
PLAYER,OFFER AMOUNT,
"Josh Allen Buf, QB",$13 ,1
"Justin Jefferson Min, WR",$14 ,1
"Ezekiel Elliott Dal, RB",$93 ,
"Tyreek Hill KC, WR",$88 ,
"Logan Thomas Wsh, TE",$15 ,
"Amari Cooper Dal, WR",$44 ,
"Leonard Fournette TB, RB",$15 ,
"Washington D/ST Wsh, D/ST",$6 ,
"DJ Chark Jr. Jax, WR",$4 ,
"Matt Gay LAR, K",$1 ,
"Rashaad Penny Sea, RB",$3 ,
"Elijah Moore NYJ, WR",$1 ,
"Travis Etienne Jr. Jax, RB",$1 ,
"James White NE, RB",$1 ,
"Trevor Lawrence Jax, QB",,
,,
PLAYER,OFFER AMOUNT,
"Kareem Hunt Cle, RB",$31 ,1
"DK Metcalf Sea, WR",$34 ,1
"Kenny Golladay NYG, WR",$15 ,
"Dak Prescott Dal, QB",$9 ,
"Courtland Sutton Den, WR",$12 ,
"William Fuller V Mia, WR",$6 ,
"Brandin Cooks Hou, WR",$7 ,
"Deebo Samuel SF, WR",$5 ,
"Marquise Brown Bal, WR",$3 ,
"Mike Williams LAC, WR",$3 ,
"Marvin Jones Jr. Jax, WR",$3 ,
"Robert Tonyan GB, TE",$1 ,
"J.D. McKissic Wsh, RB",$1 ,
"Jason Sanders Mia, K",$1 ,
"Vikings D/ST Min, D/ST",,
