player,actual_salary,is_keeper
"Rhamondre Stevenson NE, RB",$35 ,1
"DeVonta Smith Phi, WR",$21 ,1
"Jahmyr Gibbs Det, RB",$58 ,
"Justin Fields Chi, QB",$20 ,
"Bijan Robinson Atl, RB",$100 ,
"Drake London Atl, WR",$24 ,
"Pat Freiermuth Pit, TE",$5 ,
"George Pickens Pit, WR",$19 ,
"Cowboys D/ST Dal, D/ST",$3 ,
"Jason Myers Sea, K",$1 ,
"Treylon Burks Ten, WR",$4 ,
"Kenneth Gainwell Phi, RB",$3 ,
"Rashaad Penny Phi, RB",$2 ,
"Tyler Allgeier Atl, RB",$3 ,
"Jameson Williams Det, WR",$2 ,
,,
PLAYER,OFFER AMOUNT,
"J.K. Dobbins Bal, RB",$27 ,1
"Tony Pollard Dal, RB",$36 ,1
"Tyreek Hill Mia, WR",$88 ,
"Calvin Ridley Jax, WR",$41 ,
"Dameon Pierce Hou, RB",$31 ,
"Kirk Cousins Min, QB",$2 ,
"Alvin Kamara NO, RB",$27 ,
"Bills D/ST Buf, D/ST",$2 ,
"Odell Beckham Jr. Bal, WR",$5 ,
"DJ Moore Chi, WR",$28 ,
"Evan McPherson Cin, K",$2 ,
"Michael Thomas NO, WR",$8 ,
"Dalton Schultz Hou, TE",$1 ,
"Adam Thielen Car, WR",$1 ,
"Jared Goff Det, QB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Jaylen Waddle Mia, WR",$48 ,1
"Ja'Marr Chase Cin, WR",$42 ,1
"Chris Olave NO, WR",$65 ,
"Justin Herbert LAC, QB",$25 ,
"Aaron Jones GB, RB",$65 ,
"Dalvin Cook NYJ, RB",$22 ,
"Justin Tucker Bal, K",$2 ,
"Isiah Pacheco KC, RB",$17 ,
"Evan Engram Jax, TE",$3 ,
"Eagles D/ST Phi, D/ST",$4 ,
"Kadarius Toney KC, WR",$3 ,
"Marvin Mims Jr. Den, WR",$1 ,
"Romeo Doubs GB, WR",$1 ,
"Kyren Williams LAR, RB",$1 ,
"Curtis Samuel Wsh, WR",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Amari Cooper Cle, WR",$20 ,1
"Nick Chubb Cle, RB",$91 ,1
"Mike Evans TB, WR",$22 ,
"Deshaun Watson Cle, QB",$2 ,
"Keenan Allen LAC, WR",$37 ,
"Tyler Lockett Sea, WR",$19 ,
"Darren Waller NYG, TE",$26 ,
"Alexander Mattison Min, RB",$40 ,
"Jerry Jeudy Den, WR",$8 ,
"Tank Bigsby Jax, RB",$4 ,
"Nico Collins Hou, WR",$2 ,
"Khalil Herbert Chi, RB",$17 ,
"Samaje Perine Den, RB",$7 ,
"Tyler Bass Buf, K",$2 ,
"Browns D/ST Cle, D/ST",$1 ,
,,
PLAYER,OFFER AMOUNT,
"A.J. Brown Phi, WR",$55 ,1
"Amon-Ra St. Brown Det, WR",$26 ,1
"Derrick Henry Ten, RB",$91 ,
"Tee Higgins Cin, WR",$44 ,
"Lamar Jackson Bal, QB",$32 ,
"David Montgomery Det, RB",$16 ,
"Dallas Goedert Phi, TE",$6 ,
"Brian Robinson Jr. Wsh, RB",$12 ,
"Daniel Carlson LV, K",$2 ,
"DJ Chark Jr. Car, WR",$2 ,
"Gabe Davis Buf, WR",$5 ,
"Jets D/ST NYJ, D/ST",$1 ,
"Jamaal Williams NO, RB",$4 ,
"Gus Edwards Bal, RB",$2 ,
"Daniel Jones NYG, QB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Travis Kelce KC, TE",$65 ,1
"Patrick Mahomes KC, QB",$39 ,1
"Jonathan Taylor Ind, RB",$78 ,
"DeAndre Hopkins Ten, WR",$41 ,
"Chris Godwin TB, WR",$20 ,
"James Cook Buf, RB",$30 ,
"Marquise Brown Ari, WR",$7 ,
"Antonio Gibson Wsh, RB",$7 ,
"Jeff Wilson Jr. Mia, RB",$3 ,
"Graham Gano NYG, K",$2 ,
"Tyler Boyd Cin, WR",$3 ,
"Steelers D/ST Pit, D/ST",$2 ,
"Parris Campbell NYG, WR",$1 ,
"Allen Lazard NYJ, WR",$1 ,
"DeVante Parker NE, WR",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Jalen Hurts Phi, QB",$22 ,1
"CeeDee Lamb Dal, WR",$59 ,1
"Austin Ekeler LAC, RB",$99 ,
"Joe Mixon Cin, RB",$66 ,
"Jaxon Smith-Njigba Sea, WR",$24 ,
"Brandon Aiyuk SF, WR",$14 ,
"JuJu Smith-Schuster NE, WR",$5 ,
"Cole Kmet Chi, TE",$1 ,
"Jakobi Meyers LV, WR",$2 ,
"Rondale Moore Ari, WR",$2 ,
"Packers D/ST GB, D/ST",$1 ,
"Matt Gay Ind, K",$1 ,
"Jalin Hyatt NYG, WR",$2 ,
"Devin Singletary Hou, RB",$1 ,
"Tyjae Spears Ten, RB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"James Conner Ari, RB",$28 ,1
"Garrett Wilson NYJ, WR",$19 ,1
"Josh Jacobs LV, RB",$69 ,
"DK Metcalf Sea, WR",$52 ,
"Christian Watson GB, WR",$28 ,
"Deebo Samuel SF, WR",$44 ,
"Tua Tagovailoa Mia, QB",$15 ,
"Aaron Rodgers NYJ, QB",$4 ,
"David Njoku Cle, TE",$6 ,
"Miles Sanders Car, RB",$29 ,
"Dolphins D/ST Mia, D/ST",$1 ,
"Cameron Dicker LAC, K",$1 ,
"Harrison Butker KC, K",$2 ,
"Roschon Johnson Chi, RB",$1 ,
"Michael Gallup Dal, WR",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Saquon Barkley NYG, RB",$86 ,1
"Kenneth Walker III Sea, RB",$27 ,1
"Travis Etienne Jr. Jax, RB",$69 ,
"Dak Prescott Dal, QB",$6 ,
"Mark Andrews Bal, TE",$43 ,
"Mike Williams LAC, WR",$17 ,
"Brandin Cooks Dal, WR",$11 ,
"Courtland Sutton Den, WR",$9 ,
"Christian Kirk Jax, WR",$15 ,
"Ezekiel Elliott NE, RB",$7 ,
"Ravens D/ST Bal, D/ST",$2 ,
"Elijah Moore Cle, WR",$4 ,
"Darnell Mooney Chi, WR",$2 ,
"Greg Zuerlein NYJ, K",$1 ,
"Damien Harris Buf, RB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Javonte Williams Den, RB",$11 ,1
"Cooper Kupp LAR, WR",$65 ,1
"Christian McCaffrey SF, RB",$105 ,
"Diontae Johnson Pit, WR",$24 ,
"Joe Burrow Cin, QB",$15 ,
"George Kittle SF, TE",$35 ,
"Terry McLaurin Wsh, WR",$25 ,
"Michael Pittman Jr. Ind, WR",$10 ,
"Patriots D/ST NE, D/ST",$1 ,
"Jake Elliott Phi, K",$1 ,
"Jaylen Warren Pit, RB",$2 ,
"Matthew Stafford LAR, QB",$1 ,
"De'Von Achane Mia, RB",$2 ,
"Sam LaPorta Det, TE",$1 ,
"Elijah Mitchell SF, RB",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Justin Jefferson Min, WR",$49 ,1
"Davante Adams LV, WR",$95 ,
"Najee Harris Pit, RB",$66 ,
"Trevor Lawrence Jax, QB",$6 ,
"Rachaad White TB, RB",$35 ,
"Kyle Pitts Atl, TE",$14 ,
"Jahan Dotson Wsh, WR",$12 ,
"Skyy Moore KC, WR",$12 ,
"Jerick McKinnon KC, RB",$1 ,
"Quentin Johnston LAC, WR",$5 ,
"Younghoe Koo Atl, K",$1 ,
"Colts D/ST Ind, D/ST",$1 ,
"Deuce Vaughn Dal, RB",$1 ,
"Tyler Higbee LAR, TE",$1 ,
"Mecole Hardman Jr. NYJ, WR",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Josh Allen Buf, QB",$50 ,
"Stefon Diggs Buf, WR",$84 ,
"Breece Hall NYJ, RB",$34 ,
"49ers D/ST SF, D/ST",$2 ,
"T.J. Hockenson Min, TE",$21 ,
"D'Andre Swift Phi, RB",$22 ,
"AJ Dillon GB, RB",$11 ,
"Jordan Addison Min, WR",$16 ,
"Cam Akers LAR, RB",$27 ,
"Zay Flowers Bal, WR",$14 ,
"Brett Maher Den, K",$2 ,
"Dalton Kincaid Buf, TE",$5 ,
"Zach Charbonnet Sea, RB",$6 ,
"Anthony Richardson Ind, QB",$5 ,
"Zay Jones Jax, WR",$1 ,
