player,actual_salary,is_keeper
"Bucky Irving TB, RB",$12 ,1
"Chase Brown Cin, RB",$19 ,1
"CeeDee Lamb Dal, WR",$82 ,
"Malik Nabers NYG, WR",$73 ,
"Emeka Egbuka TB, WR",$27 ,
"Tetairoa McMillan Car, WR",$25 ,
"RJ Harvey Den, RB",$29 ,
"Ricky Pearsall SF, WR",$16 ,
"Tyler Warren Ind, TE",$8 ,
"Seahawks D/ST Sea, D/ST",$1 ,
"Bhayshul Tuten Jax, RB",$1 ,
"Ray Davis Buf, RB",$2 ,
"Drake Maye NE, QB",$1 ,
"Ollie Gordon II Mia, RB",$1 ,
"Matt Gay Wsh, K",,
,,
Player,OFFER AMOUNT,
"Bijan Robinson Atl, RB",$103 ,
"Saquon Barkley Phi, RB",$109 ,
"Jameson Williams Det, WR",$21 ,
"Matthew Golden GB, WR",$30 ,
"Michael Pittman Jr. Ind, WR",$8 ,
"Deebo Samuel Wsh, WR",$7 ,
"Kyle Pitts Sr. Atl, TE",$4 ,
"Jaydon Blue Dal, RB",$6 ,
"Dak Prescott Dal, QB",$3 ,
"Marvin Mims Jr. Den, WR",$4 ,
"Vikings D/ST Min, D/ST",$1 ,
"Brian Robinson Jr. SF, RB",$1 ,
"Ka'imi Fairbairn Hou, K",$1 ,
"Elic Ayomanor Ten, WR",$1 ,
"Tyler Allgeier Atl, RB",$1 ,
,,
Player,OFFER AMOUNT,
"Kyren Williams LAR, RB",$26 ,1
"Brock Bowers LV, TE",$21 ,1
"Brandon Aubrey Dal, K",$4 ,
"Ashton Jeanty LV, RB",$100 ,
"Xavier Worthy KC, WR",$28 ,
"Travis Hunter Jax, WR",$27 ,
"Mike Evans TB, WR",$31 ,
"George Pickens Dal, WR",$29 ,
"Joe Mixon Hou, RB",$12 ,
"Brock Purdy SF, QB",$4 ,
"Cam Skattebo NYG, RB",$8 ,
"Josh Downs Ind, WR",$2 ,
"Eagles D/ST Phi, D/ST",$4 ,
"Keenan Allen LAC, WR",$2 ,
"Brandon Aiyuk SF, WR",$2 ,
,,
Player,OFFER AMOUNT,
"Chuba Hubbard Car, RB",$13 ,1
"Nico Collins Hou, WR",$27 ,1
"David Njoku Cle, TE",$8 ,
"Marvin Harrison Jr. Ari, WR",$36 ,
"DK Metcalf Pit, WR",$41 ,
"Baker Mayfield TB, QB",$11 ,
"Alvin Kamara NO, RB",$52 ,
"DeVonta Smith Phi, WR",$25 ,
"DJ Moore Chi, WR",$26 ,
"Aaron Jones Sr. Min, RB",$23 ,
"Isiah Pacheco KC, RB",$26 ,
"Jake Bates Det, K",$1 ,
"Texans D/ST Hou, D/ST",$1 ,
"Dallas Goedert Phi, TE",$2 ,
"Kyler Murray Ari, QB",$3 ,
,,
Player,OFFER AMOUNT,
"Ladd McConkey LAC, WR",$19 ,1
"TreVeyon Henderson NE, RB",$43 ,
"Amon-Ra St. Brown Det, WR",$83 ,
"Jayden Daniels Wsh, QB",$37 ,
"Omarion Hampton LAC, RB",$57 ,
"Kaleb Johnson Pit, RB",$11 ,
"J.K. Dobbins Den, RB",$5 ,
"Jacory Croskey-Merritt Wsh, RB",$19 ,
"Jakobi Meyers LV, WR",$14 ,
"Mark Andrews Bal, TE",$4 ,
"Cameron Dicker LAC, K",$2 ,
"Ravens D/ST Bal, D/ST",$1 ,
"Braelon Allen NYJ, RB",$1 ,
"Colston Loveland Chi, TE",$3 ,
"Joshua Palmer Buf, WR",$1 ,
,,
Player,OFFER AMOUNT,
"Josh Allen Buf, QB",$46 ,
"Josh Jacobs GB, RB",$57 ,
"George Kittle SF, TE",$40 ,
"Terry McLaurin Wsh, WR",$36 ,
"Tee Higgins Cin, WR",$69 ,
"Tony Pollard Ten, RB",$27 ,
"Keon Coleman Buf, WR",$5 ,
"Chris Godwin TB, WR",$7 ,
"Jordan Mason Min, RB",$7 ,
"Jake Ferguson Dal, TE",$1 ,
"Cedric Tillman Cle, WR",$1 ,
"Dylan Sampson Cle, RB",$1 ,
"Younghoe Koo Atl, K",$1 ,
"Chiefs D/ST KC, D/ST",$1 ,
"Najee Harris LAC, RB",$1 ,
,,
Player,OFFER AMOUNT,
"Lamar Jackson Bal, QB",$41 ,
"Justin Jefferson Min, WR",$91 ,
"James Conner Ari, RB",$32 ,
"Trevor Lawrence Jax, QB",$2 ,
"Garrett Wilson NYJ, WR",$27 ,
"Sam LaPorta Det, TE",$14 ,
"Quinshon Judkins Cle, RB",$20 ,
"Jaylen Warren Pit, RB",$12 ,
"David Montgomery Det, RB",$32 ,
"Tyrone Tracy Jr. NYG, RB",$12 ,
"Cam Little Jax, K",$1 ,
"Cooper Kupp Sea, WR",$10 ,
"Jayden Higgins Hou, WR",$4 ,
"Jerome Ford Cle, RB",$1 ,
"Cowboys D/ST Dal, D/ST",$1 ,
,,
Player,OFFER AMOUNT,
"Davante Adams LAR, WR",$49 ,1
"Stefon Diggs NE, WR",$11 ,1
"A.J. Brown Phi, WR",$56 ,
"Drake London Atl, WR",$62 ,
"Jonathan Taylor Ind, RB",$94 ,
"Bo Nix Den, QB",$5 ,
"Rhamondre Stevenson NE, RB",$6 ,
"Javonte Williams Dal, RB",$7 ,
"Chase McLaughlin TB, K",$2 ,
"Tyjae Spears Ten, RB",$3 ,
"Darren Waller Mia, TE",$1 ,
"Lions D/ST Det, D/ST",$1 ,
"Nick Chubb Hou, RB",$1 ,
"Adam Thielen Car, WR",$1 ,
"Xavier Legette Car, WR",$1 ,
,,
Player,OFFER AMOUNT,
"Christian McCaffrey SF, RB",$57 ,1
"Jaxon Smith-Njigba Sea, WR",$27 ,1
"Patrick Mahomes KC, QB",$22 ,
"Breece Hall NYJ, RB",$43 ,
"Trey McBride Ari, TE",$32 ,
"Zay Flowers Bal, WR",$20 ,
"D'Andre Swift Chi, RB",$39 ,
"Jaylen Waddle Mia, WR",$19 ,
"Rome Odunze Chi, WR",$13 ,
"Jordan Addison Min, WR",$12 ,
"Broncos D/ST Den, D/ST",$2 ,
"Jauan Jennings SF, WR",$3 ,
"Zach Charbonnet Sea, RB",$7 ,
"Rachaad White TB, RB",$1 ,
"Jake Elliott Phi, K",$2 ,
,,
Player,OFFER AMOUNT,
"Brian Thomas Jr. Jax, WR",$13 ,1
"Derrick Henry Bal, RB",$88 ,1
"Ja'Marr Chase Cin, WR",$106 ,
"Jalen Hurts Phi, QB",$37 ,
"Chris Olave NO, WR",$12 ,
"Austin Ekeler Wsh, RB",$9 ,
"Justice Hill Bal, RB",$1 ,
"Evan Engram Den, TE",$3 ,
"Khalil Shakir Buf, WR",$7 ,
"Travis Etienne Jr. Jax, RB",$10 ,
"Tank Bigsby Jax, RB",$9 ,
"Steelers D/ST Pit, D/ST",$2 ,
"Tory Horton Sea, WR",$1 ,
"Dont'e Thornton Jr. LV, WR",$1 ,
"Jason Sanders Mia, K",$1 ,
,,
Player,OFFER AMOUNT,
"Courtland Sutton Den, WR",$14 ,1
"Jerry Jeudy Cle, WR",$11 ,1
"Tyreek Hill Mia, WR",$51 ,
"De'Von Achane Mia, RB",$98 ,
"Kenneth Walker III Sea, RB",$53 ,
"Calvin Ridley Ten, WR",$43 ,
"Travis Kelce KC, TE",$11 ,
"Caleb Williams Chi, QB",$1 ,
"Jayden Reed GB, WR",$4 ,
"Dalton Kincaid Buf, TE",$1 ,
"Rashid Shaheed NO, WR",$2 ,
"Will Shipley Phi, RB",$1 ,
"Bills D/ST Buf, D/ST",$2 ,
"Chris Boswell Pit, K",$2 ,
"Justin Fields NYJ, QB",$1 ,
,,
Player,OFFER AMOUNT,
"Jahmyr Gibbs Det, RB",$106 ,
"Puka Nacua LAR, WR",$65 ,
"Joe Burrow Cin, QB",$36 ,
"James Cook Buf, RB",$57 ,
"Rashee Rice KC, WR",$16 ,
"T.J. Hockenson Min, TE",$10 ,
"Darnell Mooney Atl, WR",$2 ,
"Tucker Kraft GB, TE",$1 ,
"Justin Herbert LAC, QB",$1 ,
