player,actual_salary,is_keeper
"Christian McCaffrey Car, RB",$102 ,
"Michael Thomas NO, WR",$87 ,
"James Conner Pit, RB",$74 ,
"Brandin Cooks LAR, WR",$26 ,
"Eli Manning NYG, QB",$1 ,
"Jacoby Brissett Ind, QB",$1 ,
"Andy Dalton Cin, QB",$1 ,
"Mark Andrews Bal, TE",$1 ,
"Justin Jackson LAC, RB",$1 ,
"Darwin Thompson KC, RB",$1 ,
"Carlos Hyde Hou, RB",$1 ,
"Anthony Miller Chi, WR",$1 ,
"Dare Ogunbowale TB, RB",$1 ,
"Patriots D/ST NE, D/ST",$1 ,
"Jake Elliott Phi, K",,
,,
PLAYER,OFFER AMOUNT,
"Christian McCaffrey Car, RB",$102 ,
"Michael Thomas NO, WR",$87 ,
"James Conner Pit, RB",$74 ,
"Brandin Cooks LAR, WR",$26 ,
"Eli Manning NYG, QB",$1 ,
"Jacoby Brissett Ind, QB",$1 ,
"Andy Dalton Cin, QB",$1 ,
"Mark Andrews Bal, TE",$1 ,
"Justin Jackson LAC, RB",$1 ,
"Darwin Thompson KC, RB",$1 ,
"Carlos Hyde Hou, RB",$1 ,
"Anthony Miller Chi, WR",$1 ,
"Dare Ogunbowale TB, RB",$1 ,
"Patriots D/ST NE, D/ST",$1 ,
"Jake Elliott Phi, K",,
,,
PLAYER,OFFER AMOUNT,
"Saquon Barkley NYG, RB",$101 ,
"Ezekiel Elliott Dal, RB",$95 ,
"Matt Ryan Atl, QB",$21 ,
"Melvin Gordon LAC, RB",$33 ,
"Sammy Watkins KC, WR",$8 ,
"Bears D/ST Chi, D/ST",$5 ,
"Tyler Boyd Cin, WR",$16 ,
"Sterling Shepard NYG, WR",$9 ,
"Austin Hooper Atl, TE",$2 ,
"Derek Carr Oak, QB",$2 ,
"Courtland Sutton Den, WR",$1 ,
"Nyheim Hines Ind, RB",$1 ,
"Harrison Butker KC, K",$2 ,
"Demaryius Thomas NYJ, WR",$1 ,
"DeSean Jackson Phi, WR",,
,,
PLAYER,OFFER AMOUNT,
"DeAndre Hopkins Hou, WR",$94 ,
"Kerryon Johnson Det, RB",$60 ,
"Odell Beckham Jr. Cle, WR",$73 ,
"Tony Pollard Dal, RB",$3 ,
"Derrius Guice Wsh, RB",$26 ,
"Russell Wilson Sea, QB",$12 ,
"Allen Robinson II Chi, WR",$12 ,
"Lamar Jackson Bal, QB",$13 ,
"James Washington Pit, WR",$1 ,
"David Njoku Cle, TE",$1 ,
"Marquez Valdes-Scantling GB, WR",$1 ,
"Joe Flacco Den, QB",$1 ,
"Kalen Ballage Mia, RB",$1 ,
"Chargers D/ST LAC, D/ST",$1 ,
"Michael Badgley LAC, K",$1 ,
,,
,,
PLAYER,OFFER AMOUNT,
"Dede Westbrook Jax, WR",$30 ,
"Deshaun Watson Hou, QB",$35 ,
"Julio Jones Atl, WR",$85 ,
"Adam Thielen Min, WR",$53 ,
"Zach Ertz Phi, TE",$32 ,
"Carson Wentz Phi, QB",$16 ,
"Marvin Jones Jr. Det, WR",$1 ,
"Austin Ekeler LAC, RB",$17 ,
"Christian Kirk Ari, WR",$7 ,
"Peyton Barber TB, RB",$5 ,
"Royce Freeman Den, RB",$2 ,
"Rashaad Penny Sea, RB",$4 ,
"Dion Lewis Ten, RB",$1 ,
"Rams D/ST LAR, D/ST",$1 ,
"Stephen Gostkowski NE, K",,
,,
PLAYER,OFFER AMOUNT,
"Le'Veon Bell NYJ, RB",$75 ,
"Travis Kelce KC, TE",$50 ,
"JuJu Smith-Schuster Pit, WR",$83 ,
"Cam Newton Car, QB",$10 ,
"Marlon Mack Ind, RB",$21 ,
"Tarik Cohen Chi, RB",$5 ,
"Damien Williams KC, RB",$19 ,
"Austin Seibert Cle, K",$1 ,
"Kenyan Drake Ari, RB",$11 ,
"Curtis Samuel Car, WR",$2 ,
"Corey Davis Ten, WR",$6 ,
