"Sony Michel NE, RB",4.00
"Teddy Bridgewater Car, QB",1.00
"Gardner Minshew II Jax, QB",2.00
"Matt Prater Det, K",8.00
"Cowboys D/ST Dal, D/ST",1.00
"Kenyan Drake Ari, RB",73.00
"Odell Beckham Jr. Cle, WR",40.00
"Chris Carson Sea, RB",37.00
"Melvin Gordon Den, RB",33.00
"T.Y. Hilton Ind, WR",18.00
"DeVante Parker Mia, WR",12.00
"Aaron Rodgers GB, QB",13.00
"D'Andre Swift Det, RB",6.00
"Jordan Howard Mia, RB",6.00
"A.J. Green Cin, WR",10.00
"Marlon Mack Ind, RB",6.00
"Brandin Cooks Hou, WR",5.00
"Rob Gronkowski TB, TE",6.00
"49ers D/ST SF, D/ST",28.00
"Chris Boswell Pit, K",5.00
"Kenny Golladay Det, WR",57.00
"DeAndre Hopkins Ari, WR",81.00
"Deshaun Watson Hou, QB",33.00
"James Conner Pit, RB",33.00
"Le'Veon Bell NYJ, RB",41.00
"Robert Woods LAR, WR",18.00
"Evan Engram NYG, TE",3.00
"Tarik Cohen Chi, RB",5.00
"Baker Mayfield Cle, QB",13.00
"Boston Scott Phi, RB",7.00
"Ravens D/ST Bal, D/ST",1.00
"Mecole Hardman KC, WR",2.00
"Jerry Jeudy Den, WR",2.00
"Jake Elliott Phi, K",1.00
"Robby Anderson Car, WR",2.00
