"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick",Weight,"Draft Year","Hand Size",Age,"20-Yard Shuttle","Athleticism Score"
"A.J. Brown",WR,"32 7/8",72,30.6,2.19,"226 lbs",2019,"9 3/4",22.1,4.25,107.5
"A.J. Green",WR,"34 3/8",76,25.7,1.04,"211 lbs",2011,"9 1/4",31.0,4.21,106.7
"A.J. Jenkins",WR,"32 3/4",72,26.0,1.30,"192 lbs",2012,"9 1/2",29.9,4.12,102.1
"A.J. Richardson",WR,"30 1/8",71,28.2,Undrafted,"202 lbs",2019,"9 1/2",-,4.44,95.6
"Aaron Burbridge",WR,"31 5/8",72,27.9,6.38,"206 lbs",2016,"8 1/4",25.6,4.31,97.9
"Aaron Dobson",WR,"33    ",75,26.2,2.27,"210 lbs",2013,"9    ",28.1,4.33,104.9
"Aaron Mellette",WR,"33 1/8",74,27.9,7.32,"217 lbs",2013,"9 5/8",29.6,4.41,104.5
"Ace Sanders",WR,"29 1/2",67,27.1,4.04,"173 lbs",2013,"8 7/8",27.8,4.37,87.8
"Adam Humphries",WR,"30    ",71,27.2,Undrafted,"195 lbs",2015,"9 1/4",26.1,4.32,95.8
"Adam Thielen",WR,-,75,25.0,Undrafted,"200 lbs",2013,-,29.0,4.49,101.7
"Adrian Coxson",WR,"31 3/4",73,28.4,Undrafted,"215 lbs",2015,"9 3/4",27.0,4.40,101.5
"Ahmad Fulwood",WR,"32    ",76,24.6,Undrafted,"202 lbs",2017,"9 1/4",24.6,4.38,101.1
"Alan Bonner",WR,"30 1/4",70,27.7,6.27,"193 lbs",2013,"9 3/8",28.8,4.09,94.8
"Albert Wilson",WR,"30 3/8",69,29.8,Undrafted,"202 lbs",2014,"9 1/8",27.1,4.21,100.4
"Aldrick Robinson",WR,"29 1/2",70,26.4,6.13,"184 lbs",2011,"8 3/4",30.7,4.09,98.0
"Alex Bachman",WR,"30 7/8",71,27.2,Undrafted,"195 lbs",2019,"9 1/2",23.2,4.28,98.2
"Alex Erickson",WR,"30    ",72,26.4,Undrafted,"195 lbs",2016,"9    ",26.8,4.10,97.3
"Alex Neutz",WR,"32 1/2",75,26.7,Undrafted,"214 lbs",2014,"9 1/4",28.5,4.33,102.1
"Alex Wesley",WR,"31 1/4",72,25.8,Undrafted,"190 lbs",2019,"9    ",-,4.44,98.2
"Alexander Hollins",WR,"30 1/4",72,22.4,Undrafted,"165 lbs",2019,"8 1/2",-,4.18,91.5
"Allen Hurns",WR,"32    ",73,27.0,Undrafted,"205 lbs",2014,"9 1/4",27.8,4.50,98.7
"Allen Lazard",WR,"32 1/4",75,28.1,Undrafted,"225 lbs",2018,"9 3/4",23.7,4.33,108.1
"Allen Robinson",WR,"32    ",74,28.2,2.29,"220 lbs",2014,"9 1/2",26.0,4.00,108.2
