"Full Name",Position,"Catch Radius","3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"40-Yard Dash","Broad Jump","Burst Score","Agility Score","Vertical Jump"
"A.J. Brown",WR,10.08,7.00,19,109.7,119.5,4.49,120,122.1,11.25,36.5
"A.J. Green",WR,10.24,6.91,18,107.1,113.9,4.50,126,121.7,11.12,34.5
"A.J. Jenkins",WR,10.30,6.73,12,102.0,115.1,4.39,124,127.5,10.85,38.5
"A.J. Richardson",WR,9.69,7.12,11,86.2,89.1,4.62,110,112.0,11.56,33.5
"Aaron Burbridge",WR,9.72,7.22,20,94.0,106.1,4.56,115,109.4,11.53,30.5
"Aaron Dobson",WR,10.09,7.19,16,113.1,111.1,4.42,121,120.0,11.52,35.0
"Aaron Mellette",WR,9.95,7.11,9,103.6,93.0,4.54,123,118.5,11.52,33.5
"Ace Sanders",WR,9.59,6.81,7,72.2,81.8,4.58,117,112.9,11.18,32.0
"Adam Humphries",WR,9.75,6.96,14,86.2,96.2,4.58,122,116.3,11.28,32.5
"Adam Thielen",WR,10.10,6.77,-,96.7,-,4.54,120,121.2,11.26,36.0
"Adrian Coxson",WR,9.84,7.03,15,103.9,100.6,4.51,111,109.9,11.43,32.0
"Ahmad Fulwood",WR,9.98,7.29,-,97.3,-,4.56,124,120.7,11.67,34.5
"Alan Bonner",WR,9.81,7.04,14,83.4,103.9,4.59,117,114.6,11.13,33.0
"Albert Wilson",WR,9.96,7.00,10,99.1,107.8,4.43,123,125.3,11.21,37.5
"Aldrick Robinson",WR,10.18,6.65,17,91.6,122.1,4.43,126,131.0,10.74,40.0
"Alex Bachman",WR,9.90,6.71,17,90.9,104.9,4.52,127,119.6,10.99,33.0
"Alex Erickson",WR,10.01,6.68,14,86.7,105.6,4.59,116,116.7,10.78,34.5
"Alex Neutz",WR,9.93,7.14,14,95.7,97.4,4.63,117,114.6,11.47,33.0
"Alex Wesley",WR,9.94,7.40,13,95.6,103.1,4.45,125,128.0,11.84,38.5
"Alexander Hollins",WR,10.04,6.89,5,76.6,92.0,4.54,128,126.9,11.07,37.0
"Allen Hurns",WR,9.71,7.23,14,95.7,91.9,4.55,120,112.7,11.73,31.0
"Allen Lazard",WR,10.14,7.11,17,107.9,112.6,4.55,122,125.6,11.44,38.0
"Allen Robinson",WR,10.28,7.00,17,103.2,124.1,4.56,127,129.8,11.00,39.0
"Allenzae Staggers",WR,9.89,7.25,9,81.1,90.7,4.58,127,124.7,11.60,36.0
"Alonzo Moore",WR,9.95,6.79,-,94.0,-,4.52,119,113.9,10.96,32.0
"Alonzo Russell",WR,9.91,7.18,12,101.0,92.7,4.54,112,106.2,11.51,29.5
"Alshon Jeffery",WR,10.28,6.71,18,105.4,117.1,4.53,122,123.1,10.88,36.5
"Amara Darboh",WR,10.17,6.81,17,110.6,113.8,4.45,124,123.2,11.11,36.0
"Amari Cooper",WR,10.15,6.71,-,110.6,-,4.42,120,116.1,10.69,33.0
"Amba Etta-Tawo",WR,9.87,6.95,14,102.4,100.1,4.49,126,115.7,11.27,31.0
"Anas Hasic",WR,9.89,7.03,30,100.6,134.1,4.50,121,120.9,11.37,35.5
"Andre Caldwell",WR,10.10,6.75,18,108.2,120.0,4.37,124,118.1,10.86,33.0
"Andre Davis",WR,9.89,7.09,-,95.7,-,4.55,118,113.4,11.42,32.0
"Andre Debose",WR,10.17,6.93,12,94.6,110.8,4.49,123,125.3,11.02,37.5
"Andre Holmes",WR,10.25,6.69,11,110.3,101.5,4.53,130,124.5,11.00,35.0
"Andre Johnson",WR,10.42,6.81,17,121.7,128.2,4.40,132,132.3,10.91,39.0
"Andre Levrone",WR,9.99,7.02,18,101.8,106.1,4.57,121,118.3,11.39,34.0
"Andre Lindsay",WR,10.14,6.74,10,97.5,102.9,4.47,123,119.3,10.87,34.0
"Andre Patton",WR,10.09,6.74,10,90.4,95.2,4.59,118,119.4,11.03,35.5
"Andre Roberts",WR,10.08,6.77,15,95.9,112.6,4.46,120,121.2,10.92,36.0
"Andre Wilson",WR,9.55,7.22,7,69.0,77.7,4.73,114,110.6,11.56,31.5
"Andrew Hawkins",WR,10.01,6.81,9,86.5,111.6,4.39,114,121.6,10.84,38.0
"Andy Cruse",WR,10.06,6.83,13,88.5,97.5,4.71,126,120.8,11.05,34.0
"Andy Isabella",WR,9.98,6.95,15,103.0,119.5,4.31,121,122.6,11.10,36.5
"Andy Jones",WR,10.20,6.97,11,96.9,104.3,4.60,133,137.1,11.32,41.5
"Anquan Boldin",WR,9.70,7.35,-,88.7,-,4.72,114,114.0,11.68,33.5
"Anthony Dable",WR,-,-,12,114.6,-,4.46,-,-,-,-
"Anthony Johnson",WR,-,7.12,18,94.6,-,4.60,122,116.3,-,32.5
"Anthony Miller",WR,10.15,6.65,22,91.2,121.1,4.55,125,128.8,10.91,39.0
"Anthony Ratliff-Williams",WR,9.87,6.90,14,88.8,97.3,4.62,126,122.5,11.28,35.0
"Anthony Warrum",WR,9.81,6.66,6,80.2,84.2,4.65,112,107.9,10.86,30.5
"Antoine Wesley",WR,10.18,7.07,6,85.7,89.5,4.73,117,121.4,11.33,37.0
"Antonio Brown",WR,9.84,6.98,13,82.5,100.0,4.56,105,109.5,11.16,33.5
"Antonio Callaway",WR,9.90,7.00,7,102.9,96.9,4.41,121,118.3,11.33,34.0
"Antwan Goodley",WR,9.80,7.19,7,103.1,96.6,4.44,127,123.0,11.57,35.0
"Antwane Grant",WR,9.76,7.09,26,76.3,111.2,4.78,123,120.2,11.48,34.5
"ArDarius Stewart",WR,-,-,-,97.6,-,4.49,124,119.8,-,34.0
"Armon Binns",WR,9.99,6.86,13,102.0,98.0,4.53,118,112.6,11.17,31.5
"Arrelious Benn",WR,10.03,6.93,7,87.1,84.3,4.53,123,121.0,11.45,35.0
"Artavis Scott",WR,9.57,7.19,13,82.0,86.6,4.61,116,110.7,11.68,31.0
"Ashton Dulin",WR,10.22,7.00,13,111.6,114.0,4.43,121,125.1,11.22,38.0
"Auden Tate",WR,9.81,7.37,-,100.3,-,4.68,112,108.7,11.95,31.0
"Austin Carr",WR,9.95,6.70,16,83.8,106.6,4.67,116,115.0,10.77,33.5
"Austin Collie",WR,10.00,6.78,17,85.9,109.7,4.63,120,117.8,10.85,34.0
"Austin Duke",WR,9.81,6.92,15,72.4,99.8,4.59,121,123.4,11.21,37.0
"Austin Franklin",WR,9.89,7.07,7,85.0,91.0,4.56,124,123.2,11.40,36.0
"Austin Hill",WR,10.17,6.72,17,91.9,112.4,4.64,121,122.6,10.83,36.5
"Austin Pettis",WR,10.22,6.68,14,95.1,114.3,4.61,120,117.0,10.56,33.5
"Austin Proehl",WR,-,6.75,11,-,-,-,113,114.3,10.82,34.0
"Austin Willis",WR,10.01,6.98,21,88.8,124.4,4.40,125,129.7,11.19,39.5
"B.J. Cunningham",WR,9.86,7.10,12,96.9,95.1,4.59,116,111.6,11.41,31.5
"Ben Edwards",WR,-,6.80,11,-,-,-,-,-,11.32,-
"Bennie Fowler",WR,10.07,7.06,18,104.0,116.8,4.52,126,124.2,11.24,36.0
