season,source,source_table,ranked_players,positions
2014,fantasydata,FantasyData,577,4
2015,fantasydata,FantasyData,741,4
2016,fantasydata,FantasyData,688,4
2016,ffa_projection,FFA_Projections,216,4
2017,fantasydata,FantasyData,1033,4
2017,ffa_projection,FFA_Projections,216,4
2018,fantasydata,FantasyData,1042,4
2018,ffa_projection,FFA_Projections,216,4
2019,fantasydata,FantasyData,829,4
2019,ffa_projection,FFA_Projections,215,4
2020,fantasydata,FantasyData,800,4
2020,ffa_projection,FFA_Projections,216,4
2021,fantasydata,FantasyData,819,4
2021,ffa_projection,FFA_Projections,216,4
2022,fantasydata,FantasyData,805,4
2022,ffa_projection,FFA_Projections,216,4
2023,fantasydata,FantasyData,803,4
2023,ffa_projection,FFA_Projections,216,4
2024,evan_silva_rank,Evan_Silva_Ranks,150,4
2024,fantasydata,FantasyData,752,4
2024,ffa_projection,FFA_Projections,215,4
2024,pff_projection,PFF_Projections,468,4
2025,barret_rank,Barret_Ranks,99,4
2025,etr_rank,ETR_Ranks_PPR,237,4
2025,evan_silva_rank,Evan_Silva_Ranks,150,4
2025,fantasydata,FantasyData,781,4
2025,fantasypoints,FantasyPoints_Projections,524,4
2025,ffa_projection,FFA_Projections,216,4
2025,fff_rank,FFF_Ranks,200,4
2025,pff_projection,PFF_Projections,508,4
2026,etr_rank,ETR_Ranks_PPR,240,4
2026,evan_silva_rank,Evan_Silva_Ranks,150,4
2026,fantasydata,FantasyData,676,4
2026,fantasypoints,FantasyPoints_Projections,551,4
2026,ffa_projection,FFA_Projections,216,4
2026,pff_projection,PFF_Projections,476,4
