comparison_method,variant,incumbent_rmse,variant_rmse,pooled_delta_variant_minus_incumbent,recent_delta_variant_minus_incumbent,early_era_delta,expanded_era_delta,mean_season_delta,median_season_delta,season_wins,season_count,season_bootstrap_95_low,season_bootstrap_95_high,player_cluster_95_low,player_cluster_95_high
lasso,raw_percentile_coverage,3.1602543493661734,3.1591375521083647,-0.001116797257808777,-0.006093746120190424,0.0006267136467452694,-0.007311769605489182,-0.001207285505772118,-0.0005102636397906757,5,9,-0.00416010092598863,0.0018533539389507191,-0.003185897076054667,0.0008283785240787518
random_forest,raw_percentile_coverage,3.131561305016352,3.1301536573208226,-0.0014076476955295902,-0.007193485513260711,0.0013293147391797433,-0.011282652137611926,-0.0017017869300454001,-0.0054563020417233155,6,9,-0.009248715314675138,0.0077298040917335165,-0.006292884028887691,0.0034772199180306135
lightgbm,raw_percentile_coverage,3.132610264490223,3.129081775166524,-0.003528489323699091,-0.011533536697746705,-0.0008716873232113009,-0.013175943061012774,-0.003689408893765863,-0.006290778954880061,7,9,-0.009202394990500028,0.0021146505778204512,-0.008463860445490856,0.00139174749558471
random_forest_full_columns,raw_percentile_coverage,3.134169808528722,3.1339502826293333,-0.00021952589938889489,-0.005444262989290127,0.001289938833065829,-0.005665670967936798,-0.0002558835302674349,-0.0016491968671670243,6,9,-0.004823670553859139,0.005969770216976974,-0.003144675459870383,0.0027060454487780683
