player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Peyton Manning,327,QB,16,IND,696,679,91,28,0,911,10,7,0,13.4,30.8,74.0
Joe Flacco,4332,QB,16,BLT,541,489,78,28,0,910,12,4,0,16.0,35.9,98.8
Kyle Orton,2323,QB,13,DEN,540,498,73,27,0,875,7,2,0,14.7,37.0,103.4
Drew Brees,802,QB,16,NO,685,658,73,31,0,1059,12,8,0,11.1,42.5,89.6
Eli Manning,1722,QB,16,NYG,565,539,73,30,0,945,11,5,0,13.5,41.1,99.5
Josh Freeman,4940,QB,16,TB,543,474,72,23,0,754,7,2,0,15.2,31.9,93.2
Aaron Rodgers,2241,QB,15,GB,543,475,71,27,0,1039,8,6,0,14.9,38.0,88.2
Ryan Fitzpatrick,2467,QB,13,BUF,481,440,69,20,0,635,6,6,0,15.7,29.0,58.2
Philip Rivers,1725,QB,16,SD,588,541,68,29,0,997,12,8,0,12.6,42.6,89.7
Matt Hasselbeck,408,QB,14,SEA,480,444,67,23,0,868,3,5,0,15.1,34.3,66.6
Mark Sanchez,4928,QB,15,NYJ,542,506,65,18,0,615,6,4,0,12.8,27.7,71.6
Donovan McNabb,438,QB,13,WAS,523,472,60,20,0,874,5,6,0,12.7,33.3,70.1
Michael Vick,773,QB,12,PHI,466,372,59,25,0,935,7,4,0,15.9,42.4,100.8
Jay Cutler,2956,QB,15,CHI,508,432,56,15,0,549,5,7,0,13.0,26.8,58.1
Matt Cassel,2447,QB,15,KC,496,450,54,14,0,406,7,2,0,12.0,25.9,82.6
Ben Roethlisberger,1732,QB,12,PIT,432,389,54,22,0,725,4,1,0,13.9,40.7,105.1
Carson Palmer,1317,QB,16,CIN,621,586,54,16,0,616,6,3,0,9.2,29.6,88.5
David Garrard,1109,QB,14,JAX,419,366,51,23,0,676,6,6,0,13.9,45.1,91.4
Jason Campbell,2242,QB,13,OAK,377,329,50,13,0,421,2,6,0,15.2,26.0,35.9
Matt Schaub,1811,QB,16,HST,611,574,48,21,0,682,6,3,0,8.4,43.8,104.2
Matt Ryan,4317,QB,16,ATL,611,571,47,15,0,445,4,2,0,8.2,31.9,78.8
