player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Jay Cutler,2956,QB,16,DEN,651,616,86,29,0,978,8,7,0,14.0,33.7,74.7
Drew Brees,802,QB,16,NO,653,635,75,32,0,1302,10,5,0,11.8,42.7,101.5
Aaron Rodgers,2241,QB,16,GB,599,536,74,29,0,1092,9,6,0,13.8,39.2,92.6
Peyton Manning,327,QB,16,IND,573,555,73,24,0,829,5,6,0,13.2,32.9,65.4
Donovan McNabb,438,QB,16,PHI,618,571,69,24,0,733,2,6,0,12.1,34.8,48.8
Kyle Orton,2323,QB,15,CHI,501,465,66,20,0,553,6,3,0,14.2,30.3,73.6
Eli Manning,1722,QB,16,NYG,510,479,60,18,0,540,4,3,0,12.5,30.0,66.0
Brett Favre,14,QB,16,NYJ,559,522,59,17,0,522,6,11,0,11.3,28.8,58.3
Philip Rivers,1725,QB,16,SD,515,478,59,24,0,871,9,3,0,12.3,40.7,106.5
Tony Romo,1693,QB,13,DAL,480,450,59,21,0,826,8,3,0,13.1,35.6,102.2
Matt Ryan,4317,QB,16,ATL,472,434,58,24,0,789,5,1,0,13.4,41.4,110.2
Jake Delhomme,303,QB,16,CAR,439,414,57,26,0,884,5,3,0,13.8,45.6,99.5
Marc Bulger,684,QB,15,STR,484,439,56,15,0,530,6,6,0,12.8,26.8,62.6
Tyler Thigpen,3833,QB,14,KC,480,420,56,17,0,553,5,3,0,13.3,30.4,76.0
Kerry Collins,115,QB,16,TEN,429,415,54,18,0,569,3,3,0,13.0,33.3,69.1
David Garrard,1109,QB,16,JAX,616,535,53,18,0,508,3,4,0,9.9,34.0,57.7
Joe Flacco,4332,QB,16,BLT,474,428,51,14,0,564,6,3,0,11.9,27.5,87.9
JaMarcus Russell,3617,QB,15,OAK,409,368,51,14,0,446,3,3,0,13.9,27.5,58.6
Ben Roethlisberger,1732,QB,16,PIT,532,468,47,13,0,510,5,4,0,10.0,27.7,72.3
Kurt Warner,112,QB,16,ARZ,625,598,46,23,0,861,5,3,0,7.7,50.0,104.9
Matt Cassel,2447,QB,16,NE,602,516,46,12,0,372,4,5,0,8.9,26.1,50.2
Jeff Garcia,550,QB,12,TB,425,376,38,17,0,624,9,2,0,10.1,44.7,109.1
Dan Orlovsky,2362,QB,10,DET,272,255,38,13,0,471,2,4,0,14.9,34.2,60.2
Chad Pennington,596,QB,16,MIA,509,474,36,18,0,555,7,2,0,7.6,50.0,112.3
J.T. O'Sullivan,1169,QB,9,SF,273,220,35,16,0,481,2,4,0,15.9,45.7,71.7
Jason Campbell,2242,QB,16,WAS,571,506,35,9,0,321,2,1,0,6.9,25.7,72.4
Matt Schaub,1811,QB,11,HST,416,380,33,16,0,582,3,1,0,8.7,48.5,112.2
Shaun Hill,1255,QB,9,SF,325,288,32,15,0,430,4,3,0,11.1,46.9,93.8
Trent Edwards,3708,QB,14,BUF,415,374,31,15,0,506,2,3,0,8.3,48.4,76.4
Gus Frerotte,93,QB,11,MIN,334,301,30,10,0,397,3,6,0,10.0,33.3,75.7
Ryan Fitzpatrick,2467,QB,12,CIN,448,372,29,5,0,125,2,3,0,7.8,17.2,28.4
Seneca Wallace,1422,QB,9,SEA,265,242,25,6,0,239,2,3,0,10.3,24.0,54.0
Derek Anderson,2430,QB,10,CLV,306,283,24,7,0,260,2,2,0,8.5,29.2,65.3
