player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Eli Manning,1722,QB,16,NYG,627,589,109,43,0,1490,12,7,0,18.5,39.4,97.0
Cam Newton,6153,QB,16,CAR,600,517,89,33,0,1149,7,4,0,17.2,37.1,92.6
Joe Flacco,4332,QB,16,BLT,582,542,79,22,0,716,8,3,0,14.6,27.8,82.8
Philip Rivers,1725,QB,16,SD,621,582,75,28,0,935,12,6,0,12.9,37.3,91.4
Matthew Stafford,4924,QB,16,DET,711,663,73,31,0,1112,11,2,0,11.0,42.5,117.7
Drew Brees,802,QB,16,NO,693,657,71,37,0,1192,16,4,0,10.8,52.1,113.7
Matt Hasselbeck,408,QB,16,TEN,544,518,69,21,0,686,4,4,0,13.3,30.4,64.0
Ben Roethlisberger,1732,QB,15,PIT,566,513,68,21,0,729,6,5,0,13.3,30.9,71.3
Tarvaris Jackson,3009,QB,15,SEA,512,450,66,22,0,737,3,4,0,14.7,33.3,66.3
Tim Tebow,5550,QB,12,DEN,341,271,63,18,0,551,5,2,0,23.2,28.6,76.8
Rex Grossman,1338,QB,13,WAS,487,458,61,20,0,571,4,10,0,13.3,32.8,50.7
Aaron Rodgers,2241,QB,15,GB,580,502,61,32,0,1248,13,1,0,12.2,52.5,130.6
Tony Romo,1693,QB,16,DAL,565,522,61,32,0,1166,13,2,0,11.7,52.5,123.8
Tom Brady,698,QB,16,NE,656,611,60,20,0,636,9,2,0,9.8,33.3,99.7
Matt Ryan,4317,QB,16,ATL,607,566,60,15,0,497,4,2,0,10.6,25.0,69.9
Andy Dalton,6187,QB,16,CIN,563,516,60,28,0,922,7,5,0,11.6,46.7,97.2
Michael Vick,773,QB,13,PHI,498,423,58,24,0,769,3,4,0,13.7,41.4,77.2
Matt Moore,4018,QB,13,MIA,393,346,58,23,0,774,6,8,0,16.8,39.7,82.1
Ryan Fitzpatrick,2467,QB,16,BUF,617,569,58,17,0,536,3,4,0,10.2,29.3,54.1
Mark Sanchez,4928,QB,16,NYJ,600,543,57,17,0,443,7,6,0,10.5,29.8,59.5
Carson Palmer,1317,QB,10,OAK,350,328,50,20,0,701,7,4,0,15.2,40.0,93.8
Colt McCoy,5609,QB,13,CLV,534,462,44,17,0,545,6,5,0,9.5,38.6,85.9
Alex Smith,2218,QB,16,SF,515,445,43,17,0,556,4,2,0,9.7,39.5,98.7
Sam Bradford,5526,QB,10,STR,398,357,41,16,0,496,4,2,0,11.5,39.0,97.2
Christian Ponder,6164,QB,11,MIN,342,291,38,10,0,322,3,2,0,13.1,26.3,66.8
Jay Cutler,2956,QB,10,CHI,345,314,37,14,0,425,2,2,0,11.8,37.8,77.0
Matt Schaub,1811,QB,10,HST,313,292,37,14,0,499,5,0,0,12.7,37.8,125.3
Josh Freeman,4940,QB,15,TB,609,551,36,15,0,486,3,2,0,6.5,41.7,93.5
Blaine Gabbert,6162,QB,15,JAX,475,413,36,9,0,303,3,2,0,8.7,25.0,66.8
Matt Cassel,2447,QB,9,KC,309,269,35,11,0,347,2,2,0,13.0,31.4,64.8
John Skelton,5678,QB,8,ARZ,315,275,30,9,0,288,2,1,0,10.9,30.0,75.4
Curtis Painter,5125,QB,9,IND,268,243,25,7,0,247,1,2,0,10.3,28.0,48.3
Jason Campbell,2242,QB,6,OAK,178,165,24,6,0,222,1,2,0,14.5,25.0,44.8
Dan Orlovsky,2362,QB,8,IND,209,193,19,5,0,137,3,2,0,9.8,26.3,57.1
Kevin Kolb,3652,QB,9,ARZ,291,253,19,7,0,276,1,3,0,7.5,36.8,62.8
Vince Young,2948,QB,5,PHI,135,114,19,5,0,203,0,6,0,16.7,26.3,32.0
Chad Henne,4371,QB,4,MIA,134,112,17,9,0,263,0,1,0,15.2,52.9,73.8
Tyler Palko,4031,QB,6,KC,147,134,16,6,0,160,2,2,0,11.9,37.5,75.0
Donovan McNabb,438,QB,6,MIN,180,156,14,4,0,105,1,0,0,9.0,28.6,82.1
John Beck,3656,QB,4,WAS,156,132,14,3,0,87,0,2,0,10.6,21.4,13.4
Kellen Clemens,2994,QB,3,STR,105,91,13,4,0,108,2,0,0,14.3,30.8,101.9
T.J. Yates,6304,QB,6,HST,156,134,12,1,0,50,0,1,0,9.0,8.3,9.7
Kyle Orton,2323,QB,5,DEN,165,155,12,4,0,152,2,3,0,7.7,33.3,81.9
Jake Locker,6160,QB,5,TEN,75,66,11,5,0,183,2,0,0,16.7,45.5,131.6
Charlie Whitehurst,3026,QB,3,SEA,67,56,11,3,0,87,1,1,0,19.6,27.3,52.5
Kyle Orton,2323,QB,4,KC,99,97,10,4,0,136,0,0,0,10.3,40.0,87.5
Caleb Hanie,4674,QB,4,CHI,133,102,10,2,0,106,1,5,0,9.8,20.0,65.0
Joe Webb III,5722,QB,6,MIN,76,63,10,4,0,99,1,1,0,15.9,40.0,70.4
Seneca Wallace,1422,QB,5,CLV,118,107,10,2,0,105,1,0,0,9.3,20.0,104.2
Kerry Collins,115,QB,3,IND,103,98,8,0,0,0,0,1,0,8.2,0.0,0.0
