player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Joe Flacco,4332,QB,16,BLT,677,614,88,17,7,730,1,8,0,14.3,27.3,27.6
Andy Dalton,6187,QB,16,CIN,640,586,86,31,7,1028,14,5,0,14.7,44.2,97.3
Peyton Manning,327,QB,16,DEN,677,659,83,38,2,1299,12,5,0,12.6,48.2,106.8
Matthew Stafford,4924,QB,16,DET,668,634,77,23,6,728,8,7,0,12.1,37.7,63.2
Drew Brees,802,QB,16,NO,699,650,77,29,2,1128,15,2,0,11.8,40.3,114.3
Ben Roethlisberger,1732,QB,16,PIT,639,584,76,24,3,730,7,7,0,13.0,35.5,60.7
Carson Palmer,1317,QB,16,ARZ,618,572,74,23,0,737,7,8,0,12.9,31.1,61.4
Eli Manning,1722,QB,16,NYG,596,551,70,21,2,725,6,7,0,12.7,32.9,59.2
Tom Brady,698,QB,16,NE,671,628,66,20,6,694,4,4,0,10.5,39.4,66.1
Cam Newton,6153,QB,16,CAR,554,473,64,15,5,502,8,4,0,13.5,31.3,73.3
Ryan Tannehill,7014,QB,16,MIA,661,588,64,16,5,560,3,6,0,10.9,32.8,40.1
Andrew Luck,7007,QB,16,IND,645,570,60,17,5,614,5,2,0,10.5,36.7,83.6
Russell Wilson,7077,QB,16,SEA,502,407,60,27,3,922,9,5,0,14.7,50.0,96.5
Geno Smith,7820,QB,16,NYJ,517,443,60,26,2,830,4,7,0,13.5,46.7,72.9
Colin Kaepernick,6188,QB,16,SF,502,416,57,21,4,683,6,2,0,13.7,43.9,103.2
Philip Rivers,1725,QB,16,SD,590,544,57,21,4,696,7,4,0,10.5,43.9,94.0
Jay Cutler,2956,QB,11,CHI,387,355,57,24,2,829,5,5,0,16.1,45.6,81.9
Tony Romo,1693,QB,15,DAL,579,535,56,21,3,695,8,1,0,10.5,42.9,117.2
Nick Foles,7089,QB,13,PHI,362,317,55,25,0,803,14,1,0,17.4,45.5,124.1
Robert Griffin III,7008,QB,13,WAS,530,456,46,12,1,406,4,4,0,10.1,28.3,56.6
Mike Glennon,7854,QB,13,TB,468,416,45,18,3,673,7,1,0,10.8,46.7,117.8
Matt Ryan,4317,QB,16,ATL,703,651,43,15,2,534,5,7,0,6.6,39.5,82.1
Alex Smith,2218,QB,15,KC,593,508,41,13,6,420,4,0,0,8.1,46.3,103.7
E.J. Manuel,7797,QB,10,BUF,358,306,41,12,2,360,5,2,0,13.4,34.1,82.9
Ryan Fitzpatrick,2467,QB,11,TEN,399,350,40,14,3,534,3,5,0,11.4,42.5,68.8
Chad Henne,4371,QB,15,JAX,551,503,38,9,3,262,2,3,0,7.6,31.6,40.5
Matt Cassel,2447,QB,9,MIN,281,254,38,17,1,491,4,3,0,15.0,47.4,93.6
Aaron Rodgers,2241,QB,9,GB,328,290,36,18,1,676,3,1,0,12.4,52.8,112.0
Matt McGloin,8374,QB,7,OAK,220,211,35,15,1,443,3,1,0,16.6,45.7,106.5
Jason Campbell,2242,QB,9,CLV,346,317,34,9,1,304,3,2,0,10.7,29.4,69.2
Brandon Weeden,7028,QB,8,CLV,301,267,33,11,2,355,2,3,0,12.4,39.4,57.0
Case Keenum,7323,QB,8,HST,277,253,32,13,3,517,4,1,0,12.6,50.0,114.6
Matt Schaub,1811,QB,10,HST,383,358,32,10,3,268,2,3,0,8.9,40.6,44.8
Christian Ponder,6164,QB,9,MIN,291,239,31,12,1,380,3,3,0,13.0,41.9,78.1
Terrelle Pryor,6944,QB,11,OAK,337,272,30,8,1,287,2,4,0,11.0,30.0,49.6
Jake Locker,6160,QB,7,TEN,213,183,30,7,0,199,3,3,0,16.4,23.3,48.5
Kellen Clemens,2994,QB,10,STR,272,242,25,9,3,269,1,0,0,10.3,48.0,90.3
Josh McCown,1085,QB,8,CHI,243,224,23,10,0,330,5,0,0,10.3,43.5,130.0
Michael Vick,773,QB,6,PHI,171,141,22,9,1,299,3,1,0,15.6,45.5,108.9
Sam Bradford,5526,QB,7,STR,284,262,22,7,2,277,1,2,0,8.4,40.9,58.0
Thaddeus Lewis,5817,QB,5,BUF,184,157,21,8,0,290,1,1,0,13.4,38.1,81.9
Josh Freeman,4940,QB,3,TB,103,94,16,5,1,123,1,1,0,17.0,37.5,54.9
Matt Flynn,4523,QB,5,GB,194,166,14,4,0,164,0,0,0,8.4,28.6,75.9
Brian Hoyer,5277,QB,3,CLV,104,96,11,3,1,99,2,0,0,11.5,36.4,104.2
Kirk Cousins,7102,QB,5,WAS,162,155,11,4,0,164,2,1,0,7.1,36.4,86.2
Jeff Tuel,8508,QB,2,BUF,63,59,10,1,3,59,1,0,0,16.9,40.0,85.0
Scott Tolzien,6749,QB,3,GB,98,90,9,6,1,217,0,0,0,10.0,77.8,109.7
Blaine Gabbert,6162,QB,3,JAX,105,86,8,2,1,59,0,2,0,9.3,37.5,18.2
Josh Freeman,4940,QB,1,MIN,54,53,8,0,0,0,0,0,0,15.1,0.0,39.6
Kyle Orton,2323,QB,2,DAL,52,51,7,2,0,73,0,0,0,13.7,28.6,70.5
Matt Barkley,7880,QB,3,PHI,52,49,5,1,0,25,0,2,0,10.2,20.0,8.3
Matt Flynn,4523,QB,2,OAK,42,34,5,3,0,78,1,0,0,14.7,60.0,143.8
Matt Simms,7423,QB,3,NYJ,39,31,4,0,0,0,0,1,0,12.9,0.0,0.0
Brock Osweiler,7059,QB,2,DEN,19,16,2,0,0,0,0,0,0,12.5,0.0,39.6
Chase Daniel,5214,QB,3,KC,45,38,2,1,0,48,0,0,0,5.3,50.0,95.8
Tarvaris Jackson,3009,QB,3,SEA,13,13,2,1,0,35,1,0,0,15.4,50.0,135.4
