player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Carson Palmer,1317,QB,16,CIN,596,575,74,27,2,825,8,5,0,12.9,39.2,86.8
Tom Brady,698,QB,16,NE,615,578,73,31,4,1192,16,5,0,12.6,47.9,100.6
Peyton Manning,327,QB,16,IND,537,514,71,30,1,1044,10,4,0,13.8,43.7,105.5
Matt Hasselbeck,408,QB,16,SEA,612,562,67,18,0,512,8,4,0,11.9,26.9,73.6
Philip Rivers,1725,QB,16,SD,491,460,67,27,2,783,8,6,0,14.6,43.3,86.6
Tony Romo,1693,QB,16,DAL,561,520,65,30,0,982,13,6,0,12.5,46.2,93.8
Eli Manning,1722,QB,16,NYG,565,529,65,15,3,467,4,4,0,12.3,27.7,51.9
Jon Kitna,217,QB,16,DET,624,561,62,18,0,514,4,7,0,11.1,29.0,43.5
Brett Favre,14,QB,16,GB,556,535,57,24,0,964,9,6,0,10.7,42.1,89.3
Ben Roethlisberger,1732,QB,15,PIT,474,404,56,24,2,740,11,5,0,13.9,46.4,92.3
Jason Campbell,2242,QB,13,WAS,459,416,55,14,0,473,2,2,0,13.2,25.5,59.9
Vince Young,2948,QB,15,TEN,460,382,52,9,0,351,3,8,0,13.6,17.3,34.9
Donovan McNabb,438,QB,14,PHI,546,473,52,21,0,657,6,2,0,11.0,40.4,110.3
Jay Cutler,2956,QB,16,DEN,507,467,52,19,1,643,5,5,0,11.1,38.5,76.5
Drew Brees,802,QB,16,NO,675,652,51,16,2,565,6,4,0,7.8,35.3,80.9
Derek Anderson,2430,QB,16,CLV,554,527,49,19,1,625,9,2,0,9.3,40.8,109.1
Kurt Warner,112,QB,14,ARZ,474,451,49,20,0,600,6,7,0,10.9,40.8,87.1
Damon Huard,215,QB,11,KC,371,332,47,17,1,446,5,6,0,14.2,38.3,67.6
Marc Bulger,684,QB,12,STR,417,378,45,12,0,363,1,4,0,11.9,26.7,31.1
David Garrard,1109,QB,12,JAX,365,325,39,15,2,458,6,0,0,12.0,43.6,122.6
Trent Dilfer,72,QB,7,SF,250,219,38,8,0,228,2,3,0,17.4,21.1,36.7
Tarvaris Jackson,3009,QB,12,MIN,345,294,38,5,2,200,2,5,0,12.9,18.4,27.0
Kyle Boller,1335,QB,12,BLT,311,275,38,12,1,406,1,4,0,13.8,34.2,42.1
Cleo Lemon,1271,QB,9,MIA,348,309,35,8,0,218,3,3,0,11.3,22.9,45.9
Jeff Garcia,550,QB,13,TB,367,328,34,14,0,560,7,0,0,10.4,41.2,128.1
Kellen Clemens,2994,QB,10,NYJ,290,250,31,7,3,264,0,3,0,12.4,32.3,23.0
Joey Harrington,1011,QB,12,ATL,388,348,30,9,0,282,1,2,0,8.6,30.0,49.6
Rex Grossman,1338,QB,8,CHI,255,225,30,8,1,303,1,3,0,13.3,30.0,40.7
Sage Rosenfels,863,QB,9,HST,253,240,29,10,0,318,4,5,0,12.1,34.5,76.5
Brian Griese,379,QB,7,CHI,283,264,29,10,0,300,6,5,0,11.0,34.5,73.9
Josh McCown,1085,QB,9,OAK,220,190,29,9,0,287,5,7,0,15.3,31.0,69.2
Alex Smith,2218,QB,7,SF,219,193,27,5,0,142,1,2,0,14.0,18.5,30.5
Daunte Culpepper,446,QB,7,OAK,214,185,26,13,0,422,1,2,0,14.1,50.0,76.6
Matt Schaub,1811,QB,11,HST,313,289,25,12,0,500,3,3,0,8.7,48.0,94.2
Quinn Gray,1247,QB,7,JAX,159,144,24,6,0,253,3,4,0,16.7,25.0,71.0
Chad Pennington,596,QB,9,NYJ,291,260,23,13,0,365,3,1,0,8.8,56.5,122.7
Brodie Croyle,3030,QB,9,KC,246,224,22,5,1,125,3,2,0,9.8,27.3,52.5
Trent Edwards,3708,QB,10,BUF,288,269,21,8,0,293,2,2,0,7.8,38.1,78.1
Gus Frerotte,93,QB,8,STR,179,167,20,7,1,189,4,4,0,12.0,40.0,70.6
J.P. Losman,1743,QB,8,BUF,200,175,20,5,0,214,2,2,0,11.4,25.0,65.4
David Carr,1009,QB,6,CAR,160,136,20,3,0,80,1,2,0,14.7,15.0,20.8
Vinny Testaverde,2866,QB,6,CAR,184,172,19,6,0,214,1,1,0,11.0,31.6,70.9
Matt Moore,4018,QB,8,CAR,118,111,18,5,0,230,0,2,0,16.2,27.8,39.6
