player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Hank Baskett,3220,WR,1,PHI,1,1,1,0,0,0,0,1,0,100.0,0.0,0.0
Reggie Bush,2947,HB,1,NO,1,1,1,0,0,0,0,1,0,100.0,0.0,0.0
Brooks Bollinger,1502,QB,2,MIN,24,17,1,0,0,0,0,0,0,5.9,0.0,39.6
Arnaz Battle,1499,WR,1,SF,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
LaDainian Tomlinson,777,HB,3,SD,2,2,1,0,0,0,0,0,0,50.0,0.0,39.6
Cedrick Wilson,901,WR,1,PIT,1,1,1,1,0,21,0,0,0,100.0,100.0,118.8
Keyshawn Johnson,153,WR,1,CAR,1,1,1,0,0,0,0,1,0,100.0,0.0,0.0
Larry Johnson,1343,HB,1,KC,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Lee Evans,1734,WR,1,BUF,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Patrick Ramsey,1039,QB,1,NYJ,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Mewelde Moore,1840,HB,1,MIN,1,1,1,1,0,15,1,0,0,100.0,100.0,158.3
Mark Clayton,2239,WR,1,BLT,2,2,1,0,0,0,0,0,0,50.0,0.0,39.6
Joshua Cribbs,2544,WR,1,CLV,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
Carlyle Holiday,2640,WR,1,GB,1,1,1,0,0,0,0,0,0,100.0,0.0,39.6
