family,feature_name,available_rows,availability_rate,first_available_season,lasso_selection_frequency,lasso_mean_coefficient,elastic_net_selection_frequency,elastic_net_mean_coefficient
experience_context,expert_ppg_exp_percentile,6450,1.0,2008,0.6888888888888889,0.0284942585293013,0.7555555555555555,0.0444237484951754
experience_context,expert_ppg_exp_diff,6450,1.0,2008,0.6666666666666666,0.0497307346459099,0.9111111111111112,0.4473767348789005
experience_context,expert_ppg_exp_peer_mean,6450,1.0,2008,0.0,0.0,0.4222222222222222,0.1915983763945147
market_room,adp_teammates_better_count,4232,0.656124031007752,2008,1.0,0.2226790793720867,1.0,0.2681518702493718
market_room,adp_room_strength_share,4232,0.656124031007752,2008,1.0,0.394537378188,1.0,0.4578724789201771
market_room,adp_worst_teammate_gap,4232,0.656124031007752,2008,0.8,-0.0432287540398922,0.8222222222222222,-0.066350006644136
market_room,adp_best_teammate_gap,4232,0.656124031007752,2008,0.2222222222222222,0.0258687603692799,0.6444444444444445,0.0948806722917367
market_room,adp_mean_teammate_gap,4232,0.656124031007752,2008,0.0444444444444444,0.0041609245021487,0.1777777777777777,0.0130626965608294
opportunity_share,team_receiving_yard_share,6356,0.9854263565891472,2008,0.9555555555555556,0.3142951191626486,0.9333333333333332,0.3829765225904639
opportunity_share,team_reception_share,6356,0.9854263565891472,2008,0.8444444444444444,0.2555440654129333,1.0,0.2976840644430577
opportunity_share,team_rush_attempt_share,5701,0.8838759689922481,2008,0.7333333333333333,0.0451685810189802,0.9111111111111112,0.1627187103309704
opportunity_share,team_target_share,762,0.11813953488372093,2024,0.0444444444444444,2.05599460017812e-06,0.0666666666666666,-0.0002049088635712
