league,period,rosters,score_crps_relative_delta,score_bias_delta,coverage_delta,championship_brier_relative_delta,championship_log_loss_delta
dk,all_2018_2025,1152,-0.0037554424975434,0.4437213893289886,0.0060763888888888,-0.0007979117442938,0.0036705355737827
dk,development_2018_2022,720,-0.0077171880109695,1.5290108795519153,0.0055555555555555,-0.0023736240576414,-0.0047669650741468
dk,temporal_2023_2025,432,0.003108867624753,-1.365094427709222,0.0069444444444444,0.0017904299525319,0.0177330366536647
beta,all_2018_2025,1008,0.0043619490152893,-1.6797450736716928,-0.0039682539682539,-0.0019991683253383,-0.0064211456609526
beta,development_2018_2022,576,0.003780229120974,0.8852111559223266,-0.0069444444444444,-0.0029275662009098,-0.0128007829445646
beta,temporal_2023_2025,432,0.0052701196853253,-5.099686713130383,0.0,-0.0007984856110403,0.0020850373838654
