league,period,crps_delta,production_coverage_50,ridge_coverage_50,production_coverage_80,ridge_coverage_80
dk,all_2018_2025,-0.0008042199016993,0.4937671024627546,0.4952873213742779,0.793858315597446,0.7953785345089693
dk,development_2018_2022,-0.0009903154699912,0.4892787524366471,0.4887914230019493,0.8011695906432749,0.804093567251462
dk,temporal_2023_2025,-0.000495514884613,0.5012126111560227,0.5060630557801131,0.7817299919159256,0.7809215844785772
beta,all_2018_2025,-0.0002275989780393,0.4953416149068323,0.4975155279503105,0.7916149068322982,0.7928571428571428
beta,development_2018_2022,-0.0001827897756254,0.4914744232698094,0.4939819458375125,0.7948846539618857,0.7963891675025075
beta,temporal_2023_2025,-0.000300477892895,0.50163132137031,0.5032626427406199,0.7862969004893964,0.7871125611745514
