league,tier,period,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,coverage_delta
dk,core_main,development_2017_2022,-0.0013721518349695,-0.0007604726132661,-0.0003452822290004,-0.0016666666666667
dk,core_main,temporal_2023_2025,0.0001935185868513,-8.471150673550198e-05,9.689226305753527e-05,0.0027777777777777
dk,depth_main,development_2017_2022,0.0005578502864063,0.0011693133244872,0.0006485885478195,-0.0035629453681709
dk,depth_main,temporal_2023_2025,-0.0011502641221974,-0.0005023267082324,-0.0012239909959473,0.0
beta,core_main,development_2017_2022,-0.0017989049355069,-0.0015533005056074,0.0001024856491689,0.0017182130584192
beta,core_main,temporal_2023_2025,-7.889142433992191e-06,-0.0001572189559951,-0.0012519296926107,0.0
beta,depth_main,development_2017_2022,0.0007394347255285,6.988775014615811e-05,-0.0001099773325046,0.0036452004860266
beta,depth_main,temporal_2023_2025,8.711947489881133e-05,0.0003305435222085,-0.0012439738189824,-0.0079365079365079
