comparison,challenger,reference,metric,origins,mean_origin_delta,pooled_challenger,pooled_reference,origin_wins,recent_mean_delta,bootstrap_95_lower,bootstrap_95_upper,exact_sign_flip_pvalue
primary_vs_expert_carry,next_ppg_primary_blend,next_ppg_expert_carry_forward,rmse,8,-0.8068692437321172,3.553765095426424,4.365341994120759,8,-0.6892153365922882,-0.8963476542976673,-0.7177446688100663,0.0078125
aging_vs_expert_carry,next_ppg_position_experience_aging,next_ppg_expert_carry_forward,rmse,8,-0.36196663642039534,3.9996565724138415,4.365341994120759,8,-0.2538347539622376,-0.4771116119583559,-0.23599016435973336,0.0078125
lasso_vs_expert_carry,next_ppg_lasso,next_ppg_expert_carry_forward,rmse,8,-0.7516855761327557,3.6095542119235033,4.365341994120759,8,-0.610546556648949,-0.852197419551868,-0.6512308096590556,0.0078125
rf_vs_expert_carry,next_ppg_random_forest,next_ppg_expert_carry_forward,rmse,8,-0.7882033536089206,3.571672165073554,4.365341994120759,8,-0.6517154187082626,-0.8885900191800208,-0.6898385616745342,0.0078125
lightgbm_vs_expert_carry,next_ppg_lightgbm,next_ppg_expert_carry_forward,rmse,8,-0.7927810276560663,3.5687606558479033,4.365341994120759,8,-0.7045961645433292,-0.8632011061713496,-0.721884541463079,0.0078125
participation_lgbm_vs_prior,next_participation_lightgbm,next_participation_position_experience_prior,brier,8,-0.09662593378039454,0.16627941427647552,0.2644810987366634,8,-0.08784357648307262,-0.11028420449589196,-0.0833212721156307,0.0078125
participation_lgbm_vs_logistic,next_participation_lightgbm,next_participation_logistic,brier,8,-0.009440729821058154,0.16627941427647552,0.17626239226379825,8,-0.005336274785132988,-0.014426990738921334,-0.005185281658943582,0.0078125
