target_name,method,slice_type,slice_value,metric,n_rows,n_origins,value
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,other_no_history,rmse,45,8,4.640156816227413
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,other_no_history,mae,45,8,2.944477977148462
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,other_no_history,bias,45,8,-2.8841446438151297
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,other_no_history,spearman,45,8,-0.050890853656201676
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,rookie,rmse,583,8,5.152448992829299
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,rookie,mae,583,8,3.6744958106715595
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,rookie,bias,583,8,-3.0839925071051852
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,rookie,spearman,583,8,0.5414106205879596
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,second_year,rmse,574,8,4.211643938314394
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,second_year,mae,574,8,3.156135445433923
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,second_year,bias,574,8,-1.5597346110147103
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,second_year,spearman,574,8,0.6078597803817049
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,veteran_with_history,rmse,2166,8,4.163859426227044
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,veteran_with_history,mae,2166,8,2.998565510819262
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,veteran_with_history,bias,2166,8,-0.7748765229817618
next_conditional_ppg,next_ppg_expert_carry_forward,history_depth,veteran_with_history,spearman,2166,8,0.6521249917268728
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,rookie,rmse,583,8,5.152448992829299
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,rookie,mae,583,8,3.6744958106715595
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,rookie,bias,583,8,-3.0839925071051852
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,rookie,spearman,583,8,0.5414106205879596
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,second_year,rmse,574,8,4.211643938314394
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,second_year,mae,574,8,3.156135445433923
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,second_year,bias,574,8,-1.5597346110147103
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,second_year,spearman,574,8,0.6078597803817049
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_10_plus,rmse,130,8,5.333898630591285
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_10_plus,mae,130,8,3.7900562072563657
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_10_plus,bias,130,8,-0.4183727751024155
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_10_plus,spearman,130,8,0.6362023736536182
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_2_3,rmse,952,8,3.9834827640160393
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_2_3,mae,952,8,2.940481442322494
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_2_3,bias,952,8,-1.2196551254199306
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_2_3,spearman,952,8,0.6370355881358427
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_4_6,rmse,828,8,3.9197352733140503
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_4_6,mae,828,8,2.8228656033848982
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_4_6,bias,828,8,-0.637697182038449
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_4_6,spearman,828,8,0.6619894203104094
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_7_9,rmse,301,8,4.820954952037516
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_7_9,mae,301,8,3.3156679261434046
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_7_9,bias,301,8,-0.21480282677492674
next_conditional_ppg,next_ppg_expert_carry_forward,experience_group,year_7_9,spearman,301,8,0.6159713018665799
next_conditional_ppg,next_ppg_lasso,pooled,all,rmse,3368,8,3.6095542119235033
next_conditional_ppg,next_ppg_lasso,pooled,all,mae,3368,8,2.7596621023553474
next_conditional_ppg,next_ppg_lasso,pooled,all,bias,3368,8,0.2832918781685171
next_conditional_ppg,next_ppg_lasso,pooled,all,spearman,3368,8,0.6952623573951259
next_conditional_ppg,next_ppg_lasso,recent,2022_2024,rmse,1269,3,3.613850671271333
next_conditional_ppg,next_ppg_lasso,recent,2022_2024,mae,1269,3,2.762450516501326
next_conditional_ppg,next_ppg_lasso,recent,2022_2024,bias,1269,3,0.5433282835122178
next_conditional_ppg,next_ppg_lasso,recent,2022_2024,spearman,1269,3,0.7154129676282962
next_conditional_ppg,next_ppg_lasso,origin_season,2017,rmse,415,1,3.921103699084211
next_conditional_ppg,next_ppg_lasso,origin_season,2017,mae,415,1,2.8912223460820474
next_conditional_ppg,next_ppg_lasso,origin_season,2017,bias,415,1,-0.0755798166879303
next_conditional_ppg,next_ppg_lasso,origin_season,2017,spearman,415,1,0.6948723733554194
next_conditional_ppg,next_ppg_lasso,origin_season,2018,rmse,376,1,3.4223375778781686
next_conditional_ppg,next_ppg_lasso,origin_season,2018,mae,376,1,2.6019769587570423
next_conditional_ppg,next_ppg_lasso,origin_season,2018,bias,376,1,-0.11781741560113926
next_conditional_ppg,next_ppg_lasso,origin_season,2018,spearman,376,1,0.650578646356164
next_conditional_ppg,next_ppg_lasso,origin_season,2019,rmse,432,1,3.843924644004606
next_conditional_ppg,next_ppg_lasso,origin_season,2019,mae,432,1,2.9027892498442847
next_conditional_ppg,next_ppg_lasso,origin_season,2019,bias,432,1,-0.167211109491599
next_conditional_ppg,next_ppg_lasso,origin_season,2019,spearman,432,1,0.6777699559674955
next_conditional_ppg,next_ppg_lasso,origin_season,2020,rmse,452,1,3.4828069103084442
next_conditional_ppg,next_ppg_lasso,origin_season,2020,mae,452,1,2.714694076961557
next_conditional_ppg,next_ppg_lasso,origin_season,2020,bias,452,1,0.21891716801258237
next_conditional_ppg,next_ppg_lasso,origin_season,2020,spearman,452,1,0.6811377631102603
next_conditional_ppg,next_ppg_lasso,origin_season,2021,rmse,424,1,3.314444377634541
next_conditional_ppg,next_ppg_lasso,origin_season,2021,mae,424,1,2.6644928454164494
next_conditional_ppg,next_ppg_lasso,origin_season,2021,bias,424,1,0.7396062864263304
next_conditional_ppg,next_ppg_lasso,origin_season,2021,spearman,424,1,0.7266831721964503
next_conditional_ppg,next_ppg_lasso,origin_season,2022,rmse,412,1,3.749194720955943
next_conditional_ppg,next_ppg_lasso,origin_season,2022,mae,412,1,2.8955251471860084
next_conditional_ppg,next_ppg_lasso,origin_season,2022,bias,412,1,0.9348266712521593
next_conditional_ppg,next_ppg_lasso,origin_season,2022,spearman,412,1,0.7065195522924109
next_conditional_ppg,next_ppg_lasso,origin_season,2023,rmse,420,1,3.6755566436994234
next_conditional_ppg,next_ppg_lasso,origin_season,2023,mae,420,1,2.809836258973874
next_conditional_ppg,next_ppg_lasso,origin_season,2023,bias,420,1,0.41826992382437006
next_conditional_ppg,next_ppg_lasso,origin_season,2023,spearman,420,1,0.7108736944746905
next_conditional_ppg,next_ppg_lasso,origin_season,2024,rmse,437,1,3.4187835283042363
next_conditional_ppg,next_ppg_lasso,origin_season,2024,mae,437,1,2.5914464897723577
next_conditional_ppg,next_ppg_lasso,origin_season,2024,bias,437,1,0.2944202178830191
next_conditional_ppg,next_ppg_lasso,origin_season,2024,spearman,437,1,0.7362567843828258
next_conditional_ppg,next_ppg_lasso,position,QB,rmse,274,7,5.631636938653258
next_conditional_ppg,next_ppg_lasso,position,QB,mae,274,7,4.264813381703938
next_conditional_ppg,next_ppg_lasso,position,QB,bias,274,7,-0.014411604038252302
next_conditional_ppg,next_ppg_lasso,position,QB,spearman,274,7,0.4606328650375753
next_conditional_ppg,next_ppg_lasso,position,RB,rmse,918,8,4.076853545831887
next_conditional_ppg,next_ppg_lasso,position,RB,mae,918,8,3.1911754809899833
next_conditional_ppg,next_ppg_lasso,position,RB,bias,918,8,0.19455670778402145
next_conditional_ppg,next_ppg_lasso,position,RB,spearman,918,8,0.6310491873572406
next_conditional_ppg,next_ppg_lasso,position,TE,rmse,778,8,2.4716998751168555
next_conditional_ppg,next_ppg_lasso,position,TE,mae,778,8,1.9422652638397049
next_conditional_ppg,next_ppg_lasso,position,TE,bias,778,8,0.39451886470772
next_conditional_ppg,next_ppg_lasso,position,TE,spearman,778,8,0.589687087631625
next_conditional_ppg,next_ppg_lasso,position,WR,rmse,1398,8,3.2952475192331554
next_conditional_ppg,next_ppg_lasso,position,WR,mae,1398,8,2.6361957277037447
next_conditional_ppg,next_ppg_lasso,position,WR,bias,1398,8,0.33800936386960573
next_conditional_ppg,next_ppg_lasso,position,WR,spearman,1398,8,0.6651552087764847
next_conditional_ppg,next_ppg_lasso,history_depth,other_no_history,rmse,45,8,3.0089443041400545
next_conditional_ppg,next_ppg_lasso,history_depth,other_no_history,mae,45,8,2.271818506890829
next_conditional_ppg,next_ppg_lasso,history_depth,other_no_history,bias,45,8,0.46016014013839024
next_conditional_ppg,next_ppg_lasso,history_depth,other_no_history,spearman,45,8,0.33998948222677006
