league,method,model_family,slice_type,slice_value,rows,rmse,mae,bias,spearman
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,all,all_2023_2025,1237.0,3.11694276720687,2.4715118066510837,0.44861630671385466,0.8089642499897713
dk,challenger_standalone,conditional_ppg_ridge,all,all_2023_2025,1237.0,3.125974188545982,2.4235930131907986,0.19438311752040602,0.8075591366144369
dk,current_plus_histgbm_equal4,primary_blend,all,all_2023_2025,1237.0,3.0946410194318257,2.435760850529137,0.4048252142286264,0.811605304959173
dk,current_plus_ridge_equal4,primary_blend,all,all_2023_2025,1237.0,3.0877969257714195,2.41459501501587,0.34126691693026423,0.811282348297993
dk,current_single,conditional_ppg_lasso,all,all_2023_2025,1237.0,3.1214703621215842,2.417786341630628,0.23253709399220127,0.8086679915720589
dk,current_single,conditional_ppg_lightgbm,all,all_2023_2025,1237.0,3.1249931643136515,2.4701458525924784,0.4486303690014878,0.8085271678630445
dk,current_single,conditional_ppg_random_forest,all,all_2023_2025,1237.0,3.116326253903394,2.4881737541111892,0.48951708720696196,0.8108247891152567
dk,current_single,primary_blend,all,all_2023_2025,1237.0,3.0909947236009616,2.4273535888154667,0.39022818340021703,0.8119612156700928
dk,histgbm_replaces_lightgbm_equal3,primary_blend,all,all_2023_2025,1237.0,3.0884591148623857,2.4274284356389453,0.3902234959710059,0.8121674035422907
dk,lasso_ridge_split_linear_third,primary_blend,all,all_2023_2025,1237.0,3.0896422895519082,2.4264842518264778,0.38386918732158454,0.8118166343731826
dk,ridge_replaces_lasso_equal3,primary_blend,all,all_2023_2025,1237.0,3.0885521630802737,2.425816435822664,0.3775101912429519,0.8117518167116708
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,season,2023,413.0,3.236500298252101,2.5209441172166205,0.4775555990733514,0.8018960787622242
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,season,2024,407.0,3.146682680706783,2.5491437383298425,0.3463895021189922,0.809118277426561
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,season,2025,417.0,2.9633096457960972,2.3467834122702165,0.5197299319551899,0.8165703671561827
dk,challenger_standalone,conditional_ppg_ridge,season,2023,413.0,3.167767863716388,2.3958062706904344,0.3169862537745935,0.8069093826511562
dk,challenger_standalone,conditional_ppg_ridge,season,2024,407.0,3.1642522755022475,2.528476494493858,0.13630187841946784,0.8070163650517888
dk,challenger_standalone,conditional_ppg_ridge,season,2025,417.0,3.045684714790667,2.3487449262898523,0.12964443416573557,0.8126802073195165
dk,current_plus_histgbm_equal4,primary_blend,season,2023,413.0,3.192968071658146,2.464437607801606,0.4588679575825242,0.8084441215238842
dk,current_plus_histgbm_equal4,primary_blend,season,2024,407.0,3.137858635745823,2.5341397421734326,0.30718852216079245,0.8105267279824148
dk,current_plus_histgbm_equal4,primary_blend,season,2025,417.0,2.949846927498667,2.3113394844553765,0.44659615107862316,0.8178753166318271
dk,current_plus_ridge_equal4,primary_blend,season,2023,413.0,3.1695762881912124,2.4238736456555445,0.4187256212578347,0.8098965829255508
dk,current_plus_ridge_equal4,primary_blend,season,2024,407.0,3.1363765805905786,2.522802847935519,0.2546666162359113,0.80990179723252
dk,current_plus_ridge_equal4,primary_blend,season,2025,417.0,2.95509007001055,2.2997924671681886,0.34907477663125946,0.8169757048128374
dk,current_single,conditional_ppg_lasso,season,2023,413.0,3.1734002731010844,2.406015118552932,0.34480397894455145,0.8078129868856182
dk,current_single,conditional_ppg_lasso,season,2024,407.0,3.1658262470182135,2.5244427543785153,0.1637065599627334,0.8072360074742809
dk,current_single,conditional_ppg_lasso,season,2025,417.0,3.024504907728032,2.325345946289379,0.18852703131755574,0.8146431848012944
dk,current_single,conditional_ppg_lightgbm,season,2023,413.0,3.2367117280468674,2.51683020638996,0.47391226641700207,0.8040748139153324
dk,current_single,conditional_ppg_lightgbm,season,2024,407.0,3.1520379280150546,2.5441102973520535,0.3527546584567829,0.8086202209677986
dk,current_single,conditional_ppg_lightgbm,season,2025,417.0,2.9826145220244804,2.351718593274718,0.5171675166251988,0.8146767979475191
dk,current_single,conditional_ppg_random_forest,season,2023,413.0,3.2052330289843223,2.510245569801864,0.5391999858951916,0.8095799083526666
dk,current_single,conditional_ppg_random_forest,season,2024,407.0,3.1633841430520855,2.5915747511320197,0.36590336810466134,0.8095209828379314
dk,current_single,conditional_ppg_random_forest,season,2025,417.0,2.97765473052164,2.365392301670597,0.5609601244165483,0.814545213830573
dk,current_single,primary_blend,season,2023,413.0,3.181430382970997,2.448043335337473,0.45263874375224844,0.809785942723782
dk,current_single,primary_blend,season,2024,407.0,3.1381106150498836,2.5306793364902402,0.2941215288413926,0.8107053431938986
dk,current_single,primary_blend,season,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351
dk,histgbm_replaces_lightgbm_equal3,primary_blend,season,2023,413.0,3.181714190865225,2.449999044697078,0.4538531879710315,0.8097551951388408
dk,histgbm_replaces_lightgbm_equal3,primary_blend,season,2024,407.0,3.1366050164867407,2.533714813527906,0.2919998100621289,0.8109156410238617
dk,histgbm_replaces_lightgbm_equal3,primary_blend,season,2025,417.0,2.9439665572591247,2.3013367873372292,0.4230723625630981,0.81783510219621
dk,lasso_ridge_split_linear_third,primary_blend,season,2023,413.0,3.179328648503653,2.4448694489150746,0.4480024562239221,0.809647365658133
dk,lasso_ridge_split_linear_third,primary_blend,season,2024,407.0,3.13664408006018,2.5303713653613107,0.2895540819175149,0.8107999460687403
dk,lasso_ridge_split_linear_third,primary_blend,season,2025,417.0,2.950154707298437,2.3068795956963393,0.4124044579277976,0.8172658941661485
dk,ridge_replaces_lasso_equal3,primary_blend,season,2023,413.0,3.1773692005780476,2.442018611092137,0.44336616869559564,0.8097202740589908
dk,ridge_replaces_lasso_equal3,primary_blend,season,2024,407.0,3.1353900279888736,2.530174455913852,0.2849866349936374,0.8108467580275048
dk,ridge_replaces_lasso_equal3,primary_blend,season,2025,417.0,2.9501604786748263,2.307914247421211,0.4025906917358275,0.8170031764026007
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,position,QB,132.0,3.211830287457207,2.5858107275730426,0.10254377844940017,0.577190487994555
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,position,RB,327.0,3.5612008536729673,2.8412411475117456,0.3800781529487018,0.7652447970530732
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,position,TE,269.0,2.32615906769702,1.8664733687746597,0.296645143360019,0.7291557623701769
dk,challenger_standalone,conditional_ppg_hist_gradient_boosting,position,WR,509.0,3.1509334988938145,2.524098030159183,0.6627102024983237,0.7473822548438722
dk,challenger_standalone,conditional_ppg_ridge,position,QB,132.0,3.3243981178768705,2.646850436097621,0.19918885115590299,0.5561092182225167
dk,challenger_standalone,conditional_ppg_ridge,position,RB,327.0,3.543329478444979,2.7257807524705058,0.11172457711638688,0.765786053009782
dk,challenger_standalone,conditional_ppg_ridge,position,TE,269.0,2.318663103946536,1.7961350566609622,-0.30744426493079124,0.7187615448601374
dk,challenger_standalone,conditional_ppg_ridge,position,WR,509.0,3.1582536822504763,2.503162403639446,0.511449034517657,0.7517055223345568
dk,current_plus_histgbm_equal4,primary_blend,position,QB,132.0,3.2246364955619886,2.588885687754578,0.1897308296010415,0.5766411170187786
dk,current_plus_histgbm_equal4,primary_blend,position,RB,327.0,3.531653758947529,2.7803150585396343,0.31685215400352434,0.7690191357810654
dk,current_plus_histgbm_equal4,primary_blend,position,TE,269.0,2.283699294882547,1.81325946069839,0.22841936170860894,0.731841750899431
dk,current_plus_histgbm_equal4,primary_blend,position,WR,509.0,3.1318404896829564,2.5036806331053256,0.6103513906379275,0.7503303667514266
dk,current_plus_ridge_equal4,primary_blend,position,QB,132.0,3.2457521764408184,2.597986037191085,0.21389209777766716,0.5708598352230332
dk,current_plus_ridge_equal4,primary_blend,position,RB,327.0,3.520524029220015,2.7437388937015017,0.24976376004544562,0.7694888002120936
dk,current_plus_ridge_equal4,primary_blend,position,TE,269.0,2.262422084555532,1.7774948712917469,0.07739700963590633,0.7304096295519605
dk,current_plus_ridge_equal4,primary_blend,position,WR,509.0,3.125972701098181,2.492281214238775,0.5725360986427608,0.7513819349037991
dk,current_single,conditional_ppg_lasso,position,QB,132.0,3.3747641005160123,2.6786961461137246,0.2467739036833506,0.5428717525945327
dk,current_single,conditional_ppg_lasso,position,RB,327.0,3.5220087569051413,2.7082486636198215,0.12003647567472585,0.7675171362323662
dk,current_single,conditional_ppg_lasso,position,TE,269.0,2.293065956247675,1.7754000802146985,-0.23702771299546624,0.7227293162731031
dk,current_single,conditional_ppg_lasso,position,WR,509.0,3.1587728323963957,2.5030135142016503,0.5492785014386952,0.7525362393355094
dk,current_single,conditional_ppg_lightgbm,position,QB,132.0,3.2621066354978883,2.6282619389854878,0.16283499110161453,0.5593997477212886
dk,current_single,conditional_ppg_lightgbm,position,RB,327.0,3.5509493216781185,2.817060116104314,0.3585176949491483,0.7644024203295631
dk,current_single,conditional_ppg_lightgbm,position,TE,269.0,2.3159779822287194,1.8475310219331182,0.283301666927675,0.7312132875179796
dk,current_single,conditional_ppg_lightgbm,position,WR,509.0,3.168266267582331,2.5353150114826963,0.6680120097790002,0.7438407878755512
dk,current_single,conditional_ppg_random_forest,position,QB,132.0,3.2109754767446432,2.6567881162700817,0.24677064516980105,0.5636906283752405
dk,current_single,conditional_ppg_random_forest,position,RB,327.0,3.56482476007808,2.8346155925991976,0.4087762924415211,0.7629629184758849
dk,current_single,conditional_ppg_random_forest,position,TE,269.0,2.3670448720568555,1.9401955508280655,0.5707583495422077,0.7303865109335662
dk,current_single,conditional_ppg_random_forest,position,WR,509.0,3.1308892047360315,2.5114793723677855,0.5614048488356913,0.7479971430398563
dk,current_single,primary_blend,position,QB,132.0,3.2351171353679673,2.598111171123797,0.21879317998492206,0.5745227050972329
dk,current_single,primary_blend,position,RB,327.0,3.5250463947359982,2.762962683945871,0.2957768210217986,0.7695735697513437
dk,current_single,primary_blend,position,TE,269.0,2.273846271976262,1.799497659673013,0.20567743449147216,0.7323790275909163
dk,current_single,primary_blend,position,WR,509.0,3.1288560643480836,2.4992771054500005,0.5928984533511289,0.7503591674887256
dk,histgbm_replaces_lightgbm_equal3,primary_blend,position,QB,132.0,3.2186063330615373,2.5825825729972505,0.1986961091008504,0.5749975215624069
dk,histgbm_replaces_lightgbm_equal3,primary_blend,position,RB,327.0,3.528347354437925,2.770246975463271,0.30296364035498297,0.7694548237570905
dk,histgbm_replaces_lightgbm_equal3,primary_blend,position,TE,269.0,2.276546305295063,1.8055671555042587,0.21012525996892012,0.7324326627855913
dk,histgbm_replaces_lightgbm_equal3,primary_blend,position,WR,509.0,3.123754772728929,2.4955987218911653,0.5911311842575698,0.7514371249422566
dk,lasso_ridge_split_linear_third,primary_blend,position,QB,132.0,3.2273708797762404,2.593023118862754,0.21086233789701428,0.5747314156313753
dk,lasso_ridge_split_linear_third,primary_blend,position,RB,327.0,3.5267765507785542,2.7640643660779385,0.2943915045954087,0.7695001256970946
dk,lasso_ridge_split_linear_third,primary_blend,position,TE,269.0,2.2735629904173384,1.7987437839197171,0.19394134250225137,0.7322507963208889
dk,lasso_ridge_split_linear_third,primary_blend,position,WR,509.0,3.126539744365829,2.4981745427064426,0.5865935421976226,0.7504361514500363
dk,ridge_replaces_lasso_equal3,primary_blend,position,QB,132.0,3.2199282497824013,2.588243374568891,0.20293149580910622,0.5768759163696888
dk,ridge_replaces_lasso_equal3,primary_blend,position,RB,327.0,3.5287587758374284,2.76552582677077,0.29300618816901874,0.7688741352534004
dk,ridge_replaces_lasso_equal3,primary_blend,position,TE,269.0,2.2735632915932205,1.7981778445003405,0.18220525051303055,0.7315039108226278
dk,ridge_replaces_lasso_equal3,primary_blend,position,WR,509.0,3.1244745742766473,2.497151316591175,0.5802886310441162,0.7508370868324655
