year,player,anchor_rosters,anchor_rate
2022,Dameon Pierce,87,0.348
2022,Michael Carter,37,0.148
2022,Rhamondre Stevenson,35,0.14
2022,Cordarrelle Patterson,34,0.136
2022,Elijah Moore,23,0.092
2022,Rachaad White,19,0.076
2022,Drake London,12,0.048
2022,Treylon Burks,11,0.044
2022,James Cook,8,0.032
2022,Devonta Smith,8,0.032
2022,Brian Robinson,3,0.012
2022,Rashod Bateman,3,0.012
2022,Brandon Aiyuk,3,0.012
2022,Gabriel Davis,2,0.008
2022,Rashaad Penny,1,0.004
2023,Zach Charbonnet,109,0.436
2023,Brian Robinson,59,0.236
2023,Kendre Miller,56,0.224
2023,Tyjae Spears,36,0.144
2023,Rashaad Penny,25,0.1
2023,Devon Achane,19,0.076
2023,Tank Bigsby,16,0.064
2023,Zay Flowers,6,0.024
2023,Jahan Dotson,2,0.008
2023,Gabriel Davis,1,0.004
2023,Tyler Allgeier,1,0.004
2024,Zach Charbonnet,64,0.256
2024,Trey Benson,27,0.108
2024,Ray Davis,24,0.096
2024,Blake Corum,22,0.088
2024,Bucky Irving,18,0.072
2024,Tyrone Tracy,3,0.012
2024,Jonathon Brooks,2,0.008
2024,Jerome Ford,1,0.004
2025,Ray Davis,78,0.312
2025,Jacory Croskey Merritt,40,0.16
2025,Tyrone Tracy,31,0.124
2025,Trey Benson,25,0.1
2025,Kaleb Johnson,16,0.064
2025,Braelon Allen,3,0.012
2025,Emeka Egbuka,2,0.008
2025,Matthew Golden,2,0.008
2025,Jaylen Wright,2,0.008
