metric,across_origin_effect,min_origin_effect,max_origin_effect,positive_origins,origins_with_data,trial_median_effect,changed_roster_nonnegative_rate
option_effective_count,0.12421034564167209,0.015886791112652034,0.429527022817443,4,4,0.0,0.6719367588932806
option_active_count_5pct,0.068,-0.028,0.272,2,4,0.0,0.9071146245059288
option_positive_draw_rate,0.022226999999999983,0.012355999999999987,0.03475199999999999,4,4,0.0,0.924901185770751
bench_young_le2,0.5110000000000001,0.14,0.872,4,4,0.0,0.9683794466403162
bench_young_le3,0.34800000000000003,0.132,0.592,4,4,0.0,0.9486166007905138
bench_rookies,0.38899999999999996,0.044,0.836,4,4,0.0,0.9031620553359684
bench_fillin_total,0.07279455566406245,-2.5180693359375,2.03529296875,3,4,0.0,0.5039525691699605
bench_fillin_top2,0.6580600585937499,-0.018162109375,1.51110986328125,3,4,0.0,0.5513833992094862
bench_fillin_second,0.24474316406250002,-0.599953125,0.889740234375,3,4,0.0,0.5474308300395256
bench_positive_fillin_count,-0.043,-0.22,0.268,1,4,0.0,0.6877470355731226
starter_forecast_spend,2.0809837341308595,-1.5501890869140624,5.997079711914062,2,4,0.0,0.6897233201581028
bench_forecast_spend,-1.878126964569092,-6.156528327941895,1.8493822708129883,2,4,0.0,0.3458498023715415
starter_forecast_ev,4.405986816406251,0.56251904296875,10.66204150390625,4,4,0.0,0.7252964426877471
starter_forecast_p10,2.454581298828125,0.13098583984375,5.238662109375,4,4,0.0,0.6027667984189723
forecast_ev,4.167343017578125,-2.18459130859375,15.0384287109375,3,4,0.0,0.6284584980237155
forecast_p10,2.6673048095703127,-1.36933544921875,10.3492890625,2,4,0.0,0.5711462450592886
actual_points,4.524159545898437,-8.61016259765625,14.76303369140625,2,4,0.0,0.5454545454545454
actual_playoff_points,-0.6107987670898439,-8.909035522460938,3.6890419921875,2,4,0.0,0.4841897233201581
actual_waiver_starts,0.26,-0.744,1.12,2,4,0.0,0.567193675889328
predicted_expected_best_surplus,4.268425448567592,2.0780718157577014,6.09047277656824,4,4,0.37635038146522426,1.0
predicted_probability_any_hit,0.022226999999999983,0.012355999999999987,0.03475199999999999,4,4,0.0,0.924901185770751
actual_best_keeper_surplus,4.4128601811066686,2.8105939369322,6.831190906808618,3,3,0.0,0.9698492462311558
actual_any_keeper_hit_20,0.0013333333333333333,0.0,0.004,1,3,0.0,1.0
actual_best_future_ppg,0.2107610028584798,0.07067053985595703,0.38293142318725587,3,3,0.0,0.9824120603015075
