policy,seasons,accepted_option_additions,candidate_attempts,reoptimization_refine_swaps,bench_young_le2,bench_young_le3,bench_rookies,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,construction_mean_delta,construction_p10_delta,bench_fillin_total,bench_fillin_top2,bench_fillin_second,bench_positive_fillin_count,option_positive_draw_rate,option_effective_count,option_active_count_5pct,option_top_winner_share,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_playoff_points,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,actual_best_keeper_surplus,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg
control,4,0.0,0.0,2.535,3.3360000000000003,3.7680000000000002,1.9940000000000002,0.0,0.0,0.0,295.67757247924806,2.322427520751953,249.9933395690918,45.68423238754272,103.84193839836121,1261.3624877929688,1566.8475479736328,1413.6363894042968,1723.4854207763672,0.5279472855627536,0.0,0.0,50.86323828125,33.06558666992187,13.540222290039063,4.376,0.8257110000000001,4.065872396874278,4.618,0.33488537645701366,1635.065998413086,1482.2837071533204,1788.5245809326173,1563.790537109375,1502.5829772949219,37.887,401.3817376098633,41.203334132370465,0.8257110000000001,0.7436389999999999,0.674273,63.13943091922628,0.9986666666666667,0.9946666666666667,14.333376865386962
soft_portfolio,4,0.976,11.772,4.61,3.8470000000000004,4.116,2.383,1.1260000000000001,1.184,2.171,295.88042883300784,2.1195711669921873,252.07432330322266,43.80610542297363,104.49028210830689,1261.5527490844727,1571.253534790039,1416.090970703125,1728.4250489501953,0.5367117547094822,8.741887084960938,13.119319702148438,50.936032836914066,33.723646728515625,13.784965454101563,4.333,0.8479380000000001,4.19008274251595,4.686,0.3185596697854988,1639.233341430664,1484.9510119628908,1793.6439522705077,1568.3146966552736,1508.0543349609375,38.147,400.77093884277343,45.471759580938055,0.8479380000000001,0.773602,0.710681,67.55229110033295,0.9973333333333333,0.996,14.544137868245443
