team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
BUF,625,14,15,69,98,91.0
TEN,617,14,29,63,106,90.3
CIN,583,10,25,76,111,89.6
NO,694,15,14,119,148,88.3
DET,714,24,25,98,147,88.0
KC,552,17,19,80,116,88.0
NE,656,19,28,94,141,87.8
HST,506,15,13,81,109,87.7
CLV,651,21,25,100,146,87.2
GB,635,21,20,103,144,87.0
ATL,629,20,37,87,144,87.0
BLT,586,22,28,85,135,86.6
PHI,646,10,23,130,163,86.6
NYJ,602,26,28,86,140,86.2
DAL,616,27,17,103,147,85.9
OAK,561,13,28,111,152,85.3
MIN,598,28,17,106,151,85.0
SD,618,19,24,128,171,84.6
CAR,599,19,24,125,168,84.4
IND,575,26,32,98,156,84.2
TB,648,21,23,143,187,84.0
PIT,592,30,19,114,163,83.7
SF,520,26,24,103,152,82.8
JAX,537,34,23,99,156,82.3
SEA,580,28,34,118,180,82.1
WAS,641,27,43,135,205,81.9
MIA,544,29,32,107,168,81.9
STR,615,38,27,120,185,81.9
ARZ,628,31,19,154,204,81.3
CHI,547,27,22,133,182,80.9
DEN,505,24,22,125,171,80.7
NYG,627,29,29,164,222,80.0
