team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
SEA,643,15,15,83,113,90.0
CIN,593,12,35,66,113,89.5
NO,673,10,23,106,139,88.9
BUF,486,14,19,66,99,88.4
CLV,570,7,20,98,125,88.4
MIA,611,10,24,101,135,88.1
WAS,574,14,32,82,128,87.6
TEN,546,12,26,85,123,87.6
NE,625,13,31,99,143,87.5
DEN,556,13,17,97,127,87.4
BLT,613,20,32,82,134,87.4
CAR,556,27,15,72,114,87.3
DAL,572,11,22,102,135,87.2
PHI,659,19,18,115,152,87.0
NYG,580,18,22,94,134,86.9
MIN,495,17,32,72,121,86.1
OAK,518,17,19,92,128,86.0
JAX,523,19,39,77,135,85.3
CHI,614,23,33,101,157,85.3
SD,504,13,32,91,136,85.2
ARZ,619,17,41,109,167,85.1
GB,604,16,37,111,163,85.1
NYJ,577,27,22,98,147,84.9
HST,561,17,33,103,152,84.8
KC,624,41,22,95,158,84.1
STR,622,30,23,125,178,83.3
SF,578,32,31,101,164,83.0
DET,653,41,25,118,184,82.8
PIT,508,26,12,113,151,82.6
IND,575,10,37,145,192,82.4
TB,551,22,28,124,174,82.2
ATL,616,33,32,133,198,81.2
