team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
BLT,542,13,19,82,114,88.3
NYJ,560,19,24,75,118,87.7
MIA,619,20,22,96,138,87.2
HST,607,20,22,95,137,87.1
NYG,564,13,26,97,136,86.8
CIN,625,21,30,94,145,86.7
SEA,597,22,26,89,137,86.6
NO,687,21,25,119,165,86.5
DAL,637,20,25,107,152,86.4
CLV,530,18,19,90,127,86.2
ATL,621,19,25,109,153,86.1
DET,679,16,24,134,174,86.0
GB,624,25,19,108,152,85.8
CAR,551,25,25,81,131,85.8
IND,696,12,39,135,186,85.8
STR,637,17,26,127,170,85.3
MIN,563,22,23,101,145,85.1
DEN,641,25,18,126,169,84.9
BUF,586,20,33,105,158,84.7
NE,538,15,19,119,153,84.3
KC,523,15,37,99,151,84.1
TEN,513,18,12,118,148,83.8
ARZ,621,26,28,127,181,83.3
PHI,671,28,27,144,199,83.1
SD,592,23,21,140,184,82.5
WAS,665,31,35,137,203,82.4
SF,563,27,32,117,176,81.9
OAK,565,25,27,129,181,81.6
TB,567,17,24,157,198,81.0
JAX,535,25,51,103,179,80.8
CHI,551,31,25,133,189,80.0
PIT,532,27,23,135,185,80.0
