team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
TEN,477,7,12,54,73,91.6
NYJ,561,22,21,57,100,89.1
PHI,650,14,28,91,133,88.7
BLT,479,16,14,64,94,88.5
DEN,653,8,14,121,143,88.4
STR,573,24,21,73,118,87.6
CAR,438,16,22,55,93,87.6
TB,618,19,34,81,134,87.6
MIA,526,17,31,67,115,87.5
NO,648,8,41,108,157,87.3
ATL,470,15,24,66,105,87.2
KC,615,19,19,101,139,87.2
NYG,525,21,22,71,114,87.1
CLV,527,17,36,69,122,86.8
CIN,603,31,23,82,136,86.2
GB,600,24,28,94,146,85.8
NE,618,31,31,87,149,85.4
SD,515,21,19,98,138,84.6
WAS,573,27,27,98,152,84.4
CHI,563,23,34,99,156,84.1
MIN,511,28,28,81,137,83.9
HST,598,27,41,99,167,83.8
IND,602,10,41,135,186,83.7
JAX,616,29,47,107,183,82.8
OAK,472,29,25,79,133,82.8
ARZ,656,23,61,125,209,82.3
BUF,537,30,40,96,166,81.8
DAL,588,26,41,123,190,81.6
DET,573,31,32,121,184,81.2
SEA,530,21,34,128,183,80.8
SF,594,37,26,133,196,80.4
PIT,568,40,30,116,186,80.1
