team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
DEN,610,13,21,62,96,91.1
CLV,617,19,33,63,115,89.1
CIN,602,26,8,73,107,89.0
BUF,570,17,31,63,111,88.8
TEN,616,17,27,92,136,87.6
DET,784,13,29,141,183,87.5
MIN,555,13,23,92,128,87.3
HST,584,21,30,82,133,86.8
SEA,488,11,15,96,122,86.4
NO,697,19,31,122,172,86.3
MIA,552,20,21,94,135,86.0
OAK,661,17,36,116,169,85.9
NYJ,551,21,26,88,135,85.8
ATL,663,22,38,107,167,85.7
WAS,518,16,21,96,133,85.6
NE,669,24,33,112,169,85.6
GB,641,33,24,99,156,85.3
TB,609,14,38,114,166,85.2
SF,515,23,22,85,130,85.1
STR,602,26,43,89,158,84.7
BLT,608,26,28,108,162,84.5
KC,536,20,33,94,147,84.4
NYG,568,14,29,124,167,84.1
DAL,700,26,30,140,196,84.1
PHI,708,23,52,127,202,84.1
PIT,618,29,29,117,175,83.5
CHI,557,29,27,113,169,82.2
CAR,558,21,33,128,182,81.8
JAX,654,33,46,129,208,81.6
ARZ,676,46,35,133,214,80.8
IND,696,26,56,162,244,80.6
SD,586,37,18,138,193,80.4
