team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
MIA,585,17,26,55,98,90.2
NYJ,436,17,8,47,72,89.8
NE,619,13,30,75,118,89.4
CIN,520,18,22,58,98,88.8
MIN,588,22,31,64,117,88.2
BLT,560,21,22,68,111,88.2
SEA,672,20,29,90,139,88.2
NO,568,16,19,84,119,88.1
PHI,609,23,20,85,128,87.6
IND,618,8,32,107,147,87.5
CLV,477,14,24,69,107,87.3
TEN,522,8,20,98,126,87.2
ATL,603,17,37,85,139,87.1
HST,632,19,33,104,156,86.2
DAL,595,16,29,104,149,86.1
PIT,596,26,31,83,139,86.1
SF,584,27,26,83,136,86.0
STR,601,28,36,76,140,86.0
NYG,582,21,26,97,144,85.8
CHI,611,16,27,118,161,85.5
DET,652,26,38,103,167,85.2
SD,554,21,24,100,145,85.0
DEN,602,25,25,109,159,84.7
CAR,502,26,18,86,130,84.5
KC,607,29,38,100,167,83.9
GB,635,34,30,108,172,83.8
TB,594,21,39,122,182,82.9
WAS,602,27,43,110,180,82.8
BUF,514,32,30,86,148,82.5
JAX,595,25,46,117,188,82.1
ARZ,620,25,60,113,198,82.0
OAK,552,28,46,115,189,80.3
