league,method,match_rank,player,season_template,template_distance,template_sample_prob,historical_pred_fp_per_game,played_games
beta,production,1,Zay Flowers,2025,0.3051700953775981,0.04771806215786429,11.285747111762042,15.0
beta,production,2,Gabriel Davis,2022,0.40116923640060614,0.031165552897676613,11.635011971204257,14.0
beta,production,3,Terrelle Pryor,2017,0.4197124040979917,0.022250193537416238,11.688733230279823,8.0
beta,production,4,Keenan Allen,2015,0.4344431269692065,0.0190819620952571,13.1525,8.0
beta,production,5,Kenny Golladay,2019,0.4485045529397557,0.02318683901630232,11.908842647033422,15.0
beta,production,6,Chris Godwin,2019,0.46034476371928695,0.022493124886894388,11.510304758180384,14.0
beta,production,7,Stefon Diggs,2017,0.4986754648770809,0.018175870551136272,11.823189665647813,13.0
beta,production,8,Cooper Kupp,2019,0.5074800212152871,0.01995282596395763,11.442291050608773,15.0
beta,production,9,Diontae Johnson,2021,0.5077078095733143,0.022383421369820397,12.792722752163899,14.0
beta,production,10,Jeremy Maclin,2011,0.5484521508131335,0.0113431920201068,12.40625,12.0
beta,production,11,Jerry Jeudy,2022,0.5511448909129222,0.0212702354968334,11.369407888708215,13.0
beta,production,12,Percy Harvin,2011,0.5813398655177784,0.010457608002428375,11.84375,15.0
beta,one_year_w025_wr,1,Zay Flowers,2025,0.3935696332297108,0.05,11.285747111762042,15.0
beta,one_year_w025_wr,2,Keenan Allen,2015,0.46930576816290337,0.02377805647066131,13.1525,8.0
beta,one_year_w025_wr,3,Gabriel Davis,2022,0.5931525315201607,0.026042911357594182,11.635011971204257,14.0
beta,one_year_w025_wr,4,Terrelle Pryor,2017,0.61597218500566,0.018442665871774604,11.688733230279823,8.0
beta,one_year_w025_wr,5,Kenny Golladay,2019,0.6406860510191411,0.019488689405962725,11.908842647033422,15.0
beta,one_year_w025_wr,6,Chris Godwin,2019,0.6553671708895814,0.01880791767922306,11.510304758180384,14.0
beta,one_year_w025_wr,7,Stefon Diggs,2017,0.6671574680069714,0.01628696287388372,11.823189665647813,13.0
beta,one_year_w025_wr,8,Cooper Kupp,2019,0.6703054586886119,0.018143918136734376,11.442291050608773,15.0
beta,one_year_w025_wr,9,Jerry Jeudy,2022,0.6714227596758876,0.0215191599553413,11.369407888708215,13.0
beta,one_year_w025_wr,10,Diontae Johnson,2021,0.6802165462036225,0.019888633166120162,12.792722752163899,14.0
beta,one_year_w025_wr,11,Percy Harvin,2011,0.6808536146794149,0.011145160057917523,11.84375,15.0
beta,one_year_w025_wr,12,Jeremy Maclin,2011,0.7039182809271509,0.010551542581026889,12.40625,12.0
beta,one_year_w050_wr,1,Zay Flowers,2025,0.48196917108182347,0.05,11.285747111762042,15.0
beta,one_year_w050_wr,2,Keenan Allen,2015,0.5041684093566002,0.02684944310338459,13.1525,8.0
beta,one_year_w050_wr,3,Jordan Matthews,2016,0.7160201065205958,0.0168248737983677,11.6875,14.0
beta,one_year_w050_wr,4,Desean Jackson,2011,0.7296418442090926,0.012204884342668509,12.725,14.0
beta,one_year_w050_wr,5,Brandin Cooks,2018,0.7300149762863004,0.018270592596974056,11.105290523009016,14.0
beta,one_year_w050_wr,6,Juju Smith Schuster,2020,0.7308623548406236,0.02046714908386079,12.182249060212655,15.0
beta,one_year_w050_wr,7,Terry Mclaurin,2022,0.7375901965191275,0.022613039640663923,12.000697580472266,15.0
beta,one_year_w050_wr,8,Jarvis Landry,2017,0.7397236755333894,0.016856061061789464,11.811151361356327,15.0
beta,one_year_w050_wr,9,Percy Harvin,2011,0.7803673638410513,0.01084665540387582,11.84375,15.0
beta,one_year_w050_wr,10,Gabriel Davis,2022,0.7851358266397153,0.020253293285563353,11.635011971204257,14.0
beta,one_year_w050_wr,11,Jerry Jeudy,2022,0.791700628438853,0.01995193884932386,11.369407888708215,13.0
beta,one_year_w050_wr,12,Terrelle Pryor,2017,0.8122319659133281,0.014267722841086924,11.688733230279823,8.0
beta,three_year_w025_wr,1,Zay Flowers,2025,0.36852977016864785,0.047986802777613934,11.285747111762042,15.0
beta,three_year_w025_wr,2,Keenan Allen,2015,0.49691052110884654,0.019336008433489895,13.1525,8.0
beta,three_year_w025_wr,3,Gabriel Davis,2022,0.5025517248798688,0.02856063775039498,11.635011971204257,14.0
beta,three_year_w025_wr,4,Terrelle Pryor,2017,0.5200031895204859,0.020475416869896165,11.688733230279823,8.0
beta,three_year_w025_wr,5,Kenny Golladay,2019,0.5413964753812825,0.02178408132147883,11.908842647033422,15.0
beta,three_year_w025_wr,6,Chris Godwin,2019,0.5598404597457194,0.020807766930603315,11.510304758180384,14.0
beta,three_year_w025_wr,7,Cooper Kupp,2019,0.5881077927134177,0.01940783509511041,11.442291050608773,15.0
beta,three_year_w025_wr,8,Stefon Diggs,2017,0.5913243289021951,0.01715477499983866,11.823189665647813,13.0
beta,three_year_w025_wr,9,Jerry Jeudy,2022,0.5992954402286867,0.022457291156452654,11.369407888708215,13.0
beta,three_year_w025_wr,10,Diontae Johnson,2021,0.6036555154438813,0.02097286043557725,12.792722752163899,14.0
beta,three_year_w025_wr,11,Jeremy Maclin,2011,0.6268988594758824,0.011126235227347969,12.40625,12.0
beta,three_year_w025_wr,12,Percy Harvin,2011,0.6345572163823622,0.01092312161599623,11.84375,15.0
beta,three_year_w050_wr,1,Zay Flowers,2025,0.4318894449596976,0.04754940020658208,11.285747111762042,15.0
beta,three_year_w050_wr,2,Keenan Allen,2015,0.5593779152484866,0.019306737912875294,13.1525,8.0
beta,three_year_w050_wr,3,Gabriel Davis,2022,0.6039342133591314,0.025919833273511887,11.635011971204257,14.0
beta,three_year_w050_wr,4,Terrelle Pryor,2017,0.6202939749429799,0.01866003833473271,11.688733230279823,8.0
beta,three_year_w050_wr,5,Kenny Golladay,2019,0.6342883978228093,0.020248371267376303,11.908842647033422,15.0
beta,three_year_w050_wr,6,Jerry Jeudy,2022,0.6474459895444513,0.023330050572373848,11.369407888708215,13.0
beta,three_year_w050_wr,7,Chris Godwin,2019,0.659336155772152,0.019068671102694806,11.510304758180384,14.0
