population,pos,rows,prior_year_available,prior_3year_available,prior_year_coverage,prior_3year_coverage
historical_templates,QB,706,514,571,0.7280453257790368,0.8087818696883853
historical_templates,RB,1549,1183,1198,0.763718528082634,0.7734021949644933
historical_templates,TE,833,672,685,0.8067226890756303,0.8223289315726291
historical_templates,WR,2210,1743,1760,0.7886877828054298,0.7963800904977375
rolling_targets,WR,648,563,565,0.8688271604938271,0.8719135802469136
