league,player,season,projection_trajectory_change_1year,projection_trajectory_change_3year,projection_trajectory_prior_year_available,projection_trajectory_prior_3year_count,projection_trajectory_prior_3year_std,match_projection_trajectory_1year_pct,match_projection_trajectory_3year_pct,match_projection_trajectory_prior_year_available,match_projection_trajectory_history_depth
beta,Ladd McConkey,2026,-1.737520702932981,-0.24050893822709973,1,2,1.8712647058823526,0.19718309859154928,0.5944700460829493,1,0.6666666666666666
beta,Terrelle Pryor,2017,6.4238229866476155,8.302156319980948,1,3,1.7396275942473054,0.9822222222222222,0.9956331877729258,1,1.0
