league,method,slice_value,rows,baseline_rmse,baseline_mae,baseline_bias,baseline_spearman,challenger_rmse,challenger_mae,challenger_bias,challenger_spearman,rmse_delta,mae_delta,bias_delta,spearman_delta
beta,current_plus_both_equal5,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.958565935800961,2.274195163683057,0.4741184882595478,0.7903559855181101,0.001395202575468879,0.005760100514728972,0.034217366480531475,0.0005738957420614588
beta,current_plus_both_equal5,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.9752700911046217,2.385551309199691,0.2553934637836638,0.7989002695402342,-0.002250601807853414,0.0068426514611528155,0.02396432170597479,0.0010836642213473135
beta,current_plus_both_equal5,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.733865450752821,2.123372847710746,0.3291016965849739,0.8076932949974481,-0.007298746210534723,-0.00033420540339124116,0.05864931803854162,-0.0003602124736863388
beta,current_plus_catboost_equal4,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.9620057670681885,2.274727436619989,0.4592560720697342,0.7902494321783362,0.004835033842696568,0.006292373451660893,0.019354950290717876,0.00046734240228751833
beta,current_plus_catboost_equal4,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.981516730636553,2.3846031170180075,0.253136295775084,0.7975756117367753,0.003996037724077972,0.005894459279469189,0.02170715369739501,-0.00024099358211160382
beta,current_plus_catboost_equal4,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.7404355697659595,2.1302270618195966,0.3223928984184855,0.8079672465016144,-0.0007286271973963032,0.006520008705459546,0.051940519872053226,-8.626096952002449e-05
beta,current_plus_extra_trees_equal4,2023,404.0,2.957170733225492,2.268435063168328,0.4399011217790163,0.7897820897760487,2.954153319099594,2.2693982318990886,0.4633178795889628,0.7899411463413132,-0.0030174141258978437,0.0009631687307605219,0.02341675780994651,0.00015905656526449263
beta,current_plus_extra_trees_equal4,2024,406.0,2.977520692912475,2.3787086577385383,0.231429142077689,0.7978166053188869,2.970591121343836,2.382081902730988,0.2396773905127624,0.7990355594641205,-0.006929571568639048,0.003373244992449731,0.008248248435073408,0.0012189541452336528
beta,current_plus_extra_trees_equal4,2025,416.0,2.741164196963356,2.123707053114137,0.2704523785464323,0.8080535074711345,2.7321696507500723,2.1159464862137494,0.291823506222556,0.8071973986026232,-0.008994546213283439,-0.007760566900387733,0.021371127676123702,-0.000856108868511285
dk,current_plus_both_equal5,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.1742909450403545,2.4489929253060163,0.4809414075374201,0.8103948471136555,-0.007139437930642423,0.0009495899685432185,0.02830266378517171,0.000608904389873488
dk,current_plus_both_equal5,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.1368316706368744,2.543338849826583,0.314013324562694,0.8101728794119816,-0.001278944413009686,0.012659513336343409,0.019891795721301397,-0.0005324637819170697
dk,current_plus_both_equal5,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351,2.949645070573178,2.312905136783342,0.4722837337285334,0.815881805967451,-0.0009458891446332274,0.006890743692627765,0.05006550960876577,-0.0019902008342841393
dk,current_plus_catboost_equal4,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.178437555678714,2.4523541413193857,0.4687166803064957,0.810657095905993,-0.002992827292283007,0.00431080598191258,0.01607793655424733,0.0008711531822109819
dk,current_plus_catboost_equal4,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.1404298235515595,2.5384795843184578,0.3123140803397151,0.8096217264450064,0.0023192085016754405,0.007800247828217977,0.018192551498322496,-0.0010836167488922355
dk,current_plus_catboost_equal4,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351,2.9492448160030595,2.313886334903042,0.4592323928139593,0.8171215028283876,-0.001346143714751502,0.007871941812327421,0.03701416869419166,-0.0007505039733475272
dk,current_plus_extra_trees_equal4,2023,413.0,3.181430382970997,2.448043335337473,0.4526387437522484,0.809785942723782,3.175803738637156,2.444978369672401,0.4719391369294657,0.8099647216179413,-0.005626644333840858,-0.0030649656650720836,0.019300393177217323,0.0001787788941592927
dk,current_plus_extra_trees_equal4,2024,407.0,3.138110615049884,2.53067933649024,0.2941215288413926,0.8107053431938986,3.13394933226003,2.5389282446970385,0.3007937219946967,0.8105690901352132,-0.004161282789854059,0.008248908206798689,0.006672193153304085,-0.000136253058685476
dk,current_plus_extra_trees_equal4,2025,417.0,2.950590959717811,2.3060143930907144,0.4222182241197676,0.8178720068017351,2.95016308233186,2.3050916250270315,0.4477859424365331,0.8162256145682515,-0.00042787738595118086,-0.000922768063682966,0.025567718316765464,-0.0016463922334836179
