league,model_family,rows,rmse,mae,bias,spearman
beta,conditional_ppg_catboost,1226.0,2.915998245763673,2.293924979171435,0.4381301115000379,0.7962082622885895
beta,conditional_ppg_extra_trees,1226.0,2.88846586019117,2.270774454800335,0.3841653074144232,0.795998022428811
dk,conditional_ppg_catboost,1237.0,3.102152542275655,2.46213379270656,0.4855538571340875,0.8098891172620476
dk,conditional_ppg_extra_trees,1237.0,3.099707681325836,2.4545370415129377,0.4592609514961807,0.8096947289583849
