"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","109.0","1051.6","6.8","0.2","254.4"
"Brock Bowers","LV","96.5","1026.0","7.5","0.2","243.8"
"Colston Loveland","CHI","78.7","929.3","6.7","0.2","211.3"
"Tyler Warren","IND","83.0","873.2","5.4","0.3","202.3"
"Kyle Pitts Sr.","ATL","79.5","881.3","4.7","0.1","195.7"
"Harold Fannin Jr.","CLE","78.3","815.4","5.4","0.8","190.6"
"Sam LaPorta","DET","70.4","813.4","5.5","0.2","184.1"
"Travis Kelce","KC","74.9","784.9","4.8","0.3","181.9"
"Dallas Goedert","PHI","65.5","689.2","7.6","0.2","179.3"
"George Kittle","SF","66.2","753.6","5.7","0.2","175.7"
"Tucker Kraft","GB","60.2","771.4","6.4","0.2","175.4"
"Jake Ferguson","DAL","74.1","606.7","5.9","1.4","167.6"
"Isaiah Likely","NYG","62.9","745.7","5.0","1.3","165.2"
"Mark Andrews","BAL","58.0","603.7","7.4","0.3","162.1"
"Dalton Kincaid","BUF","57.1","707.2","5.5","0.2","160.3"
"Juwan Johnson","NO","64.8","726.7","3.3","1.3","154.4"
"Brenton Strange","JAC","60.0","661.3","4.3","0.2","151.7"
"Hunter Henry","NE","55.6","645.4","5.1","0.1","150.3"
"Dalton Schultz","HOU","65.8","628.5","3.4","0.2","148.5"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","140.6"
"Pat Freiermuth","PIT","53.0","559.3","4.3","0.2","134.0"
"Greg Dulcich","MIA","54.6","620.7","3.2","1.2","133.6"
"Kenyon Sadiq","NYJ","51.1","558.7","4.1","0.7","130.1"
"Cade Otton","TB","54.9","557.3","3.1","0.1","128.9"
"Chig Okonkwo","WAS","52.8","569.9","2.8","0.1","126.2"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","124.4"
"Oronde Gadsden II","LAC","44.2","549.9","3.5","0.7","118.8"
"Terrance Ferguson","LAR","37.3","516.7","4.8","0.2","117.5"
"Evan Engram","DEN","53.4","474.8","2.7","0.1","117.0"
"Mike Gesicki","CIN","44.0","461.2","3.9","0.1","113.1"
"Gunnar Helm","TEN","48.9","443.0","3.1","0.2","111.4"
"Mason Taylor","NYJ","44.5","391.5","2.4","0.1","97.8"
"Darren Waller","CAR","34.5","351.5","4.5","0.0","96.7"
"David Njoku","LAC","34.7","323.9","3.9","0.1","90.4"
"Michael Mayer","LV","40.0","377.7","2.1","0.1","90.1"
"Colby Parkinson","LAR","33.0","338.4","3.9","0.6","89.0"
"Dawson Knox","BUF","28.6","331.7","2.9","0.1","79.2"
"Theo Johnson","NYG","27.5","313.9","2.9","0.1","76.0"
"Darnell Washington","PIT","30.7","328.7","2.0","0.6","74.0"
"Tyler Higbee","LAR","26.1","306.5","2.4","0.0","71.2"
"Cole Kmet","CHI","26.2","274.4","2.2","0.1","66.9"
"Noah Fant","NO","30.4","285.3","1.7","1.6","65.8"
"Will Kacmarek","MIA","26.6","251.3","1.9","0.6","61.9"
"Erick All Jr.","CIN","26.1","228.4","1.6","0.1","58.5"
"Tommy Tremble","CAR","24.4","226.0","2.0","0.1","58.5"
"Ja'Tavion Sanders","CAR","26.7","236.6","1.4","0.1","58.3"
"Austin Hooper","ATL","22.5","236.3","1.6","0.1","55.7"
"Charlie Kolar","LAC","20.2","230.0","2.0","0.1","55.4"
"Eli Stowers","PHI","22.7","232.4","1.5","0.6","53.9"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","52.1"
"Daniel Bellinger","TEN","19.3","221.8","1.7","0.0","51.9"
