"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Quentin Johnston","LAC","53.6","755.9","6.9","1.7","6.3","0.0","0.7","169.8"
"Jordan Addison","MIN","55.2","757.8","5.4","2.7","37.1","0.4","0.2","168.8"
"Xavier Worthy","KC","55.2","721.6","4.2","15.5","99.3","0.9","0.2","167.3"
"John Metchie III","CAR","65.0","619.0","6.0","3.0","-4.0","0.0","0.0","162.9"
"Makai Lemon","PHI","56.8","798.2","4.6","1.5","7.0","0.0","1.3","162.4"
"Romeo Doubs","NE","56.7","735.1","5.2","0.0","0.0","0.0","0.3","160.9"
"Matthew Golden","GB","55.4","746.0","3.9","8.2","40.9","0.1","0.4","157.1"
"Rashid Shaheed","SEA","49.9","754.3","3.8","13.4","88.9","0.3","0.8","156.7"
"Jalen Coker","CAR","57.6","699.0","4.6","0.0","0.0","0.0","0.8","153.4"
"Calvin Ridley","TEN","48.1","785.3","3.3","4.5","27.5","0.6","0.2","152.4"
"Theo Wease Jr.","MIA","48.0","686.0","5.0","2.0","8.0","0.0","1.0","145.4"
"KC Concepcion","CLE","54.6","690.8","3.1","4.2","22.4","0.1","1.3","142.7"
"Tre Tucker","LV","50.1","633.7","3.8","11.2","52.9","0.2","0.1","142.0"
"Jerry Jeudy","CLE","53.2","726.3","2.9","0.5","2.0","0.0","0.7","141.7"
"Tank Dell","HOU","50.0","632.0","3.8","10.2","48.8","0.1","0.2","141.3"
"Jayden Higgins","HOU","49.3","608.3","4.7","0.0","0.0","0.0","0.2","137.9"
"Jauan Jennings","MIN","48.7","557.1","5.2","0.0","0.0","0.0","0.7","134.0"
"Jalen McMillan","TB","46.7","607.1","3.9","4.7","26.8","0.1","0.2","133.9"
"Rashod Bateman","BAL","38.4","595.5","6.0","0.0","0.0","0.0","0.2","133.5"
"Jalen Nailor","LV","43.6","589.9","4.5","2.0","8.5","0.0","0.2","130.2"
"De'Zhaun Stribling","SF","45.1","635.2","3.7","1.5","6.5","0.0","1.2","128.9"
"Cooper Kupp","SEA","47.4","583.9","3.4","0.5","1.5","0.0","0.7","125.1"
"Antonio Williams","WAS","43.7","597.5","3.6","3.0","18.7","0.1","1.2","125.0"
"Adonai Mitchell","NYJ","41.5","610.8","3.5","2.2","11.2","0.1","0.5","124.5"
"Denzel Boston","CLE","47.8","596.6","2.9","1.0","5.0","0.0","0.8","123.7"
"Omar Cooper Jr.","NYJ","46.3","550.9","3.3","2.1","12.5","0.1","1.2","120.5"
"Germie Bernard","PIT","44.6","550.8","3.1","2.1","10.8","0.0","0.8","118.1"
"Travis Hunter","JAC","41.6","496.2","3.3","2.0","10.8","0.1","0.4","111.7"
"Xavier Legette","CAR","41.7","500.5","3.2","2.1","10.8","0.1","0.4","111.6"
"Malik Washington","MIA","43.5","390.5","2.3","13.4","80.2","0.7","0.8","107.1"
"Bub Means","NO","38.0","518.0","3.0","1.0","6.0","0.0","1.0","106.4"
"Ja'Kobi Lane","BAL","31.9","506.2","3.9","1.5","8.5","0.0","0.6","105.7"
"Kayshon Boutte","NE","32.0","486.2","4.2","0.0","0.0","0.0","0.1","105.5"
"Darnell Mooney","NYG","35.9","526.5","2.7","1.1","6.0","0.0","0.1","105.4"
"Darius Slayton","NYG","34.8","512.7","2.5","1.6","8.6","0.0","0.7","100.7"
"Troy Franklin","DEN","37.0","396.4","3.9","3.0","10.8","0.0","0.6","100.1"
"Zachariah Branch","ATL","38.3","471.3","2.3","0.0","0.0","0.0","0.4","98.6"
"Christian Kirk","SF","36.1","428.0","2.7","0.0","0.0","0.0","0.1","95.0"
"Devaughn Vele","NO","35.1","423.3","2.8","0.0","0.0","0.0","0.1","94.2"
"Tory Horton","SEA","29.8","401.0","4.2","0.5","3.0","0.0","0.6","93.9"
"Tyquan Thornton","KC","25.4","466.3","3.5","0.0","0.0","0.0","0.1","92.7"
"Hollywood Brown","PHI","31.3","389.1","3.3","0.0","0.0","0.0","0.1","89.6"
"Andrei Iosivas","CIN","31.6","394.2","2.9","2.5","11.1","0.0","0.1","89.6"
"Jalen Tolbert","MIA","35.4","441.7","1.8","0.0","0.0","0.0","0.3","89.5"
"Tre' Harris","LAC","34.5","408.4","2.5","0.0","0.0","0.0","0.4","89.4"
"Ryan Flournoy","DAL","34.0","383.8","2.7","2.2","12.4","0.1","0.4","89.4"
"Chris Bell","MIA","34.2","448.9","1.7","0.0","0.0","0.0","0.4","88.4"
"Caleb Douglas","MIA","33.1","419.4","2.3","1.0","5.5","0.0","0.7","87.8"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","85.1"
"Dyami Brown","WAS","29.6","392.1","2.7","0.0","0.0","0.0","0.3","84.2"
"Ted Hurst III","TB","28.9","390.0","2.6","1.0","6.5","0.0","0.6","82.7"
"Jack Bech","LV","34.5","397.8","1.5","0.0","0.0","0.0","0.4","82.5"
"Treylon Burks","WAS","28.3","393.6","2.3","0.0","0.0","0.0","0.2","80.9"
"Ashton Dulin","IND","24.1","400.4","1.6","5.1","46.2","0.1","0.1","78.5"
"Elic Ayomanor","TEN","23.9","323.5","3.2","0.0","0.0","0.0","0.0","75.5"
"Jahan Dotson","ATL","28.7","358.2","1.9","0.0","0.0","0.0","0.2","75.2"
"Chimere Dike","TEN","26.1","252.9","3.3","10.1","33.6","0.3","0.6","74.8"
"Jaylin Noel","HOU","28.8","322.6","1.8","4.2","22.2","0.1","0.3","74.2"
"Pat Bryant","DEN","28.4","319.6","2.1","0.0","0.0","0.0","0.3","72.5"
"Olamide Zaccheaus","ATL","30.1","277.1","1.8","1.5","9.5","0.0","0.1","69.5"
"Joshua Palmer","BUF","25.9","337.7","1.6","0.0","0.0","0.0","0.1","69.3"
"Savion Williams","GB","23.9","271.5","2.0","9.0","47.0","0.3","0.3","69.0"
"Marvin Mims Jr.","DEN","24.2","272.4","1.6","8.2","45.1","0.3","0.4","66.7"
"Dontayvion Wicks","PHI","24.3","310.0","1.8","0.0","0.0","0.0","0.3","65.5"
"Luke McCaffrey","WAS","20.2","289.4","2.6","0.0","0.0","0.0","0.1","64.5"
"Xavier Hutchinson","HOU","23.2","280.5","1.9","2.1","14.2","0.0","0.1","64.0"
"KaVontae Turpin","DAL","18.2","229.9","1.7","17.7","102.5","0.4","0.4","63.6"
"DeMario Douglas","NE","22.7","271.1","1.5","4.1","21.4","0.2","0.3","61.3"
"Jaylin Lane","WAS","22.7","279.2","1.8","0.0","0.0","0.0","0.2","60.7"
"Calvin Austin III","NYG","20.0","268.2","2.2","0.0","0.0","0.0","0.0","60.1"
"Nick Westbrook-Ikhine","IND","21.7","269.6","2.0","0.0","0.0","0.0","0.2","60.1"
"Elijah Sarratt","BAL","19.5","294.6","1.8","0.0","0.0","0.0","0.2","59.2"
"Keon Coleman","BUF","19.4","266.0","2.3","0.0","0.0","0.0","0.2","59.1"
"Jahdae Walker","CHI","17.1","225.8","2.7","0.5","3.5","0.0","0.0","56.0"
"Tutu Atwell","MIA","20.4","291.7","0.5","2.2","11.3","0.1","0.2","53.4"
"Cedric Tillman","CLE","18.0","224.1","2.1","0.0","-0.5","0.0","0.0","52.9"
"Demarcus Robinson","SF","17.6","252.5","1.6","0.5","2.5","0.0","0.0","52.8"
"Kevin Coleman Jr.","MIA","21.1","270.5","0.7","0.0","0.0","0.0","0.2","51.8"
"Kendrick Bourne","ARI","22.8","239.4","0.7","0.0","0.0","0.0","0.2","50.3"
"Kalif Raymond","CHI","19.2","187.0","0.9","4.6","27.2","0.2","0.2","46.5"
"Cyrus Allen","KC","16.2","202.8","1.3","0.0","0.0","0.0","0.2","43.7"
"Skyler Bell","BUF","15.1","205.5","1.2","0.0","0.0","0.0","0.2","42.6"
"Bryce Lance","NO","16.4","204.4","0.9","0.0","0.0","0.0","0.2","42.1"
"Jordan Whittington","LAR","15.0","171.9","1.2","2.3","12.1","0.1","0.2","41.1"
"Odell Beckham Jr.","NYG","13.3","164.3","0.9","0.3","1.4","0.0","0.1","35.1"
"Devontez Walker","BAL","11.6","166.4","1.2","0.0","0.0","0.0","0.1","35.1"
"Zavion Thomas","CHI","12.5","153.6","1.2","0.0","0.0","0.0","0.1","34.9"
"Malachi Fields","NYG","13.2","157.5","0.9","0.0","0.0","0.0","0.1","34.0"
"Dont'e Thornton Jr.","LV","12.1","167.6","0.6","0.0","0.0","0.0","0.1","32.2"
"Isaiah Bond","CLE","9.9","130.1","0.8","4.3","23.5","0.1","0.1","30.4"
"Konata Mumpfield","LAR","9.9","126.7","1.2","0.0","0.0","0.0","0.1","29.2"
"Mack Hollins","NE","10.8","126.7","0.8","0.0","0.0","0.0","0.1","28.0"
"Brenen Thompson","LAC","9.5","121.0","0.7","2.1","11.3","0.1","0.1","27.4"
"KeAndre Lambert-Smith","LAC","9.6","121.0","0.9","0.0","0.0","0.0","0.1","26.6"
"Kyle Williams","NE","6.4","91.5","0.6","4.1","22.3","0.2","0.1","22.1"
"Tez Johnson","TB","6.7","77.6","0.6","4.4","23.3","0.2","0.1","21.5"
"Jimmy Horn Jr.","CAR","6.6","76.6","0.4","6.2","36.8","0.2","0.1","21.4"
"Mitch Tinsley","CIN","6.6","84.1","0.8","0.0","0.0","0.0","0.1","19.5"
"Jalen Royals","KC","6.8","78.0","0.6","0.0","0.0","0.0","0.1","18.3"
"Anthony Gould","IND","7.0","74.5","0.3","0.0","0.0","0.0","0.1","16.2"
"Malik Benson","LV","6.4","79.3","0.3","0.0","0.0","0.0","0.1","15.7"
"Greg Dortch","DET","4.1","39.8","0.3","4.6","24.0","0.4","0.1","14.1"
"Ben Skowronek","PIT","5.4","51.0","0.2","0.0","0.0","0.0","0.0","11.7"
"Bo Melton","GB","2.9","37.5","0.3","4.5","26.0","0.1","0.1","11.5"
"Tyrell Shavers","BUF","4.0","52.2","0.3","0.0","0.0","0.0","0.0","11.0"
"Derius Davis","LAC","3.5","37.9","0.3","2.1","11.0","0.1","0.1","10.2"
"Isaiah Williams","NYJ","3.8","35.8","0.1","2.2","12.7","0.1","0.1","10.0"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","9.9"
"Colbie Young","CIN","3.5","43.2","0.3","0.0","0.0","0.0","0.0","9.7"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","9.6"
"Malachi Corley","CLE","1.7","16.5","0.1","6.4","43.8","0.2","0.1","9.1"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","8.8"
"Justin Watson","HOU","3.1","41.6","0.2","0.0","0.0","0.0","0.0","8.5"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","8.5"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","8.4"
"Barion Brown","NO","3.3","39.9","0.2","0.0","0.0","0.0","0.0","8.4"
"Laquon Treadwell","IND","3.5","36.9","0.2","0.0","0.0","0.0","0.0","8.3"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","8.1"
"Brycen Tremayne","CAR","3.3","36.5","0.2","0.0","0.0","0.0","0.0","7.9"
"Kaden Wetjen","PIT","1.6","18.8","0.1","2.1","11.7","0.1","0.0","5.6"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.4"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"JuJu Smith-Schuster","NYG","0.7","6.4","0.0","0.0","0.0","0.0","0.0","1.6"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
