"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","13.6","85.0","1.4","1.0","339.8"
"Ja'Marr Chase","CIN","121.5","1512.1","10.6","3.0","17.0","0.0","1.0","336.1"
"Jaxon Smith-Njigba","SEA","110.9","1568.1","9.2","5.5","30.4","0.1","1.1","324.0"
"Amon-Ra St. Brown","DET","117.0","1391.1","10.5","3.1","11.8","0.0","0.4","319.6"
"Drake London","ATL","101.7","1328.2","9.4","0.0","0.0","0.0","1.0","289.1"
"Rashee Rice","KC","98.8","1099.0","9.7","5.4","25.5","0.9","0.6","273.3"
"CeeDee Lamb","DAL","97.3","1296.0","7.5","2.4","12.5","0.0","0.3","272.8"
"Justin Jefferson","MIN","98.6","1302.2","6.8","1.3","5.5","0.0","0.3","269.6"
"Chris Olave","NO","94.5","1170.5","7.8","0.3","0.0","0.0","0.3","257.8"
"A.J. Brown","NE","88.7","1234.4","7.6","0.0","0.0","0.0","0.3","257.4"
"George Pickens","DAL","82.7","1200.7","8.4","0.3","-0.3","0.0","0.5","252.1"
"Nico Collins","HOU","82.5","1211.9","7.2","1.4","8.3","0.4","0.8","248.4"
"Zay Flowers","BAL","81.9","1170.0","6.5","9.9","58.8","0.5","1.5","243.7"
"Garrett Wilson","NYJ","96.4","1090.9","6.4","1.1","4.3","0.0","1.0","242.2"
"DeVonta Smith","PHI","87.8","1135.1","6.0","0.0","0.0","0.0","0.3","236.8"
"Malik Nabers","NYG","78.8","1047.8","8.3","2.7","7.9","0.0","0.4","233.7"
"Emeka Egbuka","TB","73.2","1098.4","7.5","1.4","7.3","0.0","0.3","228.4"
"Tetairoa McMillan","CAR","78.5","1126.8","6.4","0.0","0.0","0.0","0.9","227.9"
"Davante Adams","LAR","68.5","926.1","10.2","0.0","0.0","0.0","0.2","222.0"
"Tee Higgins","CIN","70.7","965.8","9.1","0.0","0.0","0.0","0.2","221.5"
"Jameson Williams","DET","64.4","1065.3","6.6","7.3","42.0","0.5","0.2","217.3"
"Ladd McConkey","LAC","76.9","977.0","6.4","0.0","0.0","0.0","0.3","212.5"
"Terry McLaurin","WAS","70.7","979.8","7.2","0.3","0.3","0.0","0.3","211.5"
"Rome Odunze","CHI","63.4","980.2","8.1","0.3","1.3","0.0","0.3","209.9"
"Jaylen Waddle","DEN","74.6","984.4","6.0","1.7","12.4","0.0","0.3","209.7"
"Luther Burden III","CHI","72.7","973.2","5.7","7.7","38.2","0.1","0.3","208.1"
"DJ Moore","BUF","69.4","899.6","7.0","10.3","54.0","0.5","0.8","208.0"
"Alec Pierce","IND","63.8","1050.1","6.5","0.0","0.0","0.0","0.3","207.4"
"Courtland Sutton","DEN","69.4","903.2","7.5","0.0","0.0","0.0","0.2","204.4"
"Mike Evans","SF","67.4","951.0","7.0","0.0","0.0","0.0","0.2","203.9"
"Marvin Harrison Jr.","ARI","67.3","945.2","6.0","0.0","0.0","0.0","0.3","197.3"
"DK Metcalf","PIT","64.2","923.8","6.1","0.7","3.3","0.3","0.2","194.8"
"Christian Watson","GB","56.0","901.3","7.4","1.7","8.0","0.0","0.3","190.8"
"Michael Pittman Jr.","PIT","80.5","803.7","5.0","0.0","0.0","0.0","0.3","190.0"
"Wan'Dale Robinson","TEN","83.0","833.8","3.6","2.0","9.5","0.1","0.3","188.8"
"Jakobi Meyers","JAC","70.6","814.5","5.1","4.7","23.0","0.1","0.8","183.7"
"Carnell Tate","TEN","66.3","903.1","4.5","0.7","3.0","0.0","1.4","181.4"
"Brian Thomas Jr.","JAC","58.0","868.7","5.3","2.7","18.0","0.4","0.2","180.8"
"Parker Washington","JAC","61.3","844.0","5.4","5.3","13.6","0.1","0.4","179.1"
"Michael Wilson","ARI","67.5","826.6","4.5","0.0","0.7","0.0","0.2","176.7"
"Jayden Reed","GB","63.1","757.9","4.8","12.0","86.6","0.1","0.4","176.4"
"Chris Godwin Jr.","TB","67.8","774.2","5.2","0.3","0.3","0.0","0.3","175.8"
"Josh Downs","IND","75.9","736.7","4.3","1.4","4.3","0.0","0.8","174.3"
"Deebo Samuel Sr.","SF","60.1","692.3","4.7","29.1","111.7","1.1","0.4","174.0"
"Stefon Diggs","WAS","66.5","773.5","5.0","0.5","1.0","0.0","0.0","174.0"
"Jordyn Tyson","NO","63.2","857.2","4.3","0.7","3.0","0.0","1.3","172.5"
"Khalil Shakir","BUF","72.4","748.4","4.2","1.1","5.5","0.0","0.8","171.8"
