"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"James Conner","ARI","42.5","153.5","1.5","18.0","131.5","1.0","0.0","52.5"
"Jaydon Blue","DAL","62.4","263.0","1.9","8.7","61.7","0.4","0.3","50.2"
"MarShawn Lloyd","GB","62.3","259.0","1.9","8.5","62.9","0.4","0.2","49.7"
"Emanuel Wilson","SEA","70.2","290.5","1.7","7.7","52.1","0.0","0.5","47.4"
"Jaylen Wright","MIA","79.9","308.9","1.5","7.2","52.5","0.1","1.2","47.1"
"Jawhar Jordan","HOU","51.3","218.0","1.1","11.0","91.0","0.5","0.5","45.1"
"Malik Davis","DAL","57.5","277.0","2.0","4.5","37.5","0.0","0.5","44.7"
"Jonah Coleman","DEN","48.8","203.2","1.6","10.2","74.8","0.4","0.2","44.3"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.7","209.0","1.5","0.1","43.0"
"Isaiah Davis","NYJ","35.1","174.7","1.2","9.9","78.7","0.2","0.1","38.4"
"George Holani","SEA","38.9","164.1","1.5","8.0","62.2","0.3","0.2","37.1"
"LeQuint Allen Jr.","JAC","32.0","126.0","0.6","15.3","99.1","0.4","0.1","36.2"
"Frank Gore Jr.","BUF","37.0","174.0","2.0","3.0","26.0","0.0","0.0","33.5"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","18.0","0.0","0.0","32.9"
"Ollie Gordon II","MIA","49.4","203.5","1.2","3.9","27.7","0.1","0.2","32.9"
"Emmett Johnson","KC","39.8","166.2","1.3","5.7","41.2","0.2","0.1","32.3"
"Trayveon Williams","DET","32.0","138.0","1.0","9.0","77.0","0.0","0.0","32.0"
"Ray Davis","BUF","32.3","137.9","1.1","7.8","60.0","0.4","0.2","32.0"
"DJ Giddens","IND","33.3","140.5","1.0","8.4","58.3","0.3","0.2","31.6"
"Ty Chandler","NO","51.0","138.0","1.0","12.0","58.0","0.0","0.0","31.6"
"Sean Tucker","TB","38.8","163.6","2.2","1.5","10.2","0.0","0.1","31.4"
"Phil Mafah","DAL","31.6","137.2","1.5","4.2","32.3","0.1","0.1","28.8"
"Brashard Smith","KC","25.0","89.0","0.5","10.5","71.0","0.5","0.0","27.3"
"Jam Miller","NE","34.0","145.0","1.0","2.0","25.0","0.0","0.0","24.0"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","53.0","0.0","0.0","23.6"
"Salvon Ahmed","CHI","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.9"
"Jarquez Hunter","LAR","32.0","148.0","1.0","1.0","14.0","0.0","0.0","22.7"
"Dameon Pierce","PHI","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"Will Shipley","PHI","9.3","39.6","0.3","11.3","83.5","0.4","0.1","21.9"
"Carlos Washington Jr.","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","21.9"
"Seth McGowan","IND","22.3","96.4","1.2","3.2","27.3","0.1","0.0","21.6"
"Kendre Miller","NO","29.4","119.9","1.3","1.8","10.9","0.0","0.0","21.5"
"Hunter Luepke","DAL","13.4","56.5","0.4","8.6","61.6","0.4","0.1","20.7"
"Kaytron Allen","WAS","23.6","110.9","0.7","3.0","25.7","0.1","0.0","20.0"
"Tahj Brooks","CIN","30.3","128.4","0.9","0.0","0.0","0.0","0.1","18.2"
"Devin Neal","NO","22.5","90.0","1.0","2.5","17.5","0.0","0.0","18.0"
"Nicholas Singleton","TEN","20.3","83.7","0.6","4.3","30.2","0.2","0.1","17.6"
"Demond Claiborne","MIN","14.2","59.3","0.4","4.5","29.4","0.2","0.1","14.4"
"Michael Burton","CLE","6.6","13.9","0.6","5.1","33.3","0.6","0.0","14.0"
"Isaac Guerendo","SF","16.5","80.0","0.5","2.0","18.5","0.0","0.0","13.9"
"Trevor Etienne","CAR","12.3","52.4","0.3","4.1","29.3","0.1","0.1","12.7"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.8","1.1","0.0","12.5"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.9","0.2","0.0","8.4"
"Connor Heyward","LV","4.2","17.4","0.1","4.0","29.0","0.2","0.0","8.2"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.4","0.2","0.0","7.4"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.8","0.2","0.0","5.9"
"Patrick Ricard","NYG","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"Kaleb Johnson","PIT","8.6","35.9","0.2","0.0","0.0","0.0","0.0","4.9"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Devin Singletary","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jerome Ford","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
