player,pos,year,fpros_pass_att,fpros_pass_cmp,fpros_pass_yds,fpros_pass_td,fpros_pass_int,fpros_rush_att,fpros_rush_yds,fpros_rush_td,fpros_fum_lost,fpros_proj_pts,fpros_rec,fpros_rec_yds,fpros_rec_td
Ashton Jeanty,RB,2026,0.0,0.0,0.0,0.0,0.0,281.4,1107.2,8.0,1.1,218.2,58.7,414.2,3.3
Puka Nacua,WR,2026,0.0,0.0,0.0,0.0,0.0,13.6,95.6,1.4,1.0,233.2,122.3,1617.0,9.3
Ja'Marr Chase,WR,2026,0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,1.0,214.4,121.2,1510.4,10.6
Jaxon Smith Njigba,WR,2026,0.0,0.0,0.0,0.0,0.0,5.5,30.4,0.1,1.1,213.1,110.9,1568.4,9.2
Amon Ra St,WR,2026,0.0,0.0,0.0,0.0,0.0,3.1,11.8,0.0,0.4,202.5,117.0,1390.5,10.5
Drake London,WR,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,187.6,101.7,1328.9,9.4
Ceedee Lamb,WR,2026,0.0,0.0,0.0,0.0,0.0,2.4,12.5,0.0,0.3,175.7,97.6,1297.3,7.5
Rashee Rice,WR,2026,0.0,0.0,0.0,0.0,0.0,5.4,25.5,0.9,0.6,174.6,98.8,1099.0,9.7
Justin Jefferson,WR,2026,0.0,0.0,0.0,0.0,0.0,1.3,5.5,0.0,0.3,171.0,98.6,1302.2,6.8
George Pickens,WR,2026,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,0.0,0.5,169.6,82.7,1202.1,8.4
Aj Brown,WR,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,168.7,88.7,1234.4,7.6
Brock Bowers,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,147.2,96.5,1025.0,7.5
Trey Mcbride,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,145.3,109.0,1050.6,6.8
Colston Loveland,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,131.2,78.1,916.0,6.7
Tyler Warren,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,119.1,82.7,871.3,5.4
Kyle Pitts,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,116.3,79.5,881.6,4.7
Tucker Kraft,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,115.0,59.9,770.1,6.4
Dallas Goedert,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,113.8,65.5,689.2,7.6
Sam Laporta,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,113.3,69.8,809.4,5.5
Harold Fannin,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,112.3,78.3,815.1,5.4
George Kittle,TE,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,108.5,66.4,755.2,5.6
