year,information_mode,reserve,phase,player,player_key,pos,selections,point_salary,actual_salary,actual_minus_point,actual_salary_matched,available_trials,selection_rate
2022,blind_sequential,half,final,Tee Higgins,teehiggins,WR,3,56.70916748046875,49.0,-7.70916748046875,True,32,0.09375
2022,blind_sequential,half,final,Travis Kelce,traviskelce,TE,3,64.6374740600586,55.0,-9.637474060058594,True,32,0.09375
2022,blind_sequential,half,final,Tyreek Hill,tyreekhill,WR,3,69.80048370361328,58.0,-11.800483703613281,True,32,0.09375
2022,blind_sequential,half,final,Aaron Jones,aaronjones,RB,2,68.75962829589844,67.0,-1.7596282958984375,True,32,0.0625
2022,blind_sequential,half,final,Aj Dillon,ajdillon,RB,2,19.375717163085938,36.0,16.624282836914062,True,32,0.0625
2022,blind_sequential,half,final,Allen Lazard,allenlazard,WR,2,11.971719741821289,25.0,13.028280258178711,True,32,0.0625
2022,blind_sequential,half,final,Alvin Kamara,alvinkamara,RB,2,89.59130859375,85.0,-4.59130859375,True,32,0.0625
2022,blind_sequential,half,final,Boston Scott,bostonscott,RB,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Brandon Aiyuk,brandonaiyuk,WR,2,11.300796508789062,5.0,-6.3007965087890625,True,32,0.0625
2022,blind_sequential,half,final,Breece Hall,breecehall,RB,2,48.01581573486328,54.0,5.984184265136719,True,32,0.0625
2022,blind_sequential,half,final,Chase Claypool,chaseclaypool,WR,2,5.523460865020752,2.0,-3.523460865020752,True,32,0.0625
2022,blind_sequential,half,final,Clyde Edwards Helaire,clydeedwardshelaire,RB,2,31.267414093017578,46.0,14.732585906982422,True,32,0.0625
2022,blind_sequential,half,final,Damien Williams,damienwilliams,RB,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Darnell Mooney,darnellmooney,WR,2,25.932092666625977,18.0,-7.932092666625977,True,32,0.0625
2022,blind_sequential,half,final,Darrell Henderson,darrellhenderson,RB,2,4.3279194831848145,1.0,-3.3279194831848145,True,32,0.0625
2022,blind_sequential,half,final,Darren Waller,darrenwaller,TE,2,21.0692138671875,26.0,4.9307861328125,True,32,0.0625
2022,blind_sequential,half,final,David Bell,davidbell,WR,2,1.0,1.0,0.0,True,32,0.0625
2022,blind_sequential,half,final,Dawson Knox,dawsonknox,TE,2,2.5761845111846924,2.0,-0.5761845111846924,True,32,0.0625
2022,blind_sequential,half,final,Diontae Johnson,diontaejohnson,WR,2,43.082427978515625,35.0,-8.082427978515625,True,32,0.0625
2022,blind_sequential,half,final,Hassan Haskins,hassanhaskins,RB,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Hunter Renfrow,hunterrenfrow,WR,2,16.143596649169922,16.0,-0.14359664916992188,True,32,0.0625
2022,blind_sequential,half,final,James Cook,jamescook,RB,2,9.681676864624023,14.0,4.318323135375977,True,32,0.0625
2022,blind_sequential,half,final,Josh Allen,joshallen,QB,2,39.6912841796875,41.0,1.3087158203125,True,32,0.0625
2022,blind_sequential,half,final,Juju Smith Schuster,jujusmithschuster,WR,2,20.307554244995117,22.0,1.6924457550048828,True,32,0.0625
2022,blind_sequential,half,final,Kareem Hunt,kareemhunt,RB,2,13.5717191696167,27.0,13.4282808303833,True,32,0.0625
2022,blind_sequential,half,final,Kenneth Walker,kennethwalker,RB,2,12.324433326721191,17.0,4.675566673278809,True,32,0.0625
2022,blind_sequential,half,final,Kenyan Drake,kenyandrake,RB,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Kyren Williams,kyrenwilliams,RB,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Mark Ingram,markingram,RB,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Michael Gallup,michaelgallup,WR,2,3.467927932739258,3.0,-0.4679279327392578,True,32,0.0625
2022,blind_sequential,half,final,Michael Pittman,michaelpittman,WR,2,51.95897674560547,52.0,0.04102325439453125,True,32,0.0625
2022,blind_sequential,half,final,Mike Davis,mikedavis,RB,2,1.0,2.0,1.0,True,32,0.0625
2022,blind_sequential,half,final,Mike Gesicki,mikegesicki,TE,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Mo Alie Cox,moaliecox,TE,2,1.0,1.0,0.0,False,32,0.0625
2022,blind_sequential,half,final,Nico Collins,nicocollins,WR,2,1.0,1.0,0.0,False,32,0.0625
