comparison,period,pairs,origins,mean_diff_plan_actual_minus_point,equal_origin_mean_diff_plan_actual_minus_point,equal_origin_se_diff_plan_actual_minus_point,mean_diff_plan_actual_salary_spend,equal_origin_mean_diff_plan_actual_salary_spend,equal_origin_se_diff_plan_actual_salary_spend,mean_diff_plan_actual_cap_feasible,equal_origin_mean_diff_plan_actual_cap_feasible,equal_origin_se_diff_plan_actual_cap_feasible,mean_diff_final_actual_minus_point,equal_origin_mean_diff_final_actual_minus_point,equal_origin_se_diff_final_actual_minus_point,mean_diff_final_actual_salary_spend,equal_origin_mean_diff_final_actual_salary_spend,equal_origin_se_diff_final_actual_salary_spend,mean_diff_final_actual_cap_feasible,equal_origin_mean_diff_final_actual_cap_feasible,equal_origin_se_diff_final_actual_cap_feasible,mean_diff_complete,equal_origin_mean_diff_complete,equal_origin_se_diff_complete,mean_diff_actual_points,equal_origin_mean_diff_actual_points,equal_origin_se_diff_actual_points,mean_diff_forecast_ev,equal_origin_mean_diff_forecast_ev,equal_origin_se_diff_forecast_ev
static_half_minus_none,development_2022_2024,96,3,2.0810260685781636,2.0810260685781636,1.6630096356122788,-0.07291666666666667,-0.07291666666666667,0.353706809298951,-0.052083333333333336,-0.052083333333333336,0.03755782578608322,2.0810260685781636,2.0810260685781636,1.6630096356122788,-0.07291666666666667,-0.07291666666666667,0.353706809298951,-0.052083333333333336,-0.052083333333333336,0.03755782578608322,0.0,0.0,0.0,5.286885579427083,5.286885579427083,7.298700539817882,-5.192470550537109,-5.192470550537109,2.7418428835599005
static_half_minus_none,check_2025,32,1,-0.405798751860857,-0.405798751860857,,-6.375,-6.375,,0.0625,0.0625,,-0.405798751860857,-0.405798751860857,,-6.375,-6.375,,0.0625,0.0625,,0.0,0.0,,-3.4375152587890625,-3.4375152587890625,,-12.572254180908203,-12.572254180908203,
static_half_minus_none,all_2022_2025,128,4,1.4593198634684086,1.4593198634684086,1.3301575581643006,-1.6484375,-1.6484375,1.5952492437671248,-0.0234375,-0.0234375,0.0390625,1.4593198634684086,1.4593198634684086,1.3301575581643006,-1.6484375,-1.6484375,1.5952492437671248,-0.0234375,-0.0234375,0.0390625,0.0,0.0,0.0,3.105785369873047,3.105785369873047,5.602920034150548,-7.037416458129883,-7.037416458129883,2.676317731699164
blind_half_minus_none,development_2022_2024,96,3,-0.700815507521232,-0.700815507521232,0.9545726752226544,-4.208333333333333,-4.208333333333333,2.6689240120214075,0.052083333333333336,0.052083333333333336,0.052083333333333336,-2.0917170643806458,-2.0799578678920683,1.0399791052649277,-3.5795454545454546,-3.389274691358025,2.427242040080543,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333336,-1.573853926225142,-2.1937410331066745,6.518502739410576,4.436960393732244,4.250319398479697,2.691198669897911
blind_half_minus_none,check_2025,32,1,-3.8884072713553905,-3.8884072713553905,,-12.125,-12.125,,0.21875,0.21875,,-3.6237482503056526,-3.6237482503056526,,-4.75,-4.75,,0.0,0.0,,0.0,0.0,,10.485610961914062,10.485610961914062,,2.0107955932617188,2.0107955932617188,
blind_half_minus_none,all_2022_2025,128,4,-1.4977134484797716,-1.4977134484797716,1.0443422927588577,-6.1875,-6.1875,2.7347172404869697,0.09375,0.09375,0.05560978256266308,-2.5002587139606476,-2.4659054634954645,0.8305021470447035,-3.8916666666666666,-3.7294560185185186,1.7497072029102045,0.0,0.0,0.0,0.015625,0.015625,0.015625,1.6420033772786458,0.9760969656485097,5.594042538290522,3.789983113606771,3.6904384471752025,1.9836183655289565
blind_none_minus_static_none,development_2022_2024,96,3,0.21376944209138551,0.21376944209138551,3.5117701679560107,-23.979166666666668,-23.979166666666668,4.564972693723857,0.3541666666666667,0.3541666666666667,0.020833333333333336,-22.483153210444883,-22.58936234795924,2.361830810520842,-85.13636363636364,-84.70659057045552,5.047249272138197,0.8522727272727273,0.8473951681566624,0.06280841592867406,-0.08333333333333333,-0.08333333333333333,0.04540519732854869,-39.35500127618963,-39.322268452325645,29.815737338500867,-118.94377552379261,-117.39496045622128,16.660399612183674
blind_none_minus_static_none,check_2025,32,1,1.5558934956789017,1.5558934956789017,,-17.625,-17.625,,0.09375,0.09375,,-33.10104075446725,-33.10104075446725,,-93.15625,-93.15625,,0.96875,0.96875,,0.0,0.0,,-72.76373672485352,-72.76373672485352,,-125.99421310424805,-125.99421310424805,
blind_none_minus_static_none,all_2022_2025,128,4,0.5493004554882646,0.5493004554882646,2.5057625420665923,-22.390625,-22.390625,3.5976315089178232,0.2890625,0.2890625,0.0667500292602932,-25.314589888850847,-25.217281949586244,3.113692955539802,-87.275,-86.81900542784163,4.147247175808961,0.8833333333333333,0.8777338761174968,0.05378555341787844,-0.0625,-0.0625,0.038273277230987154,-48.263997395833336,-47.68263552045761,22.680053660279174,-120.82389221191406,-119.54477361822798,11.975230864178034
blind_half_minus_static_half,development_2022_2024,96,3,-2.5680721340080104,-2.5680721340080104,3.0529894147075867,-28.114583333333332,-28.114583333333332,4.753847582777321,0.4583333333333333,0.4583333333333333,0.09936866681426518,-25.988387783368427,-25.97806814903843,4.141992505587528,-87.21111111111111,-86.65589080459772,8.329642991096877,0.8777777777777778,0.8735632183908045,0.069916810693083,-0.0625,-0.0625,0.03125,-45.41089138454861,-46.82012562368107,27.520331677717667,-107.95182020399305,-107.1186830805636,13.27373061593468
